編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPRNMLPKNHOFFAA87CA,興安段一小段,21.8,都市：住,5,1,持分移轉,5820000
RPRNMLPKNHOFFAA87CA,興安段一小段,2.5,都市：住,10000,136,持分移轉,5870000
RPRNMLPKNHOFFAA87CA,興安段一小段,0.08,都市：住,15450,209,持分移轉,5880000
RPRNMLPKNHOFFAA87CA,興安段一小段,0.47,都市：住,15450,209,持分移轉,5890000
RPRNMLPKNHOFFAA87CA,興安段一小段,0.68,都市：住,15450,209,持分移轉,5980000
RPXOMLOKNHOFFAA48CA,河堤段五小段,6.23,都市：商,100000,809,持分移轉,4220000
RPUOMLNKNHOFFBA18CA,莒光段四小段,44,都市：住,1,1,全筆移轉,10180000
RPTPMLOKNHOFFBA28CA,臨沂段三小段,25.47,都市：住,10000,749,持分移轉,4920000
RPROMLTLNHOFFBA58CA,雙園段二小段,13.36,都市：其他:道路用地,10000,800,持分移轉,7300001
RPXOMLNKNHOFFCA58CA,長安段四小段,7.45,都市：住,10000,53,持分移轉,2820000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.64,都市：商,10000,44,持分移轉,1610000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.62,都市：商,10000,44,持分移轉,1620000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.66,都市：商,10000,44,持分移轉,1630000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.75,都市：商,10000,44,持分移轉,1640000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.22,都市：商,10000,44,持分移轉,1650000
RPPQMLNKNHOFFCA97CA,正義段一小段,0.22,都市：商,10000,44,持分移轉,1660001
RPPNMLPKNHOFFAA67CA,木柵段一小段,0.83,都市：其他:道路用地(公共設施用地),12,2,持分移轉,5540000
RPPNMLPKNHOFFAA67CA,木柵段一小段,21.83,都市：商,12,2,持分移轉,5550000
RPRQMLNKNHOFFCA18CA,北安段二小段,21.95,都市：住,10000,252,持分移轉,170000
RPVOMLOKNHOFFCA48CA,康寧段三小段,9,都市：商,100000,1413,持分移轉,7790000
RPTQMLNKNHOFFCA38CA,中山段三小段,3.28,都市：商,10000,33,持分移轉,160000
RPVNMLPKNHOFFCA48CA,東湖段一小段,28.95,都市：住,10000,68,持分移轉,180003
RPQOMLLLNHOFFCA77CA,文德段五小段,16.07,都市：其他:科技工業區,10000,92,持分移轉,1490000
RPUOMLOLNHOFFCA48CA,長安段四小段,29,都市：住,5,1,持分移轉,3890000
RPROMLNKNHOFFAA77CA,河堤段一小段,7.22,都市：住,10000,347,持分移轉,4690000
RPROMLNKNHOFFAA77CA,河堤段一小段,15.68,都市：住,10000,347,持分移轉,4760000
RPTQMLNKNHOFFBA28CA,雙連段二小段,29.89,都市：商,20000,1506,持分移轉,6690000
RPTQMLKMNHOFFCA28CA,潭美段三小段,14.76,都市：工,100000,360,持分移轉,8910000
RPOPMLNKNHOFFDA87CA,?和段三小段,23.72,都市：住,42800,5578,持分移轉,1630000
RPPNMLOKNHOFFDA87CA,吳興段二小段,6.54,都市：住,100000,1673,持分移轉,7900014
RPPNMLOKNHOFFDA87CA,吳興段二小段,6.54,都市：住,100000,1673,持分移轉,7900015
RPPNMLOKNHOFFDA87CA,吳興段二小段,6.54,都市：住,100000,1673,持分移轉,7900016
RPPNMLOKNHOFFDA87CA,吳興段二小段,6.54,都市：住,100000,1673,持分移轉,7900006
RPROMLOKNHOFFDA18CA,逸仙段三小段,2.64,都市：商,66955,62,持分移轉,7000000
RPROMLOKNHOFFDA18CA,逸仙段三小段,17.23,都市：住,66955,62,持分移轉,7010000
RPROMLOKNHOFFDA18CA,逸仙段三小段,2.25,都市：商,66955,62,持分移轉,7020000
RPUQMLQKNHOFFDA88CA,民生段,83.75,都市：住,4,1,持分移轉,1260000
RPUNMLRKNHOFFDA68CA,信義段一小段,30.8,都市：住,5,1,持分移轉,3280000
RPSNMLSKNHOFFDA58CA,寶清段七小段,6.86,都市：商,10000,39,持分移轉,7080000
RPVPMLRLNHOFFDA09CA,民生段,43.38,都市：住,8,1,持分移轉,500008
RPPOMLLLNHOFFCA67CA,文德段五小段,12.23,都市：其他:科技工業區,10000,70,持分移轉,1490000
RPSOMLNJOHOFFDA18CA,濱江段四小段,25.3,都市：住,10000,117,持分移轉,3060000
RPOPMLRLNHOFFBA18CA,萬大段二小段,21.03,都市：住,10000,202,持分移轉,1190000
RPXOMLRLNHOFFBA98CA,萬大段二小段,21.03,都市：住,10000,202,持分移轉,1190000
RPWOMLMLNHOFFDA58CA,美仁段二小段,5.91,都市：商,10000,206,持分移轉,6060000
RPPOMLNKNHOFFEA97CA,天山段二小段,103.53,都市：住,10000,317,持分移轉,3310000
RPPOMLMKOHOFFBA67CA,雙園段一小段,25.75,都市：住,4,1,持分移轉,6280000
RPXNMLNJOHOFFAA28CA,南海段五小段,4.87,都市：住,100000,789,持分移轉,470002
RPXNMLNJOHOFFAA28CA,南海段五小段,0.77,都市：住,100000,789,持分移轉,510003
RPXNMLNJOHOFFAA28CA,南海段五小段,17.9,都市：住,100000,789,持分移轉,540000
RPTOMLPKNHOFFEA58CA,溫泉段二小段,2.78,都市：住,256,1,持分移轉,3720000
RPVOMLPKNHOFFEA78CA,溫泉段二小段,0.71,都市：住,23040,23,持分移轉,3720000
RPWOMLPKNHOFFEA88CA,溫泉段二小段,0.71,都市：住,23040,23,持分移轉,3720000
RPOPMLPKNHOFFEA18CA,溫泉段二小段,2.78,都市：住,256,1,持分移轉,3720000
RPXOMLPKNHOFFEA98CA,溫泉段二小段,0.65,都市：住,7680,7,持分移轉,3720000
RPPPMLPKNHOFFEA28CA,溫泉段二小段,2.59,都市：住,1920,7,持分移轉,3720000
RPQOMLOKNHOFFEA18CA,芝蘭段二小段,55.51,都市：住,100000,1070,持分移轉,6810000
RPXOMLOKOHOFFDA88CA,祥和段四小段,25.61,都市：住,291500,2561,持分移轉,2060001
RPPOMLKLNHOFFEA77CA,平等段三小段,2581.68,都市：其他:保護區,1,1,全筆移轉,5250014
RPQOMLKLNHOFFEA87CA,八仙段二小段,740,都市：其他:抽水站用地,1,1,全筆移轉,7810000
RPQOMLKLNHOFFEA87CA,八仙段二小段,362,都市：其他:道路用地,1,1,全筆移轉,7810001
RPQOMLKLNHOFFEA87CA,八仙段二小段,766,都市：其他:抽水站用地,1,1,全筆移轉,7840000
RPTNMLTLNHOFFDA88CA,祥和段三小段,21.2,都市：住,5,1,持分移轉,990000
RPQOMLNLNHOFFEA18CA,永新段四小段,25.52,都市：住,10000,139,持分移轉,3830000
RPQOMLNLNHOFFEA18CA,永新段四小段,3.52,都市：其他:道路用地(公共設施用地)【,10000,139,持分移轉,3830001
RPWNMLNKNHOFFFA68CA,瑞安段三小段,36.38,都市：住,8,1,持分移轉,5450000
RPTOMLNKNHOFFFA48CA,大安段三小段,6.7,都市：住,10000,61,持分移轉,650000
RPTNMLQKNHOFFEA58CA,三合段,46.74,都市：住,100000,1666,持分移轉,690000
RPUNMLQKNHOFFEA68CA,福林段三小段,29.6,都市：住,5,1,持分移轉,3570000
RPUOMLOKNHOFFFA68CA,金華段一小段,25.25,都市：住,4,1,持分移轉,1860000
RPUOMLOKNHOFFFA68CA,金華段一小段,0.75,都市：其他:道路用地,4,1,持分移轉,1860001
RPUOMLOKNHOFFFA68CA,金華段一小段,0.25,都市：其他:道路用地,4,1,持分移轉,1860002
RPVOMLQKNHOFFFA98CA,仁愛段六小段,31.69,都市：住,10000,99,持分移轉,1390000
RPOOMLMLNHOFFFA97CA,懷生段四小段,8.19,都市：住,10000,140,持分移轉,1370000
RPVOMLQKNHOFFFA98CA,仁愛段六小段,0.04,都市：其他:道路用地(公共設施用地)【61/3/27】,10000,99,持分移轉,1390007
RPOOMLMLNHOFFFA97CA,懷生段四小段,0.01,都市：住,10000,140,持分移轉,1380001
RPPNMLOKNHOFFAA67DA,華興段四小段,29.5,都市：住,4,1,持分移轉,6630000
RPRNMLLMNHOFFDA97CA,寶清段一小段,3.08,都市：住,338500,117,持分移轉,590000
RPWNMLRKNHOFFEA98CA,芝山段一小段,35.84,都市：住,10000,85,持分移轉,4130000
RPWNMLRKNHOFFEA98CA,芝山段一小段,0.03,都市：其他:道路用地(公共設施用地),10000,85,持分移轉,4130001
RPWNMLRKNHOFFEA98CA,芝山段一小段,0.03,都市：其他:道路用地(公共設施用地),10000,85,持分移轉,4130002
RPWNMLRKNHOFFEA98CA,芝山段一小段,0.03,都市：其他:道路用地(公共設施用地),10000,85,持分移轉,4130003
RPWNMLRKNHOFFEA98CA,芝山段一小段,0.03,都市：其他:道路用地(公共設施用地),10000,85,持分移轉,4130004
RPXPMLNLNHOFFEA98CA,溪洲段三小段,81.56,都市：住,32,2,持分移轉,2400000
RPXPMLNLNHOFFEA98CA,溪洲段三小段,40.88,都市：住,32,2,持分移轉,350000
RPXPMLNLNHOFFEA98CA,溪洲段三小段,1.19,都市：其他:道路用地,32,2,持分移轉,2370000
RPQNMLOKNHOFFBA87DA,青年段一小段,2.4,都市：住,76992,11,持分移轉,1510000
RPRNMLQKNHOFFAA08DA,萬隆段二小段,37.19,都市：住,100000,1634,持分移轉,4630000
RPQNMLLMNHOFFDA87CA,寶清段一小段,3.08,都市：住,338500,117,持分移轉,590000
RPQPMLNKNHOFFCA08DA,石潭段四小段,11.25,都市：商,100000,401,持分移轉,4230000
RPSNMLTKNHOFFDA78DA,民生段,24.21,都市：住,10000,170,持分移轉,710003
RPQNMLTKNHOFFEA58CA,行義段一小段,83.8,都市：住,6,1,持分移轉,3640000
RPROMLLKOHOFFAA77DA,政大段四小段,8.14,都市：住,50000,1948,持分移轉,80000
RPSOMLLKOHOFFAA87DA,政大段四小段,4.07,都市：住,50000,974,持分移轉,80000
RPROMLLKOHOFFAA77DA,政大段四小段,5.36,都市：住,50000,66,持分移轉,220000
RPSOMLLKOHOFFAA87DA,政大段四小段,2.68,都市：住,50000,33,持分移轉,220000
RPWNMLMLNHOFFEA68DA,文林段五小段,19.55,都市：住,10000,102,持分移轉,3310001
RPWNMLMLNHOFFEA68DA,文林段五小段,6.51,都市：住,10000,102,持分移轉,5410000
RPSNMLPKNHOFFFA48CA,金華段一小段,44.75,都市：住,4,1,持分移轉,1340000
RPPNMLSKNHOFFFA58DA,通化段四小段,15,都市：商,5,1,持分移轉,4330000
RPXQMLPKNHOFFEA66DA,奇岩段三小段,31.2,都市：住,5,1,持分移轉,5850000
RPVPMLSLOHOFFCA56CA,長安段四小段,26.96,都市：住,100000,2369,持分移轉,5030000
RPVPMLSLOHOFFCA56CA,長安段四小段,0.52,都市：住,100000,2369,持分移轉,5200000
RPPNMLSKNHOFFDA38DA,民生段,10.83,都市：其他:第三種商業區(民生社區特定專用區),10000,11,持分移轉,440000
RPPPMLKLNHOFFCA77DA,中山段三小段,4.68,都市：商,10000,100,持分移轉,2750000
RPTNMLSKNHOFFDA78DA,中南段二小段,46.74,都市：住,100000,2160,持分移轉,8610000
RPQPMLOKNHOFFDA28DA,向陽段,27.07,都市：住,30000,134,持分移轉,150001
RPSNMLOKNHOFFEA38DA,天山段二小段,14.09,都市：商,10000,47,持分移轉,5010000
RPORMLPKNHOFFEA48DA,光華段四小段,47.27,都市：商,100000,1014,持分移轉,5900000
RPTOMLPKNHOFFDA58DA,寶清段四小段,43,都市：住,3,1,持分移轉,730000
RPTOMLTLNHOFFEA56DA,百齡段二小段,34.5,都市：住,4,1,持分移轉,2730000
RPRPMLPKNHOFFBA28DA,玉泉段一小段,12.66,都市：商,100000,486,持分移轉,10140000
RPVPMLRLNHOFFCA09DA,文德段二小段,28.22,都市：住,10000,164,持分移轉,2740000
RPRNMLKLNHOFFAA57DA,景美段四小段,19.09,都市：住,1000,101,持分移轉,470000
RPXOMLTLNHOFFDA86DA,美仁段一小段,43,都市：住,4,1,持分移轉,1470000
RPQPMLMLNHOFFAA87DA,興安段三小段,32.12,都市：住,10000,365,持分移轉,4380000
RPOPMLNLNHOFFFA18CA,復興段一小段,0.55,都市：商,1710684,5307,持分移轉,6240000
RPOPMLNLNHOFFFA18CA,復興段一小段,0.08,都市：其他:道路用地,1710684,5307,持分移轉,6260000
RPOPMLNLNHOFFFA18CA,復興段一小段,3.11,都市：商,1710684,5307,持分移轉,6270000
RPOPMLNLNHOFFFA18CA,復興段一小段,3.1,都市：商,1710684,5307,持分移轉,6270001
RPSNMLKLNHOFFEA08DA,百齡段三小段,6.34,都市：工,100000,120,持分移轉,1940002
RPSNMLOLNHOFFFA48CA,復興段三小段,56.83,都市：住,6,1,持分移轉,4990000
RPQOMLOLNHOFFFA38CA,金華段三小段,2.41,都市：其他:道路用地,24507007,200000,持分移轉,3110000
RPVOMLOLNHOFFFA88CA,通化段一小段,1.34,都市：其他:道路用地,2500,53,持分移轉,2550000
RPVOMLOLNHOFFFA88CA,通化段一小段,8,都市：其他:道路用地,1,1,全筆移轉,2820000
RPVOMLOLNHOFFFA88CA,通化段一小段,5.6,都市：其他:道路用地,37550,3502,持分移轉,2840000
RPVOMLOLNHOFFFA88CA,通化段一小段,11,都市：其他:道路用地,1,1,全筆移轉,2850000
RPVOMLOLNHOFFFA88CA,通化段一小段,2.88,都市：其他:道路用地,1000,360,持分移轉,3290000
RPVOMLOLNHOFFFA88CA,通化段一小段,7.09,都市：其他:道路用地,37550,3502,持分移轉,3300000
RPVOMLOLNHOFFFA88CA,通化段一小段,1.46,都市：其他:道路用地,1080,45,持分移轉,3770000
RPVOMLOLNHOFFFA88CA,通化段一小段,0.54,都市：其他:道路用地,1080,45,持分移轉,3780000
RPVOMLOLNHOFFFA88CA,通化段一小段,1.96,都市：其他:道路用地,37550,3502,持分移轉,3810000
RPVOMLOLNHOFFFA88CA,通化段一小段,8.58,都市：其他:道路用地,37550,3502,持分移轉,3820000
RPVOMLOLNHOFFFA88CA,通化段一小段,3.26,都市：其他:道路用地,37550,3502,持分移轉,3840000
RPVOMLOLNHOFFFA88CA,通化段一小段,1.25,都市：其他:道路用地,2500,53,持分移轉,4060000
RPVOMLOLNHOFFFA88CA,仁愛段四小段,0.91,都市：其他:道路用地,90,1,持分移轉,1900000
RPVNMLPKNHOFFFA78CA,復興段三小段,0.02,都市：商,10000,28,持分移轉,2230001
RPVNMLPKNHOFFFA78CA,復興段三小段,9.39,都市：商,10000,28,持分移轉,2990000
RPRPMLNJOHOFFFA48DA,金華段二小段,12.56,都市：商,10000,323,持分移轉,5970000
RPRPMLNJOHOFFFA48DA,金華段二小段,3.29,都市：商,10000,323,持分移轉,6000000
RPXNMLPKNHOFFFA98CA,仁愛段六小段,28.83,都市：住,10000,271,持分移轉,6160007
RPUOMLLLNHOFFFA48CA,懷生段一小段,2.83,都市：其他:道路用地,12,1,持分移轉,4550000
RPUOMLLLNHOFFFA48CA,懷生段一小段,26.75,都市：住,12,1,持分移轉,4560000
RPUOMLLLNHOFFFA48CA,懷生段一小段,2.83,都市：其他:道路用地,12,1,持分移轉,4570000
RPPNMLQKNHOFFFA28CA,仁愛段六小段,27.25,都市：住,8,1,持分移轉,4630000
RPVSMLOKNHOFFFA56CA,懷生段二小段,31.92,都市：住,10000,222,持分移轉,5180000
RPQOMLOLNHOFFEA28CA,陽明段四小段,55.37,都市：住,10000,162,持分移轉,7400000
RPQOMLMKOHOFFDA08DA,敦化段二小段,11.55,都市：住,11200,298,持分移轉,1430000
