,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPSNMLQKNHOFFAN76CA,49.0,42.63,住家用,加強磚造,1959年1月1日,二層,一層 二層
1,RPSOMLKLNHOFFAN98CA,12.0,236.27,店舖、辦公室、停車空間,鋼筋混凝土造,1996年8月7日,四層,一層 二層 三層 四層 陽台 屋頂突出物
2,RPUNMLOKNHOFFDN07CA,23.0,164.13,住家用,鋼筋混凝土造,1984年10月12日,四層,一層 二層 三層 四層 陽台
3,RPSNMLLLNHOFFDN66CA,nan,190.1,住宅,鋼筋混凝土造,107年10月25日,三層,一層 二層 三層 陽台 屋頂突出物
4,RPTNMLPKNHOFFDN07CA,88.0,421.19,醫院,鋼筋混凝土造,2020年7月15日,四層,一層 二層 三層 四層 騎樓
5,RPTNMLOLNHOFFAN76CA,26.0,132.48,辦公室、廠房、宿舍、商品陳列式,鋼筋混凝土造,1981年12月17日,八層,七層 八層 陽台
6,RPTNMLOLNHOFFAN76CA,26.0,60.11,避難室、停車場、梯間,鋼筋混凝土造,1981年12月17日,八層,nan
7,RPRNMLKLNHOFFFN66CA,3.0,207.77,住宅,鋼筋混凝土造,104年11月16日,三層,一層 二層 三層 陽台
8,RPPNMLSLNHOFFHN47CA,20.0,200.8,住家用,鋼筋混凝土造,1988年8月30日,四層,一層 二層 三層 四層 陽台
9,RPUNMLKLNHOFFHN17CA,nan,85.38,騎樓、店舖,鋼骨造有牆,nan,nan,nan
10,RPPNMLTLNHOFFDN17CA,1.0,74.95,本共有部分係依使用執照之建築概要表記載項目有停車空間、機械室、梯廳、排煙室、安全梯、防空避難室兼停車空間、機車停車空間、台電配電室、門廳、開放空間、公共服務空間、汙物處理室、特別安全梯、防災中心、梯間、水箱等１６項,鋼筋混凝土造,107年8月3日,十七層,nan
11,RPPNMLTLNHOFFDN17CA,1.0,89.0,集合住宅,鋼筋混凝土造,107年8月3日,十七層,十三層 陽台 雨遮
12,RPRNMLRKNHOFFDN07CA,34.0,98.5,住家用,鋼筋混凝土造,1973年10月18日,五層,四層
13,RPPNMLKLNHOFFAN58CA,57.0,208.95,住商用,鋼筋混凝土加強磚造,1950年11月30日,三層,一層 二層 三層 騎樓
14,RPPNMLKLNHOFFAN58CA,50.0,142.69,住家用,鋼筋混凝土加強磚造,1958年1月14日,二層,一層 二層
15,RPPNMLKLNHOFFAN58CA,64.0,61.13,住家用,磚造,1944年7月27日,一層,一層
16,RPSNMLTLNHOFFAN17CA,7.0,397.67,農舍,鋼骨造,100年11月14日,二層,一層 二層
17,RPPNMLLLNHOFFCN88CA,3.0,141.3,人行道、住宅、樓梯間、水塔間,鋼筋混凝土造,105年6月14日,三層,一層 二層 三層 騎樓 見其他登記事項
18,RPPNMLTLNHOFFGN47CA,nan,213.72,住商用,鋼筋混凝土造,107年12月24日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
19,RPRNMLSLNHOFFGN57CA,nan,213.72,住商用,鋼筋混凝土造,107年12月24日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
20,RPXNMLLKOHOFFAN96DA,31.0,251.7,住家用,鋼筋混凝土造,1977年10月18日,五層,一層 二層 三層 四層 五層 騎樓
21,RPTNMLTLNHOFFFN77CA,25.0,316.52,農舍,加強磚造,1982年11月19日,二層,一層 二層 電梯樓梯間
22,RPSNMLPJOHOFFEN07CA,28.0,126.61,住家用,鋼筋混凝土造,1980年7月10日,三層,一層 二層 三層 騎樓
23,RPWOMLMKOHOFFAN96CA,37.0,82.24,住家用,鋼筋混凝土造,1970年11月16日,五層,一層
24,RPWOMLMKOHOFFAN96CA,37.0,31.05,防空避難室,鋼筋混凝土造,1970年11月16日,五層,nan
25,RPWOMLMKOHOFFAN96CA,37.0,3.25,梯間,鋼筋混凝土造,1970年11月16日,五層,nan
26,RPWOMLMKOHOFFAN96CA,37.0,3.25,梯間,鋼筋混凝土造,1970年11月16日,五層,nan
