,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,彰化市,土地,牛稠子段牛稠子小段51-12地號,402.5,工,nan,nan,1080423,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,10227000,25409.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLOKNHOFFAN76CA,0.0,0.0,0.0,nan,nan
1,彰化市,土地,牛稠子段牛稠子小段51-13地號,228.0,工,nan,nan,1080423,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5793480,25410.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLOKNHOFFAN96CA,0.0,0.0,0.0,nan,nan
2,彰化市,房地(土地+建物),彰化縣彰化市中山路三段５２１號,88.33,nan,鄉村區,乙種建築用地,1080420,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,590101.0,42.63,2,2,2,有,無,4000000,93831.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；1.二親等以內親屬間買賣。2.權利人共四人。,RPSNMLQKNHOFFAN76CA,42.63,0.0,0.0,nan,nan
3,彰化市,房地(土地+建物),彰化縣彰化市辭修路１９７之１號,92.0,工,nan,nan,1080415,土地1建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,960807.0,236.27,4,2,4,有,無,21650000,91632.0,nan,0.0,0,nan,RPSOMLKLNHOFFAN98CA,217.0,11.83,7.44,nan,nan
4,鹿港鎮,土地,上林段215地號,18777.89,nan,工業區,丁種建築用地,1080418,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,157065220,8364.0,nan,0.0,0,向政府機關承購之案件。；,RPROMLPJOHOFFCN86CA,0.0,0.0,0.0,nan,nan
5,鹿港鎮,土地,振興段1325-4地號,466.0,nan,特定農業區,農牧用地,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2600000,5579.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLKKOHOFFCN88CA,0.0,0.0,0.0,nan,nan
6,大村鄉,房地(土地+建物),彰化縣大村鄉聖瑤東路１２巷２之１號,73.49,nan,一般農業區,甲種建築用地,1080329,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,841012.0,164.13,4,2,3,有,無,6300000,38384.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；有民情風俗因素之交易。；,RPUNMLOKNHOFFDN07CA,156.91,0.0,7.22,nan,nan
7,社頭鄉,土地,新厝段105地號,36.21,nan,鄉村區,乙種建築用地,1080416,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,102400,2828.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；權利人2人,RPRNMLPKNHOFFEN96CA,0.0,0.0,0.0,nan,nan
8,社頭鄉,土地,東興段400-13地號,62.24,住,nan,nan,1080422,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,500000,8033.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLPKNHOFFEN17CA,0.0,0.0,0.0,nan,nan
9,社頭鄉,土地,山清段31-1地號,636.35,nan,山坡地保育區,農牧用地,1080325,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1550280,2436.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLRLNHOFFEN27CA,0.0,0.0,0.0,nan,nan
10,竹塘鄉,土地,新田段59-4地號,200.0,nan,鄉村區,乙種建築用地,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,450000,2250.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLSLNHOFFGN47CA,0.0,0.0,0.0,nan,nan
11,秀水鄉,土地,合興段137地號,1118.0,nan,特定農業區,農牧用地,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3655000,3269.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；私契訂約日期108年3月5日,RPRNMLOKNHOFFAN56DA,0.0,0.0,0.0,nan,nan
12,芬園鄉,土地,新舊社段949-4地號,16.15,nan,鄉村區,乙種建築用地,1080430,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,300000,18576.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKNHOFFAN56DA,0.0,0.0,0.0,nan,nan
13,竹塘鄉,土地,長安段1176地號,276.25,nan,鄉村區,乙種建築用地,1080422,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,800000,2896.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含舊有房屋,RPRNMLOKNHOFFGN17DA,0.0,0.0,0.0,nan,nan
14,芬園鄉,土地,新芬園段1106地號,170.0,nan,山坡地保育區,丙種建築用地,1080429,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,602000,3541.0,nan,0.0,0,向政府機關承購之案件。；,RPQOMLMLNHOFFAN56EA,0.0,0.0,0.0,nan,nan
15,埔心鄉,土地,羅厝段1081地號,155.14,nan,鄉村區,乙種建築用地,1080430,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,6446.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；3人持分合併共有，有合併使用之交易,RPPNMLQKNHOFFHN17CA,0.0,0.0,0.0,nan,nan
16,埔心鄉,土地,羅厝段1084地號,185.11,其他,nan,nan,1080430,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,550000,2971.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；3人共有,RPQNMLQKNHOFFHN27CA,0.0,0.0,0.0,nan,nan
17,芳苑鄉,土地,芳埤段433地號,2075.6,nan,特定農業區,農牧用地,1080418,土地6建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,250000,120.0,nan,0.0,0,債權債務關係,RPRNMLKKOHOFFGN76CA,0.0,0.0,0.0,nan,nan
18,大城鄉,土地,上富段388地號,203.0,nan,一般農業區,甲種建築用地,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,320000,1576.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；畸零地或有合併使用之交易。；,RPPNMLPKNHOFFGN96CA,0.0,0.0,0.0,nan,nan
19,員林市,房地(土地+建物),彰化縣員林市山?路二段５７１號,103.5,農,nan,nan,1060314,土地2建物1車位0,一層，二層，三層，屋頂突出物,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1071025.0,190.1,4,2,3,有,無,10920000,57443.0,nan,0.0,0,nan,RPSNMLLLNHOFFDN66CA,186.72,0.0,3.38,nan,nan
20,員林市,建物,彰化縣員林市中正路４５４號,0.0,nan,nan,nan,1080318,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,200715.0,421.19,0,0,0,無,無,400000,950.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPTNMLPKNHOFFDN07CA,421.19,0.0,0.0,nan,nan
21,芬園鄉,土地,富山段1095地號,26.25,nan,山坡地保育區,丙種建築用地,1080419,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,200000,7619.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPQOMLKLNHOFFAN78CA,0.0,0.0,0.0,nan,nan
22,彰化市,房地(土地+建物)+車位,彰化縣彰化市彰鹿路１０７巷１４號七樓,51.0,工,nan,nan,1080420,土地2建物1車位1,七層，八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,811217.0,192.59,4,2,2,有,無,4800000,24923.0,坡道平面,0.0,0,nan,RPTNMLOLNHOFFAN76CA,126.0,0.0,6.48,nan,nan
23,花壇鄉,土地,花壇段397-1地號,308.81,nan,鄉村區,乙種建築用地,1080423,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3000000,9715.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLKMNHOFFAN68CA,0.0,0.0,0.0,nan,nan
24,鹿港鎮,土地,鹿草段382地號,60.0,nan,鄉村區,乙種建築用地,1080324,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1500000,25000.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLPJOHOFFCN17CA,0.0,0.0,0.0,nan,nan
25,埤頭鄉,土地,光華段248地號,579.16,nan,鄉村區,乙種建築用地,1080409,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2142855,3700.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；二親等買賣,RPSNMLRLNHOFFFN47CA,0.0,0.0,0.0,nan,nan
26,北斗鎮,房地(土地+建物),彰化縣北斗鎮中寮一路１０６巷１１號,160.61,nan,鄉村區,乙種建築用地,1080401,土地3建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1041116.0,207.77,4,2,3,有,無,8023496,38617.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLKLNHOFFFN66CA,194.2,0.0,13.57,nan,nan
27,溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大同一街１４號,91.0,住,nan,nan,1080403,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,880830.0,200.8,6,2,3,有,無,7200000,35857.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLSLNHOFFHN47CA,178.67,0.0,22.13,nan,nan
28,花壇鄉,土地,福岩段1107地號,788.73,nan,山坡地保育區,農牧用地,1080330,土地6建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1192950,1512.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLNLNHOFFAN09DA,0.0,0.0,0.0,nan,nan
29,鹿港鎮,土地,埔崙段337-4地號,23.62,住,nan,nan,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1443347,61107.0,nan,0.0,0,向政府機關承購之案件。；,RPOOMLRKNHOFFCN86DA,0.0,0.0,0.0,nan,nan
30,員林市,土地,惠來段1418-4地號,46.5,住,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1800000,38710.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLRKNHOFFDN47DA,0.0,0.0,0.0,nan,nan
31,線西鄉,土地,頂庄段80地號,17.38,住,nan,nan,1080429,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,160800,9252.0,nan,0.0,0,向政府機關承購之案件。；,RPQNMLNKOHOFFBN56DA,0.0,0.0,0.0,nan,nan
