,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPUNMLOKNHOFFAN76CA,nan,369.5,都市：工,2,1,持分移轉,510004
1,RPUNMLOKNHOFFAN76CA,nan,33.0,都市：工,2,1,持分移轉,510012
2,RPWNMLOKNHOFFAN96CA,nan,33.0,都市：工,2,1,持分移轉,510012
3,RPWNMLOKNHOFFAN96CA,nan,195.0,都市：工,1,1,全筆移轉,510013
4,RPSNMLQKNHOFFAN76CA,阿夷段阿夷小段,60.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,690033
5,RPSNMLQKNHOFFAN76CA,阿夷段阿夷小段,20.67,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,690018
6,RPSNMLQKNHOFFAN76CA,阿夷段阿夷小段,7.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,690028
7,RPSOMLKLNHOFFAN98CA,彰化段西門小段,92.0,都市：工,1,1,全筆移轉,3830132
8,RPROMLPJOHOFFCN86CA,上林段,18777.89,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,2150000
9,RPQNMLKKOHOFFCN88CA,振興段,466.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13250004
10,RPUNMLOKNHOFFDN07CA,福興段,73.49,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10490000
11,RPRNMLPKNHOFFEN96CA,新厝段,36.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,2,持分移轉,1050000
12,RPTNMLPKNHOFFEN17CA,東興段,3.8,都市：住,36,1,持分移轉,3950000
13,RPTNMLPKNHOFFEN17CA,東興段,25.92,都市：住,1,1,全筆移轉,3950010
14,RPTNMLPKNHOFFEN17CA,東興段,28.12,都市：住,1,1,全筆移轉,4000006
15,RPTNMLPKNHOFFEN17CA,東興段,4.4,都市：住,36,1,持分移轉,4000013
16,RPRNMLRLNHOFFEN27CA,山清段,636.35,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,310001
17,RPQNMLSLNHOFFGN47CA,新田段,200.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,590004
18,RPRNMLOKNHOFFAN56DA,nan,1118.0,非都市： ; 非都市編定：,1193,1118,持分移轉,1370000
19,RPPNMLQKNHOFFAN56DA,新舊社段,16.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,9490004
20,RPRNMLOKNHOFFGN17DA,長安段,57.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,2,持分移轉,11730000
21,RPRNMLOKNHOFFGN17DA,長安段,219.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11760000
22,RPQOMLMLNHOFFAN56EA,新芬園段,170.0,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,5,1,持分移轉,11060000
23,RPPNMLQKNHOFFHN17CA,羅厝段,155.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,10810000
24,RPQNMLQKNHOFFHN27CA,羅厝段,185.11,都市：其他:高速公路特定專用區農牧用地,18,1,持分移轉,10840000
25,RPRNMLKKOHOFFGN76CA,芳埤段,970.4,非都市：特定農業區 ; 非都市編定：農牧用地,41,8,持分移轉,3060000
26,RPRNMLKKOHOFFGN76CA,芳埤段,138.09,非都市：特定農業區 ; 非都市編定：農牧用地,6765,1083,持分移轉,3870000
27,RPRNMLKKOHOFFGN76CA,芳埤段,502.39,非都市：特定農業區 ; 非都市編定：農牧用地,6765,1083,持分移轉,4240000
28,RPRNMLKKOHOFFGN76CA,芳埤段,95.53,非都市：特定農業區 ; 非都市編定：農牧用地,6765,1083,持分移轉,4250000
29,RPRNMLKKOHOFFGN76CA,芳埤段,41.59,非都市：特定農業區 ; 非都市編定：水利用地,18,1,持分移轉,4320000
30,RPRNMLKKOHOFFGN76CA,芳埤段,327.59,非都市：特定農業區 ; 非都市編定：農牧用地,6765,1083,持分移轉,4330000
31,RPPNMLPKNHOFFGN96CA,nan,203.0,非都市： ; 非都市編定：,300400,27845,持分移轉,3880000
32,RPSNMLLLNHOFFDN66CA,新員水段,89.88,都市：農,1,1,全筆移轉,240016
33,RPSNMLLLNHOFFDN66CA,新中州段,13.62,都市：其他:道路用地,80,10,持分移轉,9390000
34,RPQOMLKLNHOFFAN78CA,富山段,26.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,12,1,持分移轉,10950000
35,RPTNMLOLNHOFFAN76CA,莿桐段,15.0,都市：工,430,15,持分移轉,10580004
36,RPTNMLOLNHOFFAN76CA,莿桐段,36.0,都市：工,614,36,持分移轉,10570001
37,RPPNMLKMNHOFFAN68CA,花壇段,270.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,3970005
38,RPPNMLKMNHOFFAN68CA,花壇段,28.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,2000,242,持分移轉,3970008
39,RPPNMLKMNHOFFAN68CA,花壇段,7.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,800,67,持分移轉,4010000
40,RPPNMLKMNHOFFAN68CA,花壇段,2.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,2000,242,持分移轉,3970001
41,RPVNMLPJOHOFFCN17CA,鹿草段,60.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,3820000
42,RPSNMLRLNHOFFFN47CA,光華段,351.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,4836,600,持分移轉,2490000
43,RPSNMLRLNHOFFFN47CA,光華段,227.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,4836,600,持分移轉,2480000
44,RPRNMLKLNHOFFFN66CA,中寮段,99.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,7090007
45,RPRNMLKLNHOFFFN66CA,中寮段,1.39,非都市：鄉村區 ; 非都市編定：交通用地,8,1,持分移轉,7080002
46,RPRNMLKLNHOFFFN66CA,中寮段,60.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,7090012
47,RPPNMLSLNHOFFHN47CA,北勢段,91.0,都市：住,1,1,全筆移轉,2500003
48,RPPOMLNLNHOFFAN09DA,新灣子口段,84.56,非都市：特定農業區 ; 非都市編定：農牧用地,288,6,持分移轉,6610000
49,RPPOMLNLNHOFFAN09DA,福岩段,366.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,10980000
