,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPTNMLOLNHOFFAN76CA,坡道平面,0,nan,nan
1,RPPNMLTLNHOFFDN17CA,坡道平面,1000000,29.77,nan
2,RPQNMLMLNHOFFDN56CA,坡道平面,0,nan,nan
3,RPOOMLLKOHOFFAN68CA,坡道平面,0,nan,nan
4,RPPNMLKLOHOFFAN68CA,坡道平面,0,nan,nan
5,RPPNMLKLOHOFFAN68CA,坡道平面,0,nan,nan
6,RPOOMLMKOHOFFAN78CA,坡道機械,0,nan,nan
7,RPRNMLSKOHOFFDN27CA,坡道平面,0,nan,nan
8,RPWNMLPLOHOFFAN37DA,升降機械,0,nan,nan
9,RPQNMLNJPHOFFDN66CA,坡道平面,1050000,29.77,nan
10,RPSNMLNJPHOFFDN86CA,坡道平面,1050000,29.77,nan
11,RPWNMLRKPHOFFCN67CA,一樓平面,0,nan,nan
12,RPVNMLLLOHOFFAN76CA,坡道平面,0,nan,nan
13,RPUNMLRJPHOFFAN17CA,坡道機械,0,nan,nan
14,RPPPMLKKPHOFFDN56CA,坡道平面,950000,30.55,nan
15,RPQPMLKKPHOFFDN66CA,坡道平面,900000,29.5,nan
16,RPRPMLKKPHOFFDN76CA,坡道平面,950000,30.55,nan
17,RPSPMLKKPHOFFDN86CA,坡道平面,900000,29.5,nan
18,RPTPMLKKPHOFFDN96CA,坡道平面,950000,30.55,nan
19,RPVNMLKKPHOFFDN96CA,坡道平面,950000,30.55,nan
20,RPWNMLKKPHOFFDN07CA,坡道平面,950000,30.55,nan
21,RPXNMLKKPHOFFDN17CA,坡道平面,950000,30.55,nan
22,RPOOMLKKPHOFFDN98CA,坡道平面,950000,30.55,nan
23,RPPOMLKKPHOFFDN09CA,坡道平面,950000,30.55,nan
24,RPQOMLKKPHOFFDN56CA,坡道平面,950000,30.55,nan
25,RPROMLKKPHOFFDN66CA,坡道平面,950000,30.55,nan
26,RPSOMLKKPHOFFDN76CA,坡道平面,900000,29.5,nan
27,RPTOMLKKPHOFFDN86CA,坡道平面,950000,30.55,nan
28,RPUOMLKKPHOFFDN96CA,坡道平面,950000,30.55,nan
29,RPVOMLKKPHOFFDN07CA,坡道平面,950000,30.55,nan
30,RPWOMLKKPHOFFDN17CA,坡道平面,950000,30.55,nan
31,RPXOMLKKPHOFFDN27CA,坡道平面,1100000,30.55,nan
32,RPTNMLMKPHOFFDN96CA,坡道平面,900000,29.5,nan
33,RPUNMLMKPHOFFDN07CA,坡道平面,950000,30.55,nan
34,RPVNMLMKPHOFFDN17CA,坡道平面,950000,30.55,nan
35,RPWNMLMKPHOFFDN27CA,坡道平面,950000,30.55,nan
36,RPPOMLMKPHOFFDN66CA,坡道平面,950000,30.55,nan
37,RPQOMLMKPHOFFDN76CA,坡道平面,950000,30.55,nan
38,RPROMLMKPHOFFDN86CA,坡道平面,950000,30.55,nan
39,RPSOMLMKPHOFFDN96CA,坡道平面,1100000,30.55,nan
40,RPTOMLMKPHOFFDN07CA,坡道平面,1100000,30.55,nan
41,RPRNMLQKPHOFFDN17CA,坡道平面,950000,30.55,nan
42,RPSNMLQKPHOFFDN27CA,坡道平面,950000,30.55,nan
43,RPTNMLQKPHOFFDN37CA,坡道平面,950000,30.55,nan
44,RPUNMLQKPHOFFDN47CA,坡道平面,900000,29.5,nan
45,RPVNMLQKPHOFFDN57CA,坡道平面,950000,30.55,nan
46,RPWNMLQKPHOFFDN67CA,坡道平面,950000,30.55,nan
47,RPXNMLQKPHOFFDN77CA,坡道平面,950000,30.55,nan
48,RPPOMLQKPHOFFDN07CA,坡道平面,950000,30.55,nan
49,RPQOMLQKPHOFFDN17CA,坡道平面,950000,30.55,nan
50,RPROMLQKPHOFFDN27CA,坡道平面,1100000,30.55,nan
51,RPQNMLRKPHOFFDN17CA,坡道平面,950000,30.55,nan
52,RPRNMLRKPHOFFDN27CA,坡道平面,950000,30.55,nan
53,RPSNMLRKPHOFFDN37CA,坡道平面,900000,29.5,nan
54,RPUNMLRKPHOFFDN57CA,坡道平面,1100000,30.55,nan
55,RPPOMLMJPHOFFAN88CA,坡道平面,0,nan,nan
56,RPWOMLQKPHOFFDN77CA,坡道平面,1100000,29.77,nan
57,RPTNMLOLPHOFFAN96CA,坡道平面,0,nan,nan
58,RPVNMLLJQHOFFHN47CA,坡道平面,900000,32.84,nan
59,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
60,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
61,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
62,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
63,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
64,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
65,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
66,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
67,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
68,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
69,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
70,RPVOMLLMPHOFFAN07CA,升降機械,120000,5.87,nan
71,RPRNMLTKPHOFFDN47CA,坡道平面,0,nan,nan
72,RPSNMLNKQHOFFDN07CA,坡道平面,1050000,29.77,nan
73,RPUNMLNKQHOFFDN27CA,坡道平面,1050000,29.77,nan
74,RPPPMLLMPHOFFAN56CA,坡道機械,0,nan,nan
75,RPPPMLLMPHOFFAN56CA,坡道機械,0,nan,nan
76,RPSOMLMKQHOFFDN07CA,坡道平面,950000,30.55,nan
77,RPQOMLLLQHOFFDN86CA,坡道平面,1050000,29.77,nan
78,RPSOMLLLQHOFFDN07CA,坡道平面,1050000,29.77,nan
79,RPRNMLPKQHOFFAN96DA,坡道平面,0,nan,nan
