,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPTNMLOKNHOFFAI98EA,54.0,37.29,住家用,木造,1954年8月20日,一層,一層
1,RPQOMLLLNHOFFAI38CA,33.0,125.56,住家用,加強磚造,1975年4月8日,二層,一層 二層 電梯樓梯間
2,RPXNMLSKNHOFFAI96CA,23.0,120.19,住商用,鋼筋混凝土造,1985年5月10日,十層,一層 二層 三層 陽台 平台 電梯樓梯間 花台 夾層
3,RPXNMLSKNHOFFAI96CA,23.0,6.95,停車空間,鋼筋混凝土造,1985年5月10日,十層,nan
4,RPXNMLSKNHOFFAI96CA,23.0,36.46,共有部份,鋼筋混凝土造,1985年5月10日,十層,nan
5,RPROMLPJOHOFFAI78CA,24.0,110.97,住家用,鋼筋混凝土造,1984年4月28日,六層,三層 陽台 花台
6,RPROMLPJOHOFFAI78CA,24.0,49.64,共有部份,鋼筋混凝土造,1984年4月28日,六層,nan
7,RPXNMLKLNHOFFAI88CA,31.0,216.19,住商用,鋼筋混凝土造,1977年9月10日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間 地下層
8,RPWNMLMLNHOFFAI98CA,23.0,42.52,住家用,鋼筋混凝土造,1985年6月18日,九層,五層 陽台
9,RPWNMLMLNHOFFAI98CA,23.0,15.59,共有部份,鋼筋混凝土造,1985年6月18日,九層,nan
10,RPQNMLKLNHOFFAI38EA,7.0,182.03,農舍、樓梯間,鋼筋混凝土構造,101年10月11日,二層,一層 二層 陽台 見其他登記事項
11,RPPNMLOLNHOFFAI48CA,24.0,143.74,住家用,鋼筋混凝土造,1983年11月25日,十六層,六層 陽台 花台
12,RPPNMLOLNHOFFAI48CA,24.0,23.06,共有部份,鋼筋混凝土造,1983年11月25日,十六層,nan
13,RPPNMLOLNHOFFAI48CA,24.0,10.85,共有部份,鋼筋混凝土造,1983年11月25日,十六層,nan
14,RPPNMLOLNHOFFAI48CA,24.0,11.44,住家用,鋼筋混凝土造,1983年11月25日,十六層,地下層
15,RPPNMLOLNHOFFAI48CA,24.0,0.0,共有部份,鋼筋混凝土造,1983年11月25日,十六層,nan
16,RPPNMLMLNHOFFAI28CA,42.0,107.01,住商用,鋼筋混凝土加強磚造,1966年1月11日,二層,一層 二層 電梯樓梯間
17,RPRNMLMLNHOFFAI48CA,25.0,160.51,住家用,鋼筋混凝土造,1983年3月10日,三層,一層 二層 三層 陽台 電梯樓梯間
18,RPOOMLTLNHOFFAI98CA,12.0,251.71,店舖，住宅，梯間，辦公室,鋼筋混凝土造,1996年8月24日,四層,一層 二層 三層 四層 陽台 見其他登記事項
19,RPPNMLLJOHOFFAI08CA,32.0,586.74,住商用,鋼筋混凝土造,1976年3月3日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間 地下層
20,RPVNMLQLNHOFFAI66CA,nan,71.38,辦公室,鋼筋混凝土構造,107年12月19日,十一層,五層 陽台
21,RPVNMLQLNHOFFAI66CA,nan,15.98,本共有部分之項目計有：樓梯、電梯、梯廳等三項,鋼筋混凝土構造,107年12月19日,十一層,nan
22,RPVNMLQLNHOFFAI66CA,nan,16.1,本共有部分之項目計有：樓梯、電梯、梯廳、停車空間、防空避難室兼停車空間、管理維護室、水箱、電梯緩衝空間等八項,鋼筋混凝土構造,107年12月19日,十一層,nan
23,RPSNMLOLNHOFFAI78CA,35.0,84.86,住商用,鋼筋混凝土造,1973年2月20日,五層,一層 二層 騎樓
24,RPSNMLNLNHOFFAI88EA,25.0,389.01,住商用,鋼筋混凝土造,1983年8月26日,七層,一層 二層 三層 陽台 騎樓 地下層
25,RPSNMLNLNHOFFAI88EA,25.0,122.14,共有部份,鋼筋混凝土造,1983年8月26日,七層,nan
26,RPQOMLRKOHOFFAI98CA,23.0,181.44,住商用,鋼筋混凝土造,1984年9月11日,五層,一層 二層 三層 四層 五層
27,RPTOMLRLNHOFFAI66CA,15.0,57.79,住家用,鋼筋混凝土造,1993年11月1日,十四層,四層 陽台
28,RPTOMLRLNHOFFAI66CA,15.0,35.73,共有部份,鋼筋混凝土造,1993年11月1日,十四層,nan
29,RPVOMLOKOHOFFAI56CA,36.0,29.59,商業用,鋼筋混凝土加強磚造,1972年5月9日,二層,一層
30,RPVOMLOKOHOFFAI56CA,36.0,102.76,商業用,鋼筋混凝土加強磚造,1972年5月9日,二層,一層 二層 騎樓
31,RPRNMLSLNHOFFAI66EA,47.0,85.64,住家用,鋼筋混凝土加強磚造,1961年1月20日,二層,一層 二層
32,RPPPMLKLOHOFFAI38CA,21.0,185.96,住商用,鋼筋混凝土造,1986年10月28日,三層,一層 二層 三層 陽台 電梯樓梯間
