,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,嘉義市,房地(土地+建物),嘉義市嘉義市友忠路７８８巷１２號,43.0,住,nan,nan,1080401,土地1建物1車位0,全,一層,透天厝,住家用,木造,540820.0,37.29,1,1,1,有,無,950000,25476.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOKNHOFFAI98EA,37.29,0.0,0.0,nan,nan
1,嘉義市,房地(土地+建物),嘉義市嘉義市軍輝路104巷1號,186.0,住,nan,nan,1080410,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,750408.0,125.56,5,1,5,有,無,4200000,33450.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLLLNHOFFAI38CA,118.82,6.74,0.0,nan,nan
2,嘉義市,房地(土地+建物),嘉義市嘉義市大雅路１段２０１號,23.17,住,nan,nan,1080325,土地0建物1車位0,一層，二層，三層，夾層,十層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,850510.0,163.59,5,2,2,有,有,3500000,21395.0,nan,0.0,0,本買賣含車位壹位機械式上層,RPXNMLSKNHOFFAI96CA,101.53,12.27,6.39,nan,nan
3,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南興路２１６巷５－１號３樓１,31.68,住,nan,nan,1080414,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840428.0,160.61,3,2,2,有,有,3880000,24158.0,升降機械,0.0,0,nan,RPROMLPJOHOFFAI78CA,92.64,4.38,13.95,nan,nan
4,嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路１９７號,65.0,住,nan,nan,1080312,土地3建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,770910.0,216.19,9,3,4,有,無,5000000,23128.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLKLNHOFFAI88CA,207.46,8.73,0.0,nan,nan
5,嘉義市,房地(土地+建物),嘉義市嘉義市文雅街１１６巷１號５樓３,9.23,住,nan,nan,1080416,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850618.0,58.11,2,1,1,有,無,1500000,25813.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLMLNHOFFAI98CA,39.45,0.0,3.07,nan,nan
6,嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段３２４巷２９３號,1138.33,農,nan,nan,1080419,土地1建物1車位0,一層，二層，見其他登記事項,二層,農舍,見其他登記事項,見其他登記事項,1011011.0,182.03,9,4,9,有,無,5300000,nan,nan,0.0,0,nan,RPQNMLKLNHOFFAI38EA,169.68,0.0,12.35,nan,nan
7,嘉義市,土地,盧厝段344-53地號,13.95,住,nan,nan,1080221,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,360000,25806.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPOOMLKKOHOFFAI18DA,0.0,0.0,0.0,nan,nan
8,嘉義市,土地,北湖段645地號,2199.33,農,nan,nan,1080418,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6323510,2875.0,nan,0.0,0,5筆土地有耕地375減租條例，急賣遭承租人有違一般終止習慣。,RPTQMLLLNHOFFAI88CA,0.0,0.0,0.0,nan,nan
9,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興達路５１０號六樓２及興達路５０６號地下層１號,19.93,住,nan,nan,1080420,土地1建物2車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831125.0,189.1,4,2,2,有,有,4200000,22210.0,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLOLNHOFFAI48CA,133.4,1.41,20.37,nan,nan
10,嘉義市,房地(土地+建物),嘉義市嘉義市遠東街２６號之３,76.29,住,nan,nan,1080422,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,660111.0,107.01,5,1,2,有,無,7000000,65414.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLMLNHOFFAI28CA,103.53,3.48,0.0,nan,nan
11,嘉義市,房地(土地+建物),嘉義市嘉義市民生南路４６６巷５９弄１８號,107.0,住,nan,nan,1080319,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,830310.0,160.51,5,2,3,有,無,4500000,28036.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLMLNHOFFAI48CA,142.83,6.94,10.74,nan,nan
12,嘉義市,土地,竹圍子段7-18地號,14.75,住,nan,nan,1080510,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,650000,44068.0,nan,0.0,0,有民情風俗因素之交易。；,RPQOMLQLNHOFFAI88CA,0.0,0.0,0.0,nan,nan
13,嘉義市,房地(土地+建物),嘉義市嘉義市文化路17之33號,132.5,住,nan,nan,1080510,土地2建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,960824.0,251.71,4,2,4,有,無,21000000,83429.0,nan,0.0,0,nan,RPOOMLTLNHOFFAI98CA,227.02,0.0,24.69,nan,nan
14,嘉義市,房地(土地+建物),嘉義市嘉義市新榮路２４１號,101.0,商,nan,nan,1080501,土地2建物1車位0,一層，二層，三層，四層，五層，騎樓，地下層,五層,店面(店鋪),住商用,鋼筋混凝土造,760303.0,586.74,8,2,4,有,無,24600000,41927.0,nan,0.0,0,nan,RPPNMLLJOHOFFAI08CA,577.8,8.94,0.0,nan,nan
15,嘉義市,土地,溪東段950地號,134.3,住,nan,nan,1080513,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2800000,20849.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPXNMLKMNHOFFAI98CA,0.0,0.0,0.0,nan,nan
16,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市友竹街９０號一樓之５,14.24,住,nan,nan,1050612,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071219.0,103.46,4,2,2,有,有,5080000,49101.0,坡道機械,0.0,0,有車位，機械，面積含在大公設內，無法另計，本案依據建設預售契約登載,RPVNMLQLNHOFFAI66CA,60.95,0.0,10.43,nan,nan
17,嘉義市,房地(土地+建物),嘉義市嘉義市上海路９７號,36.38,住,nan,nan,1080304,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,730220.0,84.86,2,1,2,有,無,4600000,54207.0,nan,0.0,0,nan,RPSNMLOLNHOFFAI78CA,84.86,0.0,0.0,nan,nan
18,嘉義市,房地(土地+建物),嘉義市嘉義市友和路３１號,91.0,住,nan,nan,1080430,土地1建物1車位0,一層，二層，三層，騎樓，地下層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,830826.0,511.15,6,3,4,有,有,13600000,26607.0,nan,0.0,0,nan,RPSNMLNLNHOFFAI88EA,387.08,0.0,1.93,nan,nan
19,嘉義市,房地(土地+建物),嘉義市嘉義市上海路３０４號　,64.0,住,nan,nan,1080223,土地1建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),住商用,鋼筋混凝土造,840911.0,181.44,6,1,5,有,無,16000000,88183.0,nan,0.0,0,nan,RPQOMLRKOHOFFAI98CA,181.44,0.0,0.0,nan,nan
20,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路１４０號四樓之３,14.8,住,nan,nan,1080513,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931101.0,93.52,3,1,2,有,有,2100000,22455.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；共有人承買共有物,RPTOMLRLNHOFFAI66CA,51.26,0.0,6.53,nan,nan
21,嘉義市,土地,八掌段678-1地號,1060.86,農,nan,nan,1080429,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3500000,3299.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLPJOHOFFAI58CA,0.0,0.0,0.0,nan,nan
22,嘉義市,房地(土地+建物),嘉義市嘉義市興業東路１１巷８號及興業東路19號,52.5,住,nan,nan,1080415,土地2建物2車位0,一層，二層，騎樓,二層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土加強磚造,720509.0,132.35,3,2,2,有,無,10000000,75557.0,nan,0.0,0,nan,RPVOMLOKOHOFFAI56CA,132.35,0.0,0.0,nan,nan
23,嘉義市,房地(土地+建物),嘉義市嘉義市博愛路二段５２８巷３８號,70.0,住,nan,nan,1080427,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,610120.0,85.64,3,2,2,有,無,3300000,38533.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPRNMLSLNHOFFAI66EA,85.64,0.0,0.0,nan,nan
24,嘉義市,房地(土地+建物),嘉義市嘉義市育人路７９２號,123.2,住,nan,nan,1080322,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,861028.0,185.96,4,2,3,有,無,7000000,37643.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPPMLKLOHOFFAI38CA,161.31,15.25,9.4,nan,nan
