,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPTNMLOKNHOFFAI98EA,埤子頭段,43.0,都市：住,1,1,全筆移轉,3930064
1,RPQOMLLLNHOFFAI38CA,軍輝段,153.0,都市：住,1,1,全筆移轉,2950006
2,RPQOMLLLNHOFFAI38CA,軍輝段,33.0,都市：住,1,1,全筆移轉,2950007
3,RPXNMLSKNHOFFAI96CA,仁義段,23.17,都市：住,10000,301,持分移轉,320000
4,RPROMLPJOHOFFAI78CA,下路頭段,31.68,都市：住,10000,890,持分移轉,4500011
5,RPXNMLKLNHOFFAI88CA,檜段三小段,6.0,都市：住,1,1,全筆移轉,210003
6,RPXNMLKLNHOFFAI88CA,檜段三小段,31.0,都市：住,1,1,全筆移轉,230000
7,RPXNMLKLNHOFFAI88CA,檜段三小段,28.0,都市：住,1,1,全筆移轉,240001
8,RPWNMLMLNHOFFAI98CA,盧厝段,9.23,都市：住,10000,17,持分移轉,2600004
9,RPQNMLKLNHOFFAI38EA,北園段,1138.33,都市：農,3,1,持分移轉,7370003
10,RPOOMLKKOHOFFAI18DA,盧厝段,13.95,都市：住,263200,9897,持分移轉,3440053
11,RPTQMLLLNHOFFAI88CA,北湖段,2.67,都市：住,3,1,持分移轉,5540000
12,RPTQMLLLNHOFFAI88CA,北湖段,58.67,都市：住,3,1,持分移轉,5560002
13,RPTQMLLLNHOFFAI88CA,北湖段,1083.0,都市：農,3,1,持分移轉,5670000
14,RPTQMLLLNHOFFAI88CA,北湖段,99.0,都市：住,3,1,持分移轉,5680000
15,RPTQMLLLNHOFFAI88CA,北湖段,956.0,都市：農,3,1,持分移轉,6450000
16,RPPNMLOLNHOFFAI48CA,竹圍子段,19.93,都市：住,10000,94,持分移轉,3300000
17,RPPNMLMLNHOFFAI28CA,北社尾段,1.29,都市：住,7,1,持分移轉,7300063
18,RPPNMLMLNHOFFAI28CA,北社尾段,75.0,都市：住,1,1,全筆移轉,7300109
19,RPRNMLMLNHOFFAI48CA,下路頭段,81.0,都市：住,1,1,全筆移轉,7360103
20,RPRNMLMLNHOFFAI48CA,下路頭段,26.0,都市：住,1,1,全筆移轉,7360110
21,RPQOMLQLNHOFFAI88CA,竹圍子段,14.75,都市：住,4,1,持分移轉,70018
22,RPOOMLTLNHOFFAI98CA,新富段一小段,106.0,都市：住,1,1,全筆移轉,250021
23,RPOOMLTLNHOFFAI98CA,新富段一小段,26.5,都市：住,32,1,持分移轉,250035
24,RPPNMLLJOHOFFAI08CA,西門段六小段,53.0,都市：商,1,1,全筆移轉,310041
25,RPPNMLLJOHOFFAI08CA,西門段六小段,48.0,都市：商,1,1,全筆移轉,310001
26,RPXNMLKMNHOFFAI98CA,大溪段,5.88,都市：住,9,4,持分移轉,4200000
27,RPXNMLKMNHOFFAI98CA,溪東段,128.41,都市：住,9,4,持分移轉,9500000
28,RPVNMLQLNHOFFAI66CA,竹圍子段,14.12,都市：住,10000,153,持分移轉,160005
29,RPVNMLQLNHOFFAI66CA,竹圍子段,0.12,都市：住,10000,23,持分移轉,170025
30,RPSNMLOLNHOFFAI78CA,車店段車店小段,36.38,都市：住,368400,3638,持分移轉,8140000
31,RPSNMLNLNHOFFAI88EA,竹圍子段友愛小段,91.0,都市：住,810,91,持分移轉,2020000
32,RPQOMLRKOHOFFAI98CA,車店段,64.0,都市：住,1,1,全筆移轉,4000077
33,RPTOMLRLNHOFFAI66CA,車店段,12.66,都市：住,200000,889,持分移轉,860013
34,RPTOMLRLNHOFFAI66CA,白川段,2.13,都市：住,200000,889,持分移轉,800005
35,RPQNMLPJOHOFFAI58CA,八掌段,1060.86,都市：農,1,1,全筆移轉,6780001
36,RPVOMLOKOHOFFAI56CA,車店段,13.5,都市：住,8,3,持分移轉,350031
37,RPVOMLOKOHOFFAI56CA,車店段,39.0,都市：住,4,3,持分移轉,350037
38,RPRNMLSLNHOFFAI66EA,劉厝段,70.0,都市：住,1,1,全筆移轉,30036
39,RPPPMLKLOHOFFAI38CA,何庄段,123.2,都市：住,1,1,全筆移轉,3180000
40,RPUNMLTLNHOFFAI86CA,北園段,740.0,都市：農,1,1,全筆移轉,6150004
41,RPOOMLSLNHOFFAI88CA,台斗坑段,48.25,都市：住,1000,33,持分移轉,3270000
42,RPRNMLQJOHOFFAI78CA,後庄段,952.0,都市：農,1,1,全筆移轉,15510000
43,RPQPMLKLOHOFFAI48CA,盧厝段,29.87,都市：住,10000,55,持分移轉,2600004
44,RPWNMLLMNHOFFAI09DA,同興段,237.0,都市：工,10,3,持分移轉,16720000
45,RPVNMLKMNHOFFAI98EA,車店段車店小段,243.0,都市：住,1,1,全筆移轉,4670000
46,RPRNMLLKOHOFFAI38CA,新富段四小段,3.27,都市：商,10000,6,持分移轉,80000
47,RPQPMLOKOHOFFAI78CA,竹圍子段二小段,20.45,都市：住,10000,59,持分移轉,1600000
48,RPQNMLOJOHOFFAI48CA,竹圍子段中興小段,12.34,都市：住,12000,211,持分移轉,530000
49,RPTNMLLJPHOFFAI58CA,東川段,35.54,都市：住,10000,133,持分移轉,11930000
50,RPRNMLOJOHOFFAI78EA,檜段三小段,46.0,都市：住,1,1,全筆移轉,320020
