,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPROMLPJOHOFFAI78CA,升降機械,0,nan,nan
1,RPPNMLOLNHOFFAI48CA,坡道機械,0,nan,nan
2,RPVNMLQLNHOFFAI66CA,坡道機械,0,nan,nan
3,RPTOMLRLNHOFFAI66CA,坡道平面,0,nan,nan
4,RPQNMLRLOHOFFAI98CA,坡道平面,0,nan,nan
5,RPWNMLKMOHOFFAI98CA,升降機械,0,nan,nan
6,RPVOMLLLOHOFFAI98CA,一樓平面,0,nan,nan
7,RPWOMLKLOHOFFAI98CA,坡道平面,0,nan,nan
8,RPPOMLSKPHOFFAI66EA,一樓平面,0,nan,nan
9,RPPOMLNJPHOFFAI48CA,一樓平面,0,nan,nan
10,RPXNMLRKPHOFFAI07CA,坡道平面,0,nan,nan
11,RPSNMLKKPHOFFAI48CA,坡道機械,0,nan,nan
12,RPROMLPKPHOFFAI98CA,坡道機械,0,nan,nan
13,RPWOMLRLPHOFFAI17CA,坡道平面,0,nan,nan
14,RPWNMLNLPHOFFAI66CA,坡道機械,0,nan,nan
15,RPVNMLOKQHOFFAI66CA,坡道平面,0,nan,nan
16,RPXNMLOKQHOFFAI86CA,坡道平面,0,nan,nan
17,RPRNMLKLQHOFFAI78EA,坡道平面,0,nan,nan
18,RPWOMLNKQHOFFAI76CA,坡道平面,0,nan,nan
19,RPXOMLNKQHOFFAI86CA,坡道平面,0,nan,nan
20,RPOPMLNKQHOFFAI68CA,坡道平面,0,nan,nan
21,RPQOMLLJQHOFFAI48CA,坡道平面,0,nan,nan
22,RPTNMLOKQHOFFAI09CA,坡道平面,0,nan,nan
23,RPUNMLOKQHOFFAI56CA,坡道平面,0,nan,nan
24,RPWOMLMLQHOFFAI76CA,坡道平面,0,nan,nan
