,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPPNMLSKNHOFFCQ17CA,25.0,79.05,住家用,鋼筋混凝土造,1982年12月14日,七層,五層 陽台 花台
1,RPPNMLSKNHOFFCQ17CA,25.0,7.89,共有部分,鋼筋混凝土造,1982年12月14日,七層,nan
2,RPPNMLSKNHOFFCQ17CA,25.0,5.84,共有部分,鋼筋混凝土造,1982年12月14日,七層,nan
3,RPSNMLQKNHOFFBQ17CA,26.0,171.92,農舍,鋼筋混凝土加強磚造,1982年5月4日,二層,一層 二層 陽台 屋頂突出物
4,RPQPMLMKOHOFFDQ07CA,nan,54.21,集合住宅,鋼筋混凝土造,108年2月23日,八層,六層 陽台
5,RPQPMLMKOHOFFDQ07CA,nan,60.25,本共有之項目有停車空間、機械設備空間、水箱、台電配電室、防空避難室、門廳、管委會使用空間、樓梯間、水錶室、機械室等１０項。,鋼筋混凝土造,108年2月23日,八層,nan
6,RPPNMLMLNHOFFBQ66DA,23.0,273.49,住家用,鋼筋混凝土造,1985年4月5日,三層,一層 二層 三層 陽台 電梯樓梯間
7,RPTNMLKLNHOFFCQ96DA,38.0,97.16,住家用,鋼筋混凝土加強磚造,1970年9月23日,二層,一層 二層 陽台
8,RPPNMLMJOHOFFEQ76CA,37.0,368.85,廠房．倉庫．辦公廳．住宅,鋼筋混凝土加強磚造,1971年4月9日,二層,一層 二層 陽台
9,RPRNMLOLNHOFFCQ07CA,41.0,243.1,住商用,鋼筋混凝土加強磚造,1967年1月9日,四層,一層 二層 三層 四層 騎樓 地下層
10,RPSNMLSLNHOFFEQ77CA,26.0,38.83,住家用,鋼筋混凝土造,1982年4月1日,十八層,十七層 陽台
11,RPPNMLTLNHOFFEQ57CA,3.0,319.2,店舖、住宅,鋼筋混凝土造,105年4月19日,三層,一層 二層 三層 陽台
12,RPQNMLSLNHOFFDQ47CA,38.0,94.02,住商用,鋼筋混凝土加強磚造,1970年6月12日,二層,一層 二層 電梯樓梯間
