,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,東石鄉,土地,富安段1070地號,2408.32,nan,特定專用區,養殖用地,1080505,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,600000,249.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLQKNHOFFBQ57CA,0.0,0.0,0.0,nan,nan
1,民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋７６５號五樓,19.19,住,nan,nan,1080317,土地3建物1車位0,五層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,821214.0,92.78,3,2,2,有,有,2900000,31257.0,nan,0.0,0,nan,RPPNMLSKNHOFFCQ17CA,73.37,1.21,4.47,nan,nan
2,新港鄉,土地,六興段413地號,135.19,nan,鄉村區,乙種建築用地,1080408,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,7397.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLRLNHOFFCQ37DA,0.0,0.0,0.0,nan,nan
3,溪口鄉,土地,坪頂段342-4地號,146.58,nan,特定農業區,交通用地,1080415,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,291694,1990.0,nan,0.0,0,向政府機關承購之案件。；,RPPNMLRKNHOFFCQ27EA,0.0,0.0,0.0,nan,nan
4,梅山鄉,土地,梅南段1817地號,10.33,農,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,300000,29042.0,nan,0.0,0,畸零地或有合併使用之交易。,RPTNMLQKNHOFFEQ57CA,0.0,0.0,0.0,nan,nan
5,六腳鄉,土地,潭子墘段潭墘小段419地號,1922.21,nan,特定農業區,農牧用地,1080429,土地16建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1709507,889.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；雙方價金自行交付。,RPSNMLPKNHOFFBQ07CA,0.0,0.0,0.0,nan,nan
6,義竹鄉,房地(土地+建物),嘉義縣義竹鄉溪洲村８２之１號,238.07,nan,鄉村區,乙種建築用地,1080505,土地3建物1車位0,全,二層,透天厝,農舍,鋼筋混凝土加強磚造,820504.0,171.92,4,2,2,有,無,900000,5235.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPSNMLQKNHOFFBQ17CA,165.74,0.0,6.18,nan,nan
7,布袋鎮,土地,新民段601-1地號,94.0,nan,鄉村區,乙種建築用地,1080422,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,有,1000000,10638.0,nan,0.0,0,有民情風俗因素之交易。；,RPRNMLLLNHOFFBQ66CA,0.0,0.0,0.0,nan,nan
8,民雄鄉,土地,山中段238-20地號,293.88,nan,鄉村區,乙種建築用地,1080405,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2672032,9092.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKNHOFFCQ96CA,0.0,0.0,0.0,nan,nan
9,太保市,房地(土地+建物)+車位,嘉義縣太保市安仁里縣府三街８號六樓之５,23.38,住,nan,nan,1080418,土地0建物1車位1,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080223.0,114.46,2,1,2,有,有,4380000,34996.0,坡道平面,5.02,550000,nan,RPQPMLMKOHOFFDQ07CA,47.79,0.0,6.42,nan,nan
10,鹿草鄉,土地,下潭段下潭小段612地號,2709.0,nan,特定農業區,農牧用地,1080506,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1760000,650.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLQKNHOFFDQ77DA,0.0,0.0,0.0,nan,nan
11,朴子市,土地,鎮南段634地號,165.37,住,nan,nan,1080212,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7111000,43001.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLSLNHOFFBQ77DA,0.0,0.0,0.0,nan,nan
12,布袋鎮,土地,建興段608地號,138.42,nan,鄉村區,乙種建築用地,1080508,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,692100,5000.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLQKNHOFFBQ37DA,0.0,0.0,0.0,nan,nan
13,六腳鄉,房地(土地+建物),嘉義縣六腳鄉崙子506號,150.0,nan,特定農業區,甲種建築用地,1080430,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,850405.0,273.49,5,1,5,有,無,1500000,5485.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；,RPPNMLMLNHOFFBQ66DA,242.22,7.51,23.76,nan,nan
14,民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村惠安街31巷23號,96.09,住,nan,nan,1080429,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,700923.0,97.16,3,2,2,有,無,720000,7410.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLKLNHOFFCQ96DA,88.76,0.0,8.4,nan,nan
15,中埔鄉,土地,三層崎段76-10地號,4318.0,nan,山坡地保育區,林業用地,1080506,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,700000,162.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLMLNHOFFDQ86CA,0.0,0.0,0.0,nan,nan
16,溪口鄉,土地,柳子溝段柳一小段826地號,2350.0,nan,特定農業區,農牧用地,1080424,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2538000,1080.0,nan,0.0,0,向政府機關承購之案件。；,RPQNMLLLNHOFFCQ86EA,0.0,0.0,0.0,nan,nan
17,番路鄉,土地,轆子腳段125-9地號,663.0,nan,一般農業區,農牧用地,1080424,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,300000,452.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；土地上含一棟未保存建物。,RPPNMLLLNHOFFEQ86DA,0.0,0.0,0.0,nan,nan
