,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPWNMLQKNHOFFBQ57CA,富安段,2408.32,非都市：特定專用區 ; 非都市編定：養殖用地,5,4,持分移轉,10700000
1,RPPNMLSKNHOFFCQ17CA,世興段,0.0,都市：住,10000,67,持分移轉,8500000
2,RPPNMLSKNHOFFCQ17CA,頭橋段工業小段,16.98,都市：住,10000,67,持分移轉,350001
3,RPPNMLSKNHOFFCQ17CA,世興段,2.21,都市：住,10000,67,持分移轉,8510000
4,RPQNMLRLNHOFFCQ37DA,六興段,34.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,1200,155,持分移轉,4090000
5,RPQNMLRLNHOFFCQ37DA,六興段,6.42,非都市：鄉村區 ; 非都市編定：交通用地,6,1,持分移轉,4110000
6,RPQNMLRLNHOFFCQ37DA,六興段,94.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,4130000
7,RPPNMLRKNHOFFCQ27EA,坪頂段,146.58,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,3420004
8,RPTNMLQKNHOFFEQ57CA,梅南段,10.33,都市：農,3,1,持分移轉,18170000
9,RPSNMLPKNHOFFBQ07CA,六腳段,2.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,480,1,持分移轉,2550000
10,RPSNMLPKNHOFFBQ07CA,六腳段,1.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,164160,400,持分移轉,2590000
11,RPSNMLPKNHOFFBQ07CA,六腳段,3.21,非都市：鄉村區 ; 非都市編定：水利用地,256,3,持分移轉,2600001
12,RPSNMLPKNHOFFBQ07CA,六腳段,12.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,256,3,持分移轉,2600002
13,RPSNMLPKNHOFFBQ07CA,六腳段,71.98,非都市：特定農業區 ; 非都市編定：農牧用地,64,1,持分移轉,2610001
14,RPSNMLPKNHOFFBQ07CA,六腳段,10.17,非都市：特定農業區 ; 非都市編定：農牧用地,64,1,持分移轉,2610003
15,RPSNMLPKNHOFFBQ07CA,六腳段,45.7,非都市：特定農業區 ; 非都市編定：農牧用地,64,1,持分移轉,2620000
16,RPSNMLPKNHOFFBQ07CA,六腳段,3.78,非都市：特定農業區 ; 非都市編定：水利用地,64,1,持分移轉,2620001
17,RPSNMLPKNHOFFBQ07CA,六腳段,14.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,2630001
18,RPSNMLPKNHOFFBQ07CA,六腳段,4.27,非都市：鄉村區 ; 非都市編定：水利用地,64,1,持分移轉,2630003
19,RPSNMLPKNHOFFBQ07CA,六腳段六南小段,125.0,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,10000
20,RPSNMLPKNHOFFBQ07CA,六腳段六南小段,161.25,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,10001
21,RPSNMLPKNHOFFBQ07CA,六腳段六南小段,472.5,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,690000
22,RPSNMLPKNHOFFBQ07CA,潭子墘段潭墘小段,253.12,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,3080000
23,RPSNMLPKNHOFFBQ07CA,潭子墘段潭墘小段,369.75,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,4180000
24,RPSNMLPKNHOFFBQ07CA,潭子墘段潭墘小段,369.75,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,4190000
25,RPSNMLQKNHOFFBQ17CA,溪洲段溪洲小段,234.2,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,4070000
26,RPSNMLQKNHOFFBQ17CA,溪洲段溪洲小段,1.93,非都市：鄉村區 ; 非都市編定：交通用地,15,1,持分移轉,4070001
27,RPSNMLQKNHOFFBQ17CA,溪洲段溪洲小段,1.93,非都市：鄉村區 ; 非都市編定：交通用地,15,1,持分移轉,4080000
28,RPRNMLLLNHOFFBQ66CA,新民段,93.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,6000000
29,RPRNMLLLNHOFFBQ66CA,新民段,0.03,非都市：特定專用區 ; 非都市編定：養殖用地,1,1,全筆移轉,6010001
30,RPPNMLQKNHOFFCQ96CA,山中段,1.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,25,1,持分移轉,2380002
