,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPTTMLOKNHOFFAO37CA,47.0,63.48,住宅,加強磚造,1961年1月15日,nan,一層 二層 三層
1,RPQNMLPKNHOFFAO76EA,25.0,85.77,住家用,鋼筋混凝土造,1983年9月3日,六層,六層 陽台
2,RPQNMLPKNHOFFAO76EA,25.0,25.38,共有部分,鋼筋混凝土造,1983年9月3日,六層,nan
3,RPXNMLRKNHOFFAO47CA,5.0,44.23,辦公室,鋼筋混凝土造,103年6月10日,九層,六層 陽台
4,RPXNMLRKNHOFFAO47CA,5.0,48.82,共有部分,鋼筋混凝土造,103年6月10日,九層,nan
5,RPRNMLRKNHOFFAO86CA,21.0,82.68,店舖、住宅,鋼筋混凝土造,1986年12月2日,八層,一層 二層 陽台 騎樓
6,RPRNMLRKNHOFFAO86CA,21.0,6.68,共有部分,鋼筋混凝土造,1986年12月2日,八層,nan
7,RPRNMLRKNHOFFAO86CA,21.0,6.33,共有部分,鋼筋混凝土造,1986年12月2日,八層,nan
8,RPPPMLQKNHOFFAO76CA,11.0,151.34,集合住宅,鋼筋混凝土造,1997年8月26日,二十六層,七層 陽台 雨遮
9,RPPPMLQKNHOFFAO76CA,11.0,28.34,樓梯間,鋼筋混凝土造,1997年8月26日,二十六層,nan
10,RPPPMLQKNHOFFAO76CA,11.0,26.23,門廳、機房、防空避難室、守衛室,鋼筋混凝土造,1997年8月26日,二十六層,nan
11,RPPPMLQKNHOFFAO76CA,11.0,33.78,停車空間,鋼筋混凝土造,1997年8月26日,二十六層,nan
12,RPVPMLRKNHOFFAO47CA,44.0,113.97,住家用,nan,1964年3月22日,三層,一層 二層 三層 四層 騎樓
13,RPQOMLOKOHOFFAO86EA,21.0,162.13,住家用,鋼筋混凝土造,1987年3月2日,十四層,十三層 十四層 見其他登記事項
14,RPQOMLOKOHOFFAO86EA,21.0,19.36,住家用,鋼筋混凝土造,1987年3月2日,十四層,nan
15,RPQOMLOKOHOFFAO86EA,21.0,95.3,避難室、停車空間,鋼筋混凝土造,1987年3月2日,十四層,nan
16,RPRPMLLLNHOFFAO76EA,36.0,75.98,住家用,鋼筋混凝土造,1971年11月5日,五層,五層 陽台
17,RPPNMLKLNHOFFAO68CA,36.0,117.98,住工用,加強磚造,1971年11月22日,二層,一層 二層 陽台 平台 屋頂突出物
18,RPTOMLRKNHOFFAO17CA,21.0,193.39,住家用,鋼筋混凝土造,1987年5月31日,十六層,十五層 十六層 見其他登記事項
19,RPTOMLRKNHOFFAO17CA,21.0,35.47,共有部分,鋼筋混凝土造,1987年5月31日,十六層,nan
20,RPTOMLRKNHOFFAO17CA,21.0,36.95,共有部分,鋼筋混凝土造,1987年5月31日,十六層,nan
21,RPVPMLNJOHOFFAO07CA,nan,82.71,集合住宅,鋼筋混凝土造,108年3月22日,八層,七層 陽台
22,RPVPMLNJOHOFFAO07CA,nan,71.68,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
23,RPWPMLNJOHOFFAO17CA,nan,67.1,集合住宅,鋼筋混凝土造,108年3月22日,八層,三層 陽台
24,RPWPMLNJOHOFFAO17CA,nan,64.41,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
25,RPXPMLNJOHOFFAO27CA,nan,67.1,集合住宅,鋼筋混凝土造,108年3月22日,八層,七層 陽台
26,RPXPMLNJOHOFFAO27CA,nan,64.41,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
27,RPOQMLNJOHOFFAO09CA,nan,67.1,集合住宅,鋼筋混凝土造,108年3月22日,八層,八層 陽台
28,RPOQMLNJOHOFFAO09CA,nan,64.41,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
29,RPPQMLNJOHOFFAO56CA,nan,64.95,集合住宅,鋼筋混凝土造,108年3月22日,八層,六層 陽台
30,RPPQMLNJOHOFFAO56CA,nan,63.38,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
31,RPQQMLNJOHOFFAO66CA,nan,87.42,集合住宅,鋼筋混凝土造,108年3月22日,八層,三層 陽台
32,RPQQMLNJOHOFFAO66CA,nan,73.91,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
33,RPRQMLNJOHOFFAO76CA,nan,87.42,集合住宅,鋼筋混凝土造,108年3月22日,八層,四層 陽台
34,RPRQMLNJOHOFFAO76CA,nan,73.91,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
35,RPSQMLNJOHOFFAO86CA,nan,64.62,集合住宅,鋼筋混凝土造,108年3月22日,八層,八層 陽台
36,RPSQMLNJOHOFFAO86CA,nan,63.19,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
37,RPTQMLNJOHOFFAO96CA,nan,64.95,集合住宅,鋼筋混凝土造,108年3月22日,八層,六層 陽台
38,RPTQMLNJOHOFFAO96CA,nan,63.38,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
39,RPUQMLNJOHOFFAO07CA,nan,87.7,集合住宅,鋼筋混凝土造,108年3月22日,八層,六層 陽台
40,RPUQMLNJOHOFFAO07CA,nan,74.01,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
41,RPOOMLQLNHOFFAO66CA,8.0,132.77,一般辦公室,鋼筋混凝土造,100年7月18日,十四層,一層 雨遮 見其他登記事項
42,RPOOMLQLNHOFFAO66CA,8.0,19.33,共有部分,鋼筋混凝土造,100年7月18日,十四層,nan
43,RPOOMLQLNHOFFAO66CA,8.0,34.67,共有部分,鋼筋混凝土造,100年7月18日,十四層,nan
44,RPOOMLQLNHOFFAO66CA,8.0,0.02,守衛室,鋼筋混凝土造,100年7月18日,十四層,一層
45,RPOOMLQLNHOFFAO66CA,8.0,0.0,共有部分,鋼筋混凝土造,100年7月18日,十四層,nan
46,RPOOMLQLNHOFFAO66CA,8.0,33.21,共有部分,鋼筋混凝土造,100年7月18日,十四層,nan
47,RPWPMLRKNHOFFAO67DA,nan,161.22,住商用,鋼筋混凝土造,nan,五層,一層 二層 陽台 騎樓
48,RPWPMLLLNHOFFAO07CA,38.0,82.2,住商用,鋼筋混凝土造,1969年11月7日,七層,一層 騎樓
49,RPSSMLRKOHOFFAO57CA,nan,284.0,商業用,加強磚造,nan,三層,一層 二層 三層 騎樓
50,RPSSMLRKOHOFFAO57CA,nan,284.0,商業用,加強磚造,nan,三層,一層 二層 三層 騎樓
51,RPUSMLRKOHOFFAO77CA,nan,882.0,商業用,加強磚造,nan,三層,一層 二層 三層 騎樓
52,RPRQMLPJOHOFFAO96CA,5.0,53.67,辦公室,鋼筋混凝土造,103年3月12日,九層,六層 陽台 雨遮 見其他登記事項
53,RPRQMLPJOHOFFAO96CA,5.0,52.32,共有部分,鋼筋混凝土造,103年3月12日,九層,nan
54,RPSOMLMLNHOFFAO66CA,nan,25.86,住家用,加強磚造,nan,二層,一層 二層
55,RPQNMLTKOHOFFAO07CA,48.0,136.56,住家用,加強磚造,1960年10月12日,二層,一層 二層 騎樓
56,RPQNMLPLNHOFFAO66CA,16.0,0.05,管理室,鋼筋混凝土造,1992年1月10日,十三層,一層
57,RPQNMLPLNHOFFAO66CA,16.0,17.79,停車空間、機械室、騎樓、梯間、車道、防空避難室,鋼筋混凝土造,1992年1月10日,十三層,nan
58,RPWNMLLLOHOFFAO96CA,4.0,186.39,店舖、集合住宅、樓梯間,鋼筋混凝土造,103年12月20日,二十三層,一層 二層 陽台 見其他登記事項
59,RPWNMLLLOHOFFAO96CA,4.0,154.31,共有部分,鋼筋混凝土造,103年12月20日,二十三層,nan
60,RPXNMLLKOHOFFAO96CA,28.0,235.91,住家用,鋼筋混凝土造,1980年6月20日,二層,一層 二層 陽台 屋頂突出物
61,RPRNMLQKOHOFFAO86CA,4.0,367.56,農舍、樓梯間,鋼骨造,104年4月7日,三層,一層 二層 三層 陽台 見其他登記事項
62,RPUOMLLMNHOFFAO86CA,30.0,165.99,住家用,鋼筋混凝土造,1977年12月14日,五層,一層 二層 三層 陽台
63,RPUOMLLMNHOFFAO86CA,30.0,29.36,共有部分,鋼筋混凝土造,1977年12月14日,五層,nan
64,RPTRMLPLOHOFFAO47CA,nan,112.0,住家用,加強磚造,nan,二層,一層 二層
65,RPSPMLKMNHOFFAO66CA,nan,87.83,集合住宅,鋼筋混凝土造,108年3月22日,八層,七層 陽台
66,RPSPMLKMNHOFFAO66CA,nan,74.1,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
67,RPTPMLKMNHOFFAO76CA,nan,87.7,集合住宅,鋼筋混凝土造,108年3月22日,八層,七層 陽台
68,RPTPMLKMNHOFFAO76CA,nan,74.01,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
69,RPUPMLKMNHOFFAO86CA,nan,87.7,集合住宅,鋼筋混凝土造,108年3月22日,八層,五層 陽台
70,RPUPMLKMNHOFFAO86CA,nan,74.01,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
71,RPVPMLKMNHOFFAO96CA,nan,82.71,集合住宅,鋼筋混凝土造,108年3月22日,八層,六層 陽台
72,RPVPMLKMNHOFFAO96CA,nan,71.68,共有部分,鋼筋混凝土造,108年3月22日,八層,nan
73,RPXUMLTLNHOFFAO48CA,43.0,118.18,商業用,加強磚造,1965年1月26日,四層,四層
74,RPXNMLLMNHOFFAO07CA,39.0,97.02,住商用,鋼筋混凝土造,1968年12月10日,四層,一層 二層 三層 四層 騎樓 地下層
75,RPPTMLNKOHOFFAO96CA,30.0,102.59,住商用,鋼筋混凝土造,1978年8月15日,七層,一層 二層 陽台 騎樓
76,RPPTMLNKOHOFFAO96CA,nan,15.17,共有部分,鋼筋混凝土造,nan,七層,nan
77,RPPTMLNKOHOFFAO96CA,30.0,11.48,共有部分,鋼筋混凝土造,1978年8月15日,七層,nan
78,RPPNMLOJOHOFFAO98CA,38.0,107.3,住家用,加強磚造,1970年6月3日,二層,一層 二層
79,RPXPMLOJOHOFFAO37CA,47.0,372.8,住家用,加強磚造,1961年2月12日,二層,一層 二層
80,RPPNMLKKPHOFFAO78CA,23.0,549.72,住家用,鋼筋混凝土造,1985年8月22日,七層,一層 二層 三層 陽台
81,RPPNMLKKPHOFFAO78CA,23.0,112.69,共有部分,鋼筋混凝土造,1985年8月22日,七層,nan
82,RPQPMLLKOHOFFAO09CA,1.0,87.9,集合住宅,鋼筋混凝土造,107年3月9日,十一層,二層 陽台
83,RPQPMLLKOHOFFAO09CA,1.0,13.92,共有部分,鋼筋混凝土造,107年3月9日,十一層,nan
84,RPQPMLLKOHOFFAO09CA,1.0,59.49,共有部分,鋼筋混凝土造,107年3月9日,十一層,nan
85,RPPNMLNKOHOFFAO98CA,nan,50.26,住家用,鋼筋混凝土造,nan,五層,三層 陽台
86,RPPNMLNKOHOFFAO98CA,34.0,10.88,共有部分,鋼筋混凝土造,1974年7月12日,五層,nan
87,RPOSMLRKOHOFFAO17CA,25.0,94.6,住家用,鋼筋混凝土造,1983年10月28日,十二層,六層 七層 陽台
88,RPOSMLRKOHOFFAO17CA,25.0,7.71,共有部分,鋼筋混凝土造,1983年10月28日,十二層,nan
89,RPOSMLRKOHOFFAO17CA,25.0,11.29,共有部分,鋼筋混凝土造,1983年10月28日,十二層,nan
