,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,新竹市,建物,新竹市新竹市牛埔路３０４號,0.0,nan,nan,nan,1080422,土地0建物1車位0,全,nan,透天厝,見其他登記事項,加強磚造,610115.0,63.48,3,2,2,有,無,2000000,31506.0,nan,0.0,0,含增建或未登記建物。；親友間之交易。,RPTTMLOKNHOFFAO37CA,63.48,0.0,0.0,nan,nan
1,新竹市,土地,光武段923-2地號,12.86,住,nan,nan,1080506,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1200000,93313.0,nan,0.0,0,畸零地或有合併使用之交易。；有他人佔用之地上物,RPXOMLPKNHOFFAO37CA,0.0,0.0,0.0,nan,nan
2,新竹市,土地,新興段806-21地號,39.0,住,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3145740,80660.0,nan,0.0,0,向政府機關承購之案件。；,RPTOMLLKOHOFFAO86EA,0.0,0.0,0.0,nan,nan
3,新竹市,房地(土地+建物),新竹市新竹市金竹路８６巷１１號六樓,23.7,住,nan,nan,1080330,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830903.0,111.15,3,1,2,有,有,5000000,44984.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPQNMLPKNHOFFAO76EA,76.67,0.0,9.1,nan,nan
4,新竹市,房地(土地+建物)+車位,新竹市新竹市中山路４３１巷６６號六樓之７,17.88,住,nan,nan,1080222,土地2建物1車位1,六層,九層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1030610.0,93.05,3,2,2,有,有,7900000,84901.0,升降平面,0.0,0,有增建夾層,RPXNMLRKNHOFFAO47CA,35.3,0.0,8.93,nan,nan
5,新竹市,房地(土地+建物),新竹市新竹市光復路一段４８５巷６弄５號,19.86,住,nan,nan,1080307,土地1建物1車位0,一層，二層，騎樓,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,861202.0,95.69,2,2,2,有,有,8700000,90919.0,nan,0.0,0,nan,RPRNMLRKNHOFFAO86CA,82.35,0.0,0.33,nan,nan
6,新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路３０號七樓之１,14.22,住,nan,nan,1080327,土地1建物1車位1,七層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970826.0,239.68,4,2,2,有,有,10920000,45561.0,坡道平面,33.78,0,親友、員工或其他特殊關係間之交易。；,RPPPMLQKNHOFFAO76CA,133.62,10.05,7.67,nan,nan
7,新竹市,房地(土地+建物),新竹市新竹市北新街 31號,44.67,住,nan,nan,1080417,土地1建物1車位0,全,三層,透天厝,住家用,nan,640322.0,113.97,6,2,4,有,無,8600000,75458.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。,RPVPMLRKNHOFFAO47CA,113.97,0.0,0.0,nan,nan
8,新竹市,房地(土地+建物)+車位,新竹市新竹市四維路８９巷２之１號１３樓之１,21.81,其他,nan,nan,1080401,土地2建物1車位2,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870302.0,276.79,4,2,3,有,有,12000000,43354.0,坡道平面,0.0,0,nan,RPQOMLOKOHOFFAO86EA,147.81,14.32,0.0,nan,nan
9,新竹市,房地(土地+建物),新竹市新竹市光華北街３６巷９號５樓,24.0,住,nan,nan,1080331,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711105.0,75.98,3,1,1,有,無,1800000,23690.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRPMLLLNHOFFAO76EA,61.98,0.0,14.0,nan,nan
