,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPXOMLPKNHOFFAO37CA,光武段,0.56,都市：住,57240,687,持分移轉,9210002
1,RPXOMLPKNHOFFAO37CA,光武段,12.09,都市：住,57240,687,持分移轉,9220000
2,RPXOMLPKNHOFFAO37CA,光武段,0.21,都市：住,57240,687,持分移轉,9230002
3,RPTOMLLKOHOFFAO86EA,新興段,39.0,都市：住,1,1,全筆移轉,8060021
4,RPQNMLPKNHOFFAO76EA,自由段,23.7,都市：住,1000,75,持分移轉,9160000
5,RPXNMLRKNHOFFAO47CA,中雅段,15.99,都市：住,100000,2328,持分移轉,280002
6,RPXNMLRKNHOFFAO47CA,中雅段,1.89,都市：其他:第二種住宅區、第二種商業區,100000,2328,持分移轉,280004
7,RPRNMLRKNHOFFAO86CA,介壽段,19.86,都市：住,10000,59,持分移轉,7410000
8,RPPPMLQKNHOFFAO76CA,北門段,14.22,都市：住,10000,45,持分移轉,2270000
9,RPVPMLRKNHOFFAO47CA,中雅段,44.67,都市：住,3,2,持分移轉,1690006
10,RPQOMLOKOHOFFAO86EA,中雅段,19.24,都市：其他:住+商,10000,181,持分移轉,10004
11,RPQOMLOKOHOFFAO86EA,中雅段,2.57,都市：住,10000,181,持分移轉,70000
12,RPRPMLLLNHOFFAO76EA,光華段,8.0,都市：住,25,2,持分移轉,1680000
13,RPRPMLLLNHOFFAO76EA,光華段,16.0,都市：住,25,4,持分移轉,1670000
14,RPPNMLKLNHOFFAO68CA,光武段,69.0,都市：工,1,1,全筆移轉,820000
15,RPTOMLRKNHOFFAO17CA,東橋段,0.6,都市：住,10000,53,持分移轉,1980000
16,RPTOMLRKNHOFFAO17CA,東橋段,9.89,都市：住,10000,58,持分移轉,1990000
17,RPTOMLRKNHOFFAO17CA,東橋段,1.9,都市：住,10000,58,持分移轉,2010000
18,RPTOMLRKNHOFFAO17CA,東橋段,22.79,都市：住,10000,58,持分移轉,2020000
19,RPTOMLRKNHOFFAO17CA,東橋段,0.32,都市：住,10000,58,持分移轉,2060000
20,RPVPMLNJOHOFFAO07CA,虎山段,32.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,813,持分移轉,7950000
21,RPWPMLNJOHOFFAO17CA,虎山段,26.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,660,持分移轉,7950000
22,RPXPMLNJOHOFFAO27CA,虎山段,26.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,660,持分移轉,7950000
23,RPOQMLNJOHOFFAO09CA,虎山段,26.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,660,持分移轉,7950000
24,RPPQMLNJOHOFFAO56CA,虎山段,25.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,639,持分移轉,7950000
25,RPQQMLNJOHOFFAO66CA,虎山段,34.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,859,持分移轉,7950000
26,RPRQMLNJOHOFFAO76CA,虎山段,34.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,859,持分移轉,7950000
27,RPSQMLNJOHOFFAO86CA,虎山段,25.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,635,持分移轉,7950000
28,RPTQMLNJOHOFFAO96CA,虎山段,25.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,639,持分移轉,7950000
29,RPUQMLNJOHOFFAO07CA,虎山段,34.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,862,持分移轉,7950000
30,RPOOMLQLNHOFFAO66CA,中華段,27.49,都市：其他:科技商務區,100000,147,持分移轉,1190000
31,RPWPMLRKNHOFFAO67DA,光華段,40.0,都市：住,10,4,持分移轉,1890000
32,RPQNMLRKOHOFFAO07EA,東橋段,26.84,都市：住,6000,60,持分移轉,1880000
33,RPWPMLLLNHOFFAO07CA,民富段,18.25,都市：住,800,9,持分移轉,8390000
34,RPPTMLRLNHOFFAO37CA,竹蓮段,383.0,都市：其他:道路用地,1,1,全筆移轉,16340001
35,RPPTMLRLNHOFFAO37CA,竹蓮段,244.0,都市：其他:道路用地,1,1,全筆移轉,16340011
36,RPPTMLRLNHOFFAO37CA,竹蓮段,74.0,都市：其他:道路用地,1,1,全筆移轉,16340012
37,RPPTMLRLNHOFFAO37CA,竹蓮段,37.0,都市：其他:道路用地,1,1,全筆移轉,16340013
38,RPRSMLRKOHOFFAO47CA,東門段三小段,89.0,都市：其他:學校用地,1,1,全筆移轉,1330012
39,RPRSMLRKOHOFFAO47CA,東門段三小段,93.0,都市：其他:學校用地,1,1,全筆移轉,1330016
40,RPRSMLRKOHOFFAO47CA,東門段三小段,38.43,都市：其他:學校用地,100,61,持分移轉,1330035
41,RPRSMLRKOHOFFAO47CA,東門段三小段,22.0,都市：其他:學校用地,1,1,全筆移轉,1330037
42,RPRSMLRKOHOFFAO47CA,東門段三小段,22.0,都市：其他:學校用地,1,1,全筆移轉,1330038
43,RPTSMLRKOHOFFAO67CA,東門段三小段,75.0,都市：其他:學校用地,1,1,全筆移轉,1320000
44,RPTSMLRKOHOFFAO67CA,東門段三小段,97.0,都市：其他:學校用地,1,1,全筆移轉,1320010
45,RPTSMLRKOHOFFAO67CA,東門段三小段,16.0,都市：其他:學校用地,1,1,全筆移轉,1320011
46,RPTSMLRKOHOFFAO67CA,東門段三小段,15.0,都市：其他:學校用地,1,1,全筆移轉,1320012
47,RPTSMLRKOHOFFAO67CA,東門段三小段,69.0,都市：其他:學校用地,1,1,全筆移轉,1330005
