,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPXNMLRKNHOFFAO47CA,升降平面,0,nan,nan
1,RPPPMLQKNHOFFAO76CA,坡道平面,0,33.78,nan
2,RPQOMLOKOHOFFAO86EA,坡道平面,0,nan,nan
3,RPQOMLOKOHOFFAO86EA,坡道平面,0,nan,nan
4,RPTOMLRKNHOFFAO17CA,坡道平面,0,nan,nan
5,RPVPMLNJOHOFFAO07CA,坡道平面,1150000,32.9,nan
6,RPWPMLNJOHOFFAO17CA,坡道平面,1070000,32.9,nan
7,RPXPMLNJOHOFFAO27CA,坡道平面,1150000,32.9,nan
8,RPOQMLNJOHOFFAO09CA,坡道平面,1150000,32.9,nan
9,RPPQMLNJOHOFFAO56CA,坡道平面,1200000,32.9,nan
10,RPQQMLNJOHOFFAO66CA,坡道平面,1200000,32.9,nan
11,RPRQMLNJOHOFFAO76CA,坡道平面,1200000,32.9,nan
12,RPSQMLNJOHOFFAO86CA,坡道平面,1070000,32.9,nan
13,RPTQMLNJOHOFFAO96CA,坡道平面,1200000,32.9,nan
14,RPUQMLNJOHOFFAO07CA,坡道平面,1250000,32.9,nan
15,RPOOMLQLNHOFFAO66CA,坡道平面,0,nan,nan
16,RPOOMLQLNHOFFAO66CA,坡道平面,0,nan,nan
17,RPRQMLPJOHOFFAO96CA,坡道機械,0,8.25,nan
18,RPQNMLPLNHOFFAO66CA,坡道平面,800000,16.67,nan
19,RPWNMLLLOHOFFAO96CA,坡道平面,0,33.4,nan
20,RPWNMLLLOHOFFAO96CA,坡道平面,0,33.4,nan
21,RPWNMLLLOHOFFAO96CA,坡道平面,0,33.4,nan
22,RPSPMLKMNHOFFAO66CA,坡道平面,1200000,32.9,nan
23,RPTPMLKMNHOFFAO76CA,坡道平面,1150000,32.9,nan
24,RPUPMLKMNHOFFAO86CA,坡道平面,1250000,32.9,nan
25,RPVPMLKMNHOFFAO96CA,坡道平面,1150000,32.9,nan
26,RPPNMLKKPHOFFAO78CA,坡道平面,0,nan,nan
27,RPPNMLKKPHOFFAO78CA,坡道平面,0,nan,nan
28,RPPNMLKKPHOFFAO78CA,坡道機械,0,nan,nan
29,RPPNMLKKPHOFFAO78CA,坡道機械,0,nan,nan
30,RPQPMLLKOHOFFAO09CA,坡道平面,1350000,33.55,nan
31,RPSQMLQJOHOFFAO17CA,坡道平面,1250000,32.9,nan
32,RPTQMLQJOHOFFAO27CA,坡道平面,1150000,32.9,nan
33,RPUQMLQJOHOFFAO37CA,坡道平面,1200000,32.9,nan
34,RPUNMLSKOHOFFAO37CA,坡道機械,0,nan,nan
35,RPVOMLNKJIOFFAO86EA,升降機械,0,11.0,nan
36,RPVOMLNKJIOFFAO86EA,升降機械,0,11.0,nan
37,RPUNMLQKOHOFFAO17CA,坡道平面,1100000,nan,nan
38,RPSPMLTKOHOFFAO47CA,坡道機械,0,nan,nan
39,RPPNMLNJOHOFFAO56CD,升降機械,0,nan,nan
40,RPSPMLSLOHOFFAO47CA,升降機械,0,24.08,nan
41,RPSPMLSLOHOFFAO47CA,坡道平面,0,29.26,nan
42,RPRRMLOKOHOFFAO07CA,坡道平面,0,nan,nan
43,RPXOMLSLOHOFFAO87CA,坡道機械,0,nan,nan
44,RPOQMLSLOHOFFAO17CA,坡道平面,0,nan,nan
45,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.36,nan
46,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.36,nan
47,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.36,nan
48,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.5,nan
49,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.5,nan
50,RPXNMLPJPHOFFAO37CA,坡道機械,0,1.36,nan
51,RPTPMLMLOHOFFAO96CA,坡道平面,0,nan,nan
52,RPVQMLRKPHOFFAO77CA,坡道平面,1200000,13.69,nan
53,RPQRMLRKPHOFFAO37CA,坡道平面,1100000,13.69,nan
54,RPXNMLSKPHOFFAO77CA,坡道平面,1100000,13.69,nan
55,RPPNMLTKPHOFFAO07CA,坡道平面,1100000,13.69,nan
56,RPQNMLTKPHOFFAO17CA,坡道平面,1200000,13.69,nan
57,RPXOMLTKPHOFFAO97CA,坡道平面,1100000,12.62,nan
58,RPQPMLTKPHOFFAO37CA,坡道平面,1000000,12.35,nan
59,RPRPMLTKPHOFFAO47CA,坡道平面,1100000,13.69,nan
60,RPSPMLTKPHOFFAO57CA,坡道平面,1200000,13.69,nan
61,RPTPMLTKPHOFFAO67CA,坡道平面,1200000,13.69,nan
62,RPUPMLTKPHOFFAO77CA,坡道平面,1200000,13.69,nan
63,RPUPMLTKPHOFFAO77CA,坡道平面,1200000,13.69,nan
64,RPVPMLTKPHOFFAO87CA,坡道平面,1100000,13.69,nan
65,RPWPMLTKPHOFFAO97CA,坡道平面,1150000,13.69,nan
66,RPQQMLTKPHOFFAO47CA,坡道平面,1100000,13.69,nan
67,RPSQMLTKPHOFFAO67CA,坡道平面,1100000,13.69,nan
68,RPTQMLTKPHOFFAO77CA,坡道平面,1100000,13.69,nan
69,RPUQMLTKPHOFFAO87CA,坡道平面,1200000,13.69,nan
70,RPVQMLTKPHOFFAO97CA,坡道平面,1100000,12.62,nan
71,RPXQMLTKPHOFFAO18CA,坡道平面,1100000,13.69,nan
72,RPORMLTKPHOFFAO37CA,坡道平面,1200000,13.69,nan
73,RPPRMLTKPHOFFAO47CA,坡道平面,1100000,13.69,nan
74,RPQRMLTKPHOFFAO57CA,坡道平面,1100000,13.69,nan
75,RPRRMLTKPHOFFAO67CA,坡道平面,1100000,13.69,nan
76,RPVRMLTKPHOFFAO08CA,坡道平面,1300000,16.92,nan
77,RPVRMLTKPHOFFAO08CA,坡道平面,1000000,12.35,nan
78,RPWRMLTKPHOFFAO18CA,坡道平面,1100000,13.69,nan
79,RPXRMLTKPHOFFAO28CA,坡道平面,1100000,13.69,nan
80,RPOSMLTKPHOFFAO47CA,坡道平面,1100000,13.69,nan
81,RPPSMLTKPHOFFAO57CA,坡道平面,1100000,13.69,nan
82,RPQSMLTKPHOFFAO67CA,坡道平面,1200000,13.69,nan
83,RPVSMLTKPHOFFAO18CA,坡道平面,1100000,13.69,nan
84,RPWSMLTKPHOFFAO28CA,坡道平面,1100000,13.69,nan
85,RPXSMLTKPHOFFAO38CA,坡道平面,1100000,13.69,nan
86,RPRNMLKLPHOFFAO09CA,坡道平面,1200000,13.69,nan
87,RPSNMLKLPHOFFAO56CA,坡道平面,1100000,13.69,nan
88,RPTNMLKLPHOFFAO66CA,坡道平面,1200000,13.69,nan
89,RPTNMLKLPHOFFAO66CA,坡道平面,1200000,13.69,nan
90,RPUNMLKLPHOFFAO76CA,坡道平面,1200000,13.69,nan
91,RPVNMLKLPHOFFAO86CA,坡道平面,1100000,13.69,nan
92,RPWNMLKLPHOFFAO96CA,坡道平面,1100000,13.69,nan
93,RPXNMLKLPHOFFAO07CA,坡道平面,1200000,15.04,nan
94,RPOOMLKLPHOFFAO88CA,坡道平面,1100000,13.69,nan
