,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPPOMLQKNHOFFCJ98CA,21.0,322.16,農舍,鋼造,1986年7月1日,一層,一層
1,RPQNMLQKNHOFFDJ09CA,23.0,226.54,農舍,鋼筋混凝土造,1984年11月1日,二層,一層 二層 陽台
2,RPVNMLMKOHOFFDJ76DA,3.0,78.58,住家用,鋼筋混凝土造,104年9月10日,八層,七層 陽台 雨遮
3,RPVNMLMKOHOFFDJ76DA,3.0,18.08,管委會、樓梯間、機械室、水箱,鋼筋混凝土造,104年9月10日,八層,nan
4,RPVNMLMKOHOFFDJ76DA,3.0,11.46,停車空間,鋼筋混凝土造,104年9月10日,八層,nan
5,RPXNMLLKOHOFFDJ76CA,9.0,322.84,住宅．停車空間,鋼筋混凝土造,1999年8月1日,四層,一層 二層 三層 四層 陽台 地下一層
6,RPPNMLTKNHOFFBJ09CA,7.0,498.46,農舍,鋼筋混凝土造,100年8月5日,二層,一層 二層 屋頂突出物
7,RPRPMLQKNHOFFBJ56CA,nan,90.44,住家用,鋼筋混凝土造,107年11月28日,十五層,四層 陽台
8,RPRPMLQKNHOFFBJ56CA,nan,78.63,本共有部分之項目有附屬防空避難室兼停車空間、汙水機房、蓄水池、發電機房、儲藏室、梯間、電信室、台電配電場所、公共服務空間、垃圾冷藏室、機械室、水箱、停車空間、消防泵浦室等１４項。,鋼筋混凝土造,107年11月28日,十五層,nan
9,RPQNMLQKNHOFFBJ88CA,nan,120.83,住家用,鋼筋混凝土造,108年1月23日,十五層,一層 陽台 雨遮 見其他登記事項
10,RPQNMLQKNHOFFBJ88CA,nan,112.61,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、管理室、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,108年1月23日,十五層,nan
11,RPWOMLKLNHOFFBJ09CA,3.0,73.46,商業用,鋼筋混凝土造,105年7月29日,十四層,一層 陽台 見其他登記事項
12,RPWOMLKLNHOFFBJ09CA,3.0,58.28,本共有部分之項目有停車空間兼防空避難室、開放空間、公共服務空間、管理室、樓梯間、水箱、機房等七項。,鋼筋混凝土造,105年7月29日,十四層,nan
