,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,尖石鄉,土地,煤源段270-4地號,2049.75,nan,山坡地保育區,農牧用地,1080314,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,800000,390.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLNKNHOFFCJ66CA,0.0,0.0,0.0,nan,nan
1,尖石鄉,房地(土地+建物),新竹縣尖石鄉那羅４３號,1478.0,nan,山坡地保育區,農牧用地,1071108,土地2建物1車位0,一層,一層,農舍,農舍,鋼造,860701.0,322.16,6,2,2,有,無,3000000,nan,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLQKNHOFFCJ98CA,322.16,0.0,0.0,nan,nan
2,竹東鎮,土地,油林段595-5地號,49.0,工,nan,nan,1080417,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1010478,20622.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLSKNHOFFCJ09CA,0.0,0.0,0.0,nan,nan
3,新豐鄉,土地,福興段後湖子小段1979-2地號,243.0,nan,特定農業區,甲種建築用地,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3000000,12346.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLPKNHOFFDJ56CA,0.0,0.0,0.0,nan,nan
4,湖口鄉,房地(土地+建物),新竹縣湖口鄉和豐路５２巷３５弄７７號,1346.0,nan,特定農業區,農牧用地,1080408,土地1建物1車位0,一層，二層,二層,農舍,農舍,鋼筋混凝土造,841101.0,226.54,6,2,3,有,無,11500000,nan,nan,0.0,0,nan,RPQNMLQKNHOFFDJ09CA,215.56,0.0,10.98,nan,nan
5,新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉建興路二段432號7樓,25.58,nan,特定農業區,甲種建築用地,1080214,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040910.0,108.12,3,1,2,有,無,5100000,47170.0,升降機械,6.89,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPVNMLMKOHOFFDJ76DA,65.79,6.5,6.29,nan,nan
6,新豐鄉,房地(土地+建物),新竹縣新豐鄉員山１３２之１７９號,131.86,nan,山坡地保育區,丙種建築用地,1080329,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,990801.0,322.84,5,3,5,有,無,8000000,24780.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLLKOHOFFDJ76CA,295.87,0.0,26.97,nan,nan
7,竹北市,房地(土地+建物),新竹縣竹北市蓮花路７５巷７５號,2305.0,nan,特定農業區,農牧用地,1070910,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,鋼筋混凝土造,1000805.0,498.46,4,2,3,有,無,22500000,nan,nan,0.0,0,nan,RPPNMLTKNHOFFBJ09CA,498.46,0.0,0.0,nan,nan
8,竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路二段１１５號四樓,26.12,住,nan,nan,1071027,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071128.0,169.07,3,2,2,有,有,10120000,65603.0,坡道平面,36.15,1400000,土地及建物分次登記案件。前案土地登記收件字號：；,RPRPMLQKNHOFFBJ56CA,80.7,0.0,9.74,nan,nan
9,竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利十三街８８號,38.05,住,nan,nan,1060727,土地1建物1車位2,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080123.0,233.44,4,2,3,有,有,15290000,74416.0,坡道平面,57.0,2160000,nan,RPQNMLQKNHOFFBJ88CA,99.24,4.67,16.92,nan,nan
