,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPWNMLNKNHOFFCJ66CA,煤源段,1885.5,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,2700000
1,RPWNMLNKNHOFFCJ66CA,煤源段,40.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,2700001
2,RPWNMLNKNHOFFCJ66CA,煤源段,21.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,2700002
3,RPWNMLNKNHOFFCJ66CA,煤源段,101.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,2700004
4,RPPOMLQKNHOFFCJ98CA,柿山段,200.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6240000
5,RPPOMLQKNHOFFCJ98CA,柿山段,1278.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6290000
6,RPPNMLSKNHOFFCJ09CA,?油林段,36.0,都市：工,1,1,全筆移轉,1660020
7,RPPNMLSKNHOFFCJ09CA,?油林段,13.0,都市：工,1,1,全筆移轉,5950005
8,RPSNMLPKNHOFFDJ56CA,福興段後湖子小段,243.0,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,19790002
9,RPQNMLQKNHOFFDJ09CA,和興段,1346.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14300000
10,RPVNMLMKOHOFFDJ76DA,新庄子段,25.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,310,持分移轉,14140007
11,RPXNMLLKOHOFFDJ76CA,員興段,131.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,6170128
12,RPPNMLTKNHOFFBJ09CA,貓兒錠段山腳小段,2305.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11030000
13,RPRPMLQKNHOFFBJ56CA,莊敬段,26.12,都市：住,100000,812,持分移轉,50000
14,RPQNMLQKNHOFFBJ88CA,莊敬段,38.05,都市：住,100000,2460,持分移轉,4070000
15,RPWOMLKLNHOFFBJ09CA,莊敬段,21.36,都市：商,100000,382,持分移轉,1010000
16,RPRNMLMKOHOFFCJ78CA,竹東段番社子小段,17.14,都市：住,10000,99,持分移轉,670001
17,RPTOMLNKOHOFFCJ56CA,新城段新城小段,116.5,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,5090000
18,RPTOMLNKOHOFFCJ56CA,新城段新城小段,116.5,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,5090000
