,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPVNMLMKOHOFFDJ76DA,升降機械,0,6.89,nan
1,RPRPMLQKNHOFFBJ56CA,坡道平面,1400000,36.15,nan
2,RPQNMLQKNHOFFBJ88CA,坡道平面,0,28.5,nan
3,RPQNMLQKNHOFFBJ88CA,坡道平面,0,28.5,nan
4,RPWOMLKLNHOFFBJ09CA,坡道平面,0,27.08,nan
5,RPPNMLNJOHOFFDJ68CA,坡道平面,0,nan,nan
6,RPUNMLOLNHOFFBJ56CA,坡道平面,0,33.1,nan
7,RPUNMLOLNHOFFBJ56CA,坡道平面,0,33.1,nan
8,RPOOMLRLNHOFFBJ98CA,坡道平面,0,34.61,nan
9,RPOOMLRLNHOFFBJ98CA,坡道平面,0,34.61,nan
10,RPQNMLNLNHOFFBJ68CA,坡道平面,0,36.42,nan
11,RPQOMLTLNHOFFBJ76CA,坡道平面,0,26.05,nan
12,RPOPMLOJOHOFFBJ68CA,坡道平面,1200000,26.87,nan
13,RPPPMLOJOHOFFBJ78CA,坡道平面,1350000,28.96,nan
14,RPVNMLKKOHOFFBJ98DA,坡道平面,0,34.5,nan
15,RPTOMLTKOHOFFBJ07CA,坡道平面,0,36.45,nan
16,RPTOMLTKOHOFFBJ07CA,坡道平面,0,36.45,nan
17,RPWOMLTKOHOFFBJ37CA,坡道平面,1300000,41.33,nan
18,RPXOMLTKOHOFFBJ47CA,坡道平面,1200000,41.33,nan
19,RPQOMLTKOHOFFBJ76CA,坡道平面,1350000,36.45,nan
20,RPQNMLMJPHOFFBJ58CA,坡道平面,1100000,41.33,nan
21,RPWOMLKMNHOFFBJ56CA,坡道平面,0,nan,nan
22,RPPOMLRKOHOFFDJ66CA,坡道平面,900000,33.03,nan
23,RPPOMLRKOHOFFDJ66CA,坡道平面,900000,33.03,nan
24,RPVQMLTKOHOFFBJ47CA,坡道平面,1200000,39.61,nan
25,RPWQMLTKOHOFFBJ57CA,坡道平面,1150000,37.55,nan
26,RPWPMLTKOHOFFBJ47CA,坡道平面,1200000,39.61,nan
27,RPXPMLTKOHOFFBJ57CA,坡道平面,1200000,37.55,nan
28,RPOQMLTKOHOFFBJ76CA,坡道平面,1300000,39.61,nan
29,RPOPMLTKOHOFFBJ66CA,坡道平面,1150000,37.55,nan
30,RPPPMLTKOHOFFBJ76CA,坡道平面,1200000,39.61,nan
31,RPQPMLTKOHOFFBJ86CA,坡道平面,1250000,39.61,nan
32,RPRPMLTKOHOFFBJ96CA,坡道平面,1300000,39.61,nan
33,RPSPMLTKOHOFFBJ07CA,坡道平面,1200000,39.61,nan
34,RPQQMLTKOHOFFBJ96CA,坡道平面,1350000,39.61,nan
35,RPSQMLTKOHOFFBJ17CA,坡道平面,1050000,37.55,nan
36,RPTQMLTKOHOFFBJ27CA,坡道平面,1250000,39.61,nan
37,RPTOMLKMNHOFFBJ88CA,坡道平面,0,33.89,nan
38,RPTOMLKMNHOFFBJ88CA,坡道平面,0,33.89,nan
39,RPSOMLNKOHOFFBJ98CA,坡道平面,0,28.21,nan
40,RPSOMLNKOHOFFBJ98CA,坡道平面,0,28.21,nan
41,RPRPMLOJOHOFFBJ98CA,坡道平面,0,nan,nan
42,RPWNMLQJOHOFFBJ86CA,坡道平面,1550000,29.26,nan
43,RPQPMLQLOHOFFBJ66CA,坡道平面,1350000,49.49,nan
44,RPRPMLQLOHOFFBJ76CA,坡道平面,1350000,48.28,nan
45,RPSPMLQLOHOFFBJ86CA,坡道平面,1300000,48.28,nan
46,RPUPMLQLOHOFFBJ07CA,坡道平面,1400000,48.28,nan
47,RPVPMLQLOHOFFBJ17CA,坡道平面,1450000,48.28,nan
48,RPWPMLQLOHOFFBJ27CA,坡道平面,1300000,48.28,nan
49,RPXPMLQLOHOFFBJ37CA,坡道平面,1350000,49.49,nan
50,RPPQMLQLOHOFFBJ66CA,坡道平面,1450000,48.28,nan
51,RPVNMLQLOHOFFBJ96CA,坡道平面,1500000,49.49,nan
52,RPWNMLQLOHOFFBJ07CA,坡道平面,1350000,48.28,nan
53,RPXNMLQLOHOFFBJ17CA,坡道平面,1300000,47.12,nan
