,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPWNMLLLNHOFFAU47CA,24.0,412.52,農舍,鋼筋混凝土造,1984年1月11日,二層,一層 二層 陽台 平台 見其他登記事項
1,RPQNMLNJOHOFFAU17EA,20.0,149.83,住商用,鋼筋混凝土造,1987年11月30日,八層,一層 平台 騎樓
2,RPQNMLNJOHOFFAU17EA,20.0,59.07,車道，電梯間，樓梯間，騎樓，屋頂突出物,鋼筋混凝土造,1987年11月30日,八層,nan
3,RPQNMLNJOHOFFAU17EA,20.0,14.65,停車空間,鋼筋混凝土造,1987年11月30日,八層,nan
4,RPOOMLQKNHOFFAU17CA,20.0,102.98,住家用,鋼筋混凝土造,1988年5月20日,五層,二層 三層 陽台 平台 雨遮
5,RPOOMLQKNHOFFAU17CA,20.0,13.4,停車空間,鋼筋混凝土造,1988年5月20日,五層,nan
6,RPOOMLQKNHOFFAU17CA,20.0,22.58,共有部份,鋼筋混凝土造,1988年5月20日,五層,nan
7,RPPNMLNKOHOFFBU17DA,39.0,122.57,住商用,鋼筋混凝土加強磚造,1969年6月28日,二層,一層 二層 騎樓
8,RPQPMLNLNHOFFAU27CA,25.0,65.38,商業用,鋼筋混凝土造,1983年8月1日,八層,一層 騎樓
9,RPQPMLNLNHOFFAU27CA,25.0,10.18,共有部份,鋼筋混凝土造,1983年8月1日,八層,nan
10,RPOOMLMLNHOFFAU86CA,27.0,238.15,住商用,鋼筋混凝土造,1981年8月3日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
11,RPRNMLSLNHOFFAU67CA,9.0,202.77,農舍,鋼筋混凝土造,1999年5月6日,三層,一層 二層 三層 陽台
12,RPQNMLOJOHOFFCU27CA,37.0,88.32,住家用,鋼筋混凝土加強磚造,1971年3月27日,二層,一層 二層
13,RPQOMLQJOHOFFAU37CA,3.0,474.8,農舍,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層 陽台 屋頂突出物
14,RPRNMLOLOHOFFAU37CA,3.0,225.19,農舍,鋼筋混凝土造,105年4月19日,三層,一層 二層 三層 陽台
15,RPSNMLOJOHOFFAU27CA,41.0,586.96,見其他登記事項,鋼筋混凝土加強磚造,1966年9月15日,二層,一層 二層 地下層
16,RPWNMLOKOHOFFAU77CA,24.0,125.85,住商用,鋼筋混凝土造,1984年1月14日,七層,一層 二層 陽台 花台
17,RPWNMLOKOHOFFAU77CA,24.0,36.31,共有部份,鋼筋混凝土造,1984年1月14日,七層,nan
18,RPWNMLLMNHOFFAU57CA,20.0,102.98,住家用,鋼筋混凝土造,1988年5月20日,四層,一層 二層 陽台 平台 雨遮
19,RPWNMLLMNHOFFAU57CA,20.0,16.52,共有部份,鋼筋混凝土造,1988年5月20日,四層,nan
20,RPWNMLLMNHOFFAU57CA,20.0,14.25,停車空間,鋼筋混凝土造,1988年5月20日,四層,nan
21,RPWNMLLMNHOFFAU57CA,20.0,18.48,共有部份,鋼筋混凝土造,1988年5月20日,四層,nan
22,RPPOMLLMNHOFFAU96CA,38.0,100.77,住家用,鋼筋混凝土造,1970年5月9日,四層,四層 屋頂突出物
23,RPPOMLLMNHOFFAU96CA,38.0,54.32,共有部份,鋼筋混凝土造,1970年5月9日,四層,nan
24,RPRNMLPJOHOFFBU37CA,nan,50.15,住家用,磚木造,nan,一層,一層 騎樓
25,RPXPMLNKOHOFFAU97CA,26.0,136.73,住家用,鋼筋混凝土造,1982年10月29日,三層,一層 二層 三層 陽台
26,RPPNMLPLOHOFFCU57DA,73.0,42.35,商業用,木造,1935年1月1日,一層,一層
27,RPROMLKKOHOFFAU96CA,7.0,212.31,農舍,鋼筋混凝土造,101年7月30日,三層,一層 二層 三層 陽台 見其他登記事項
28,RPUNMLOKOHOFFAU57CA,13.0,233.46,住家用,鋼筋混凝土造,1995年10月5日,四層,一層 二層 三層 四層 陽台
29,RPQNMLOKOHOFFAU17CA,36.0,81.34,住商用,鋼筋混凝土造,1972年9月10日,四層,一層 二層 騎樓
30,RPQNMLOKOHOFFAU17CA,36.0,8.32,共有部份,鋼筋混凝土造,1972年9月10日,四層,nan
31,RPTNMLOKOHOFFAU47CA,nan,240.68,農舍,鋼筋混凝土造,103年5月23日,三層,一層 二層 三層 陽台
32,RPPOMLOLOHOFFAU27CA,20.0,113.78,住家用,鋼筋混凝土造,1988年5月20日,四層,三層 四層 陽台 見其他登記事項
33,RPPOMLOLOHOFFAU27CA,20.0,18.77,共有部份,鋼筋混凝土造,1988年5月20日,四層,nan
34,RPPOMLOLOHOFFAU27CA,20.0,14.25,停車空間,鋼筋混凝土造,1988年5月20日,四層,nan
35,RPPOMLOLOHOFFAU27CA,20.0,21.05,共有部份,鋼筋混凝土造,1988年5月20日,四層,nan
36,RPSNMLKLOHOFFAU07CA,3.0,131.4,農舍,鋼筋混凝土造,105年7月18日,三層,一層 二層 三層 陽台
37,RPWOMLKLOHOFFAU57CA,20.0,113.78,住家用,鋼筋混凝土造,1988年5月20日,五層,四層 五層 陽台 見其他登記事項
38,RPWOMLKLOHOFFAU57CA,20.0,13.5,停車空間,鋼筋混凝土造,1988年5月20日,五層,nan
39,RPWOMLKLOHOFFAU57CA,20.0,25.46,共有部份,鋼筋混凝土造,1988年5月20日,五層,nan
40,RPXNMLPLPHOFFAU18CA,22.0,88.28,住家用,鋼筋混凝土造,1986年3月18日,五層,一層 平台 停車場 夾層
41,RPXNMLPLPHOFFAU18CA,22.0,15.58,共有部份,鋼筋混凝土造,1986年3月18日,五層,nan
42,RPPOMLKKPHOFFAU86CA,36.0,90.75,店舖、住宅,鋼筋混凝土造,1972年9月10日,四層,一層 二層 騎樓
43,RPPOMLKKPHOFFAU86CA,36.0,8.32,共有部份,鋼筋混凝土造,1972年9月10日,四層,nan
44,RPWNMLSJPHOFFAU18CA,6.0,366.3,農舍,鋼筋混凝土造,101年11月21日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮 見其他登記事項
45,RPVNMLTKPHOFFAU28CA,22.0,77.67,住家用,鋼筋混凝土造,1986年8月27日,九層,二層 三層 陽台 露台
46,RPVNMLTKPHOFFAU28CA,22.0,10.76,共有部份,鋼筋混凝土造,1986年8月27日,九層,nan
47,RPVNMLTKPHOFFAU28CA,22.0,8.81,共有部份,鋼筋混凝土造,1986年8月27日,九層,nan
48,RPVNMLTKPHOFFAU28CA,22.0,3.04,共有部份,鋼筋混凝土造,1986年8月27日,九層,nan
49,RPQNMLPKPHOFFBU47CA,24.0,131.53,住家用,鋼筋混凝土加強磚造,1984年9月7日,二層,一層 二層 陽台 屋頂突出物
50,RPSPMLKKPHOFFAU27CA,3.0,185.93,住商用,鋼筋混凝土造,105年10月11日,九層,一層 二層 騎樓
51,RPSPMLKKPHOFFAU27CA,3.0,36.01,共有部份（機電室、電梯間、管理室、樓梯間、騎樓）,鋼筋混凝土造,105年10月11日,九層,nan
52,RPQOMLSJPHOFFAU67CA,38.0,81.6,住家用,鋼筋混凝土加強磚造,1969年12月23日,二層,一層 二層
