,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,吉安鄉,房地(土地+建物),花蓮縣吉安鄉山邊１３６號,2060.85,nan,山坡地保育區,暫未編定,1080219,土地1建物1車位0,一層，二層，見其他登記事項,二層,農舍,農舍,鋼筋混凝土造,840111.0,412.52,4,2,4,有,無,8350000,nan,nan,0.0,0,nan,RPWNMLLLNHOFFAU47CA,355.27,28.15,29.1,nan,nan
1,花蓮市,房地(土地+建物),花蓮縣花蓮市富裕七街１６號,25.41,商,nan,nan,1080404,土地1建物1車位0,一層，騎樓,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,871130.0,223.55,0,0,2,無,有,10820000,48401.0,nan,0.0,0,nan,RPQNMLNJOHOFFAU17EA,144.19,5.64,0.0,nan,nan
2,光復鄉,土地,大安段1474地號,68.11,商,nan,nan,1080426,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2060000,30245.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPRNMLPKNHOFFBU37CA,0.0,0.0,0.0,nan,nan
3,壽豐鄉,房地(土地+建物)+車位,花蓮縣壽豐鄉志學新?１６０之１號,46.31,住,nan,nan,1080429,土地1建物1車位1,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,880520.0,138.96,4,2,2,有,無,3500000,25187.0,一樓平面,13.39,0,nan,RPOOMLQKNHOFFAU17CA,91.9,3.5,7.58,nan,nan
4,花蓮市,土地,明義段998地號,10.0,商,nan,nan,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1375000,137500.0,nan,0.0,0,向政府機關承購之案件。；,RPROMLQKNHOFFAU67EA,0.0,0.0,0.0,nan,nan
5,光復鄉,房地(土地+建物),花蓮縣光復鄉敦厚路65號,94.0,住,nan,nan,1080412,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690628.0,122.57,4,2,2,有,無,2100000,17133.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLNKOHOFFBU17DA,122.57,0.0,0.0,nan,nan
6,光復鄉,土地,達莫段45地號,391.84,nan,特定農業區,農牧用地,1080507,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,889000,2269.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPPNMLNLNHOFFBU07CA,0.0,0.0,0.0,nan,nan
7,富里鄉,土地,福岡段357地號,1189.25,nan,山坡地保育區,農牧用地,1080507,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,100000,84.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLRKOHOFFCU77DA,0.0,0.0,0.0,nan,nan
8,玉里鎮,土地,大禹段808地號,7868.5,nan,特定農業區,農牧用地,1080430,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,4000000,508.0,nan,0.0,0,親友叔姪關係,RPQNMLKKOHOFFCU17EA,0.0,0.0,0.0,nan,nan
9,花蓮市,房地(土地+建物),花蓮縣花蓮市中美九街６號,13.02,商,nan,nan,1080430,土地1建物1車位0,一層，騎樓,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830801.0,75.56,0,0,0,無,有,1300000,17205.0,nan,0.0,0,nan,RPQPMLNLNHOFFAU27CA,65.38,0.0,0.0,nan,nan
