,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPWNMLLLNHOFFAU47CA,白雲段,2060.85,非都市：山坡地保育區 ; 非都市編定：暫未編定,1,1,全筆移轉,1800000
1,RPQNMLNJOHOFFAU17EA,裕民段,25.41,都市：商,100000,3682,持分移轉,4660000
2,RPRNMLPKNHOFFBU37CA,大安段,68.11,都市：商,594,104,持分移轉,14740000
3,RPOOMLQKNHOFFAU17CA,路內段,46.31,都市：住,100000,899,持分移轉,3740000
4,RPROMLQKNHOFFAU67EA,明義段,10.0,都市：商,1,1,全筆移轉,9980000
5,RPPNMLNKOHOFFBU17DA,大安段,94.0,都市：住,1,1,全筆移轉,10840008
6,RPPNMLNLNHOFFBU07CA,達莫段,391.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,450000
7,RPQNMLRKOHOFFCU77DA,福岡段,1189.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,3570000
8,RPQNMLKKOHOFFCU17EA,大禹段,234.0,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,8050001
9,RPQNMLKKOHOFFCU17EA,大禹段,6567.5,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,8060000
10,RPQNMLKKOHOFFCU17EA,大禹段,153.0,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,8060005
11,RPQNMLKKOHOFFCU17EA,大禹段,247.0,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,8070001
12,RPQNMLKKOHOFFCU17EA,大禹段,667.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,8080000
13,RPQPMLNLNHOFFAU27CA,樹人段,13.02,都市：商,10000,370,持分移轉,5720000
14,RPOOMLMLNHOFFAU86CA,慈安段,84.0,都市：住,1,1,全筆移轉,10900005
15,RPQNMLMLNHOFFCU17CA,東豐南段,2840.34,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,4220000
16,RPRNMLSLNHOFFAU67CA,南埔段,970.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,32340004
17,RPQNMLOJOHOFFCU27CA,玉昌段,100.61,都市：住,18,1,持分移轉,3840002
18,RPQNMLOJOHOFFCU27CA,玉昌段,3.44,都市：其他:住宅佔34.76 綠地佔65.24,18,1,持分移轉,3840008
19,RPQNMLKLOHOFFBU96CA,馬遠段,4805.5,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,13330333
20,RPSNMLOKOHOFFAU37CA,明義段,20.0,都市：商,1,1,全筆移轉,1100000
21,RPQOMLQJOHOFFAU37CA,慈勝段,1157.03,都市：農,1,1,全筆移轉,10020000
22,RPPNMLTLNHOFFCU77CA,富安段,245.43,都市：住,1,1,全筆移轉,10220002
23,RPRNMLOLOHOFFAU37CA,忠孝段,1046.0,都市：農,1,1,全筆移轉,2800000
24,RPSNMLOJOHOFFAU27CA,南埔段,1202.0,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,24260000
25,RPWNMLOKOHOFFAU77CA,國光段,30.17,都市：住,10000,255,持分移轉,330000
26,RPWNMLLMNHOFFAU57CA,路內段,46.4,都市：住,100000,974,持分移轉,3800000
27,RPPOMLLMNHOFFAU96CA,明義段,38.62,都市：商,8,1,持分移轉,11630000
