,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPPNMLLLNHOFFAE77CA,大成段,43.15,都市：住,10000.0,267.0,持分移轉,1670000
1,RPXOMLPKNHOFFBE09CA,五塊厝段,4.09,都市：商,10000.0,60.0,持分移轉,18140002
2,RPXNMLMLNHOFFBE78CA,大統段二小段,33.0,都市：商,10000.0,215.0,持分移轉,11070000
3,RPXNMLMLNHOFFBE78CA,大統段二小段,11.35,都市：商,10000.0,215.0,持分移轉,11070003
4,RPOOMLRLNHOFFBE48CA,正憲段,15.99,都市：其他:市場用地,10000.0,58.0,持分移轉,650000
5,RPOOMLRLNHOFFBE48CA,正憲段,7.99,都市：其他:市場用地,10000.0,29.0,持分移轉,650000
6,RPOOMLRLNHOFFBE48CA,正憲段,7.99,都市：其他:市場用地,10000.0,29.0,持分移轉,650000
7,RPOOMLRLNHOFFBE48CA,正憲段,15.99,都市：其他:市場用地,10000.0,58.0,持分移轉,650000
8,RPOOMLRLNHOFFBE48CA,正憲段,15.99,都市：其他:市場用地,10000.0,58.0,持分移轉,650000
9,RPOOMLRLNHOFFBE48CA,正憲段,34.73,都市：其他:市場用地,10000.0,126.0,持分移轉,650000
10,RPUNMLRKNHOFFCE98CA,草衙段一小段,81.58,都市：住,1.0,1.0,全筆移轉,9280000
11,RPQNMLSKNHOFFCE68CA,憲德段,50.62,都市：其他:道路用地,16.0,10.0,持分移轉,470001
12,RPTNMLRLNHOFFCE98CA,朝陽段,86.0,都市：住,1.0,1.0,全筆移轉,3460010
13,RPOPMLOJOHOFFCE28CA,?莊段,18.24,都市：商,10000.0,78.0,持分移轉,7380000
14,RPWNMLLKOHOFFCE68CA,店鎮段,19.73,都市：住,10000.0,243.0,持分移轉,2550000
15,RPRPMLPKNHOFFDE78CA,鼎中段,81.91,都市：其他:道路用地,9.0,6.0,持分移轉,3780000
16,RPUPMLPKNHOFFDE09CA,大港段二小段,143.0,都市：住,1.0,1.0,全筆移轉,12700011
17,RPXPMLPKNHOFFDE76CA,中都段二小段,21.67,都市：住,3.0,1.0,持分移轉,3140000
18,RPUNMLOLNHOFFDE88CA,大豐段三小段,0.36,都市：商,10000.0,3.0,持分移轉,90000
19,RPUNMLOLNHOFFDE88CA,大豐段三小段,0.17,都市：住,10000.0,3.0,持分移轉,90001
20,RPSNMLRLNHOFFDE98CA,大豐段三小段,16.42,都市：商,10000.0,136.0,持分移轉,90000
21,RPSNMLRLNHOFFDE98CA,大豐段三小段,7.6,都市：住,10000.0,136.0,持分移轉,90001
22,RPPOMLKLNHOFFEE18CA,和平段五小段,17.16,都市：住,10000.0,230.0,持分移轉,2000000
23,RPSQMLQKNHOFFFE66CA,安西段,219.89,都市：工,1.0,1.0,全筆移轉,8110000
24,RPUOMLMLNHOFFFE98CA,大仁段,13.74,都市：住,100000.0,533.0,持分移轉,30580000
25,RPSPMLNJOHOFFFE88CA,赤慈段,271.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,3510002
26,RPPPMLPJOHOFFFE78CA,仕和段,215.74,都市：其他:道路用地,3.0,2.0,持分移轉,8540000
27,RPPPMLPJOHOFFFE78CA,仕和段,87.86,都市：其他:道路用地,3.0,2.0,持分移轉,8540003
28,RPSOMLQJOHOFFFE09CA,大華段,209.12,非都市：山坡地保育區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,2380000
29,RPVNMLOKNHOFFGE56CA,文英段,30.05,都市：住,1000000000.0,1431988.0,持分移轉,580000
30,RPTPMLOKNHOFFGE56CA,頂庄段,68.93,都市：住,1.0,1.0,全筆移轉,5040000
31,RPSOMLLMNHOFFGE88CA,福誠段,18.32,都市：住,10000.0,40.0,持分移轉,190000
32,RPPNMLQKNHOFFIE98CA,大丘園段,403.72,都市：其他:道路用地,1.0,1.0,全筆移轉,4490000
33,RPROMLMLNHOFFIE98CA,松埔段,29.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000.0,68.0,持分移轉,5310000
34,RPROMLMLNHOFFIE98CA,松埔段,7.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000.0,20.0,持分移轉,6440000
35,RPWNMLRLNHOFFIE27CA,草潭段,25.48,都市：住,300.0,11.0,持分移轉,11690000
36,RPTNMLOKNHOFFJE66CA,nan,557.0,都市：農,2.0,1.0,持分移轉,21780000
