,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPPNMLLLNHOFFAE77CA,坡道平面,0,nan,nan
1,RPXNMLMLNHOFFBE78CA,坡道平面,0,nan,nan
2,RPXNMLMLNHOFFBE78CA,坡道平面,0,nan,nan
3,RPOPMLOJOHOFFCE28CA,坡道平面,0,nan,nan
4,RPWNMLLKOHOFFCE68CA,坡道平面,0,nan,nan
5,RPUNMLOLNHOFFDE88CA,坡道平面,158452,27.85,nan
6,RPUNMLQKNHOFFDE09DA,坡道平面,0,nan,nan
7,RPUNMLQKNHOFFDE09DA,坡道平面,0,nan,nan
8,RPSPMLQJOHOFFGE66CA,坡道平面,0,nan,nan
9,RPSPMLQJOHOFFGE66CA,坡道平面,0,nan,nan
10,RPQOMLPKNHOFFGE88CA,坡道平面,0,25.24,nan
11,RPRNMLKLNHOFFDE18CA,坡道平面,800000,nan,nan
12,RPWPMLNJOHOFFCE98CA,坡道平面,0,nan,nan
13,RPXPMLNJOHOFFCE09CA,坡道平面,0,nan,nan
14,RPPNMLPKNHOFFAE08CA,升降機械,0,nan,nan
15,RPQPMLKKOHOFFAE97CA,坡道平面,0,26.32,nan
16,RPUNMLNJOHOFFCE58CA,坡道平面,910000,24.86,nan
17,RPWNMLNJOHOFFCE78CA,坡道平面,960000,24.86,nan
18,RPXNMLNJOHOFFCE88CA,坡道平面,960000,24.86,nan
19,RPPOMLNJOHOFFCE18CA,坡道平面,1000000,24.86,nan
20,RPQOMLNJOHOFFCE28CA,坡道平面,960000,24.86,nan
21,RPROMLNJOHOFFCE38CA,坡道平面,960000,24.86,nan
22,RPTOMLNJOHOFFCE58CA,坡道平面,1000000,24.86,nan
23,RPUOMLNJOHOFFCE68CA,坡道平面,960000,24.86,nan
24,RPUNMLQKNHOFFEE09CA,坡道平面,0,22.75,nan
25,RPRNMLKMNHOFFIE88DA,坡道機械,0,nan,nan
26,RPPOMLLLNHOFFGE58DA,坡道平面,0,nan,nan
27,RPXOMLMLNHOFFEE66DA,坡道平面,0,23.25,nan
28,RPPOMLQJOHOFFEE68CA,坡道平面,0,nan,nan
29,RPUNMLLLNHOFFDE58CA,一樓平面,0,nan,nan
30,RPQNMLOJOHOFFCE28CA,坡道平面,0,18.34,nan
