,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPOOMLOKNHOFFBC87CA,24.0,40.41,共用部份,鋼筋混凝土造,1984年6月10日,四層,nan
1,RPSNMLPKNHOFFBC28CA,47.0,82.2,住家用,鋼筋混凝土加強磚造,1961年9月20日,四層,三層
2,RPRNMLMLNHOFFBC97CA,47.0,10.76,住家用,鋼筋混凝土造,1960年10月26日,四層,地下層
3,RPRNMLMLNHOFFBC97CA,47.0,13.87,住家用,鋼筋混凝土造,1960年10月26日,四層,一層 騎樓
4,RPROMLPKNHOFFCC38CA,36.0,93.15,商業用,鋼筋混凝土造,1971年12月1日,四層,一層 平台 騎樓
5,RPQNMLTKNHOFFCC58CA,38.0,92.24,商業用,鋼筋混凝土造,1970年6月17日,五層,一層 騎樓
6,RPTNMLQJOHOFFBC48CA,1.0,118.47,集合住宅,鋼筋混凝土造,106年10月18日,十五層,九層 陽台 雨遮
7,RPTNMLQJOHOFFBC48CA,1.0,59.03,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,nan
8,RPTNMLQJOHOFFBC48CA,1.0,24.2,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,nan
9,RPTNMLQJOHOFFBC48CA,1.0,0.74,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,nan
10,RPUNMLQJOHOFFBC58CA,1.0,121.45,集合住宅,鋼筋混凝土造,106年10月18日,十五層,十四層 陽台
11,RPUNMLQJOHOFFBC58CA,1.0,59.71,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,nan
12,RPUNMLQJOHOFFBC58CA,1.0,19.9,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,nan
13,RPUNMLQJOHOFFBC58CA,1.0,0.61,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,nan
14,RPVNMLQJOHOFFBC68CA,1.0,133.25,集合住宅,鋼筋混凝土造,106年10月18日,十五層,二層 陽台 雨遮
15,RPVNMLQJOHOFFBC68CA,1.0,21.58,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,nan
