,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,信義區,車位,基隆市信義區深澳坑路168巷42號等共同使用,4.31,住,nan,nan,1080426,土地0建物0車位1,nan,nan,其他,nan,nan,nan,40.41,0,0,0,有,有,550000,nan,坡道平面,40.41,550000,親友、員工或其他特殊關係間之交易。；單獨車位交易。；買方為兩位共有.,RPOOMLOKNHOFFBC87CA,0.0,0.0,0.0,nan,nan
1,信義區,房地(土地+建物),基隆市信義區義六路36之42號,36.5,住,nan,nan,1080415,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,610920.0,82.2,3,1,1,有,無,5200000,63260.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPSNMLPKNHOFFBC28CA,82.2,0.0,0.0,nan,nan
2,中正區,房地(土地+建物),基隆市中正區中正路２９５號,5.89,住,nan,nan,1080423,土地2建物2車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601026.0,24.63,3,2,2,有,無,600000,24361.0,nan,0.0,0,nan,RPRNMLMLNHOFFBC97CA,24.63,0.0,0.0,nan,nan
3,暖暖區,房地(土地+建物),基隆市暖暖區碇內街７７號,44.71,住,nan,nan,1080416,土地2建物1車位0,一層，騎樓,四層,店面(店鋪),商業用,鋼筋混凝土造,711201.0,93.15,1,1,1,有,無,4800000,51530.0,nan,0.0,0,nan,RPROMLPKNHOFFCC38CA,83.85,9.3,0.0,nan,nan
4,七堵區,房地(土地+建物),基隆市七堵區百六街１１號,26.5,住,nan,nan,1080407,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,700617.0,92.24,0,0,0,無,無,10600000,114918.0,nan,0.0,0,nan,RPQNMLTKNHOFFCC58CA,92.24,0.0,0.0,nan,nan
5,信義區,房地(土地+建物)+車位,基隆市信義區孝東路140號九樓,23.64,住,nan,nan,1080331,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,202.44,3,2,2,有,有,9660000,52018.0,坡道平面,35.96,1000000,土地及建物分次登記案件。前案土地登記收件字號：；,RPTNMLQJOHOFFBC48CA,104.37,1.41,12.69,nan,nan
6,信義區,房地(土地+建物)+車位,基隆市信義區孝東路146之3號十四樓,24.5,住,nan,nan,1071231,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,201.67,3,2,2,有,有,10350000,55217.0,坡道平面,35.96,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPUNMLQJOHOFFBC58CA,108.3,0.0,13.15,nan,nan
7,信義區,房地(土地+建物)+車位,基隆市信義區孝東路146之1號二樓,26.78,住,nan,nan,1080310,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,217.24,3,2,2,有,有,10700000,53233.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPVNMLQJOHOFFBC68CA,119.43,1.16,12.66,nan,nan
8,信義區,房地(土地+建物)+車位,基隆市信義區孝東路146之1號八樓,26.78,住,nan,nan,1080129,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,217.24,3,2,2,有,有,11500000,57646.0,坡道平面,35.96,1050000,土地及建物分次登記案件。前案土地登記收件字號：；,RPWNMLQJOHOFFBC78CA,119.43,1.16,12.66,nan,nan
9,信義區,房地(土地+建物)+車位,基隆市信義區孝東路98之3號五樓,27.92,住,nan,nan,1080331,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018.0,224.66,3,2,2,有,有,11800000,56174.0,坡道平面,35.96,1200000,土地及建物分次登記案件。前案土地登記收件字號：；,RPXNMLQJOHOFFBC88CA,125.09,0.96,13.47,nan,nan
