,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPOOMLOKNHOFFBC87CA,坡道平面,550000,40.41,nan
1,RPTNMLQJOHOFFBC48CA,坡道平面,1000000,35.96,nan
2,RPUNMLQJOHOFFBC58CA,坡道平面,1200000,35.96,nan
3,RPVNMLQJOHOFFBC68CA,坡道平面,1050000,35.96,nan
4,RPWNMLQJOHOFFBC78CA,坡道平面,1050000,35.96,nan
5,RPXNMLQJOHOFFBC88CA,坡道平面,1200000,35.96,nan
6,RPOOMLQJOHOFFBC08CA,坡道平面,1050000,35.96,nan
7,RPPOMLQJOHOFFBC18CA,坡道平面,1200000,35.96,nan
8,RPQOMLQJOHOFFBC28CA,坡道平面,1200000,35.96,nan
9,RPSOMLQJOHOFFBC48CA,坡道平面,1150000,31.21,nan
10,RPTOMLQJOHOFFBC58CA,坡道平面,1150000,31.21,nan
11,RPUOMLQJOHOFFBC68CA,坡道平面,950000,31.21,nan
12,RPXOMLQJOHOFFBC98CA,坡道平面,1000000,35.96,nan
13,RPPPMLQJOHOFFBC28CA,坡道平面,1050000,35.96,nan
14,RPQPMLQJOHOFFBC38CA,坡道平面,1050000,35.96,nan
15,RPSNMLKKOHOFFBC87CA,坡道平面,1150000,31.21,nan
16,RPQNMLRLNHOFFCC48CA,坡道平面,1200000,33.36,nan
17,RPRNMLRLNHOFFCC58CA,坡道平面,1200000,33.36,nan
18,RPQNMLNLNHOFFCC08CA,坡道平面,1200000,33.36,nan
19,RPRNMLNLNHOFFCC18CA,坡道平面,1200000,33.36,nan
20,RPTNMLNLNHOFFCC38CA,坡道平面,1200000,33.36,nan
21,RPUNMLNLNHOFFCC48CA,坡道平面,1200000,33.36,nan
22,RPWNMLNLNHOFFCC68CA,坡道平面,1200000,33.36,nan
23,RPXNMLNLNHOFFCC78CA,坡道平面,1200000,33.36,nan
24,SPXNMLNLNHOFFCC88CA,坡道平面,1200000,33.36,nan
25,TPXNMLNLNHOFFCC98CA,坡道平面,1200000,33.36,nan
26,RPQOMLMLNHOFFBC97CA,坡道平面,1000000,18.17,nan
27,RPUNMLSJPHOFFCC98CA,坡道平面,0,nan,nan
28,RPVNMLSJPHOFFCC09CA,坡道平面,0,nan,nan
29,RPUNMLTLNHOFFCC09CA,一樓平面,0,nan,nan
30,RPVNMLOLOHOFFBC68CA,坡道平面,1200000,35.96,nan
31,RPWNMLOLOHOFFBC78CA,坡道平面,1200000,35.96,nan
32,RPXNMLOLOHOFFBC88CA,坡道平面,1050000,35.96,nan
33,RPPNMLNJOHOFFCC87CA,坡道平面,0,32.86,nan
34,RPPOMLOLOHOFFBC18CA,坡道平面,900000,31.21,nan
35,RPQOMLOLOHOFFBC28CA,坡道平面,1050000,35.96,nan
36,RPROMLOLOHOFFBC38CA,坡道平面,1200000,35.96,nan
37,RPSOMLOLOHOFFBC48CA,坡道平面,1050000,35.96,nan
38,RPPNMLQLOHOFFCC38CA,升降機械,0,nan,nan
39,RPPNMLQLOHOFFCC38CA,升降機械,0,nan,nan
40,RPPNMLQLOHOFFCC38CA,升降機械,0,nan,nan
41,RPQNMLOKOHOFFCC18CA,坡道平面,1000000,15.87,nan
42,RPQNMLOKOHOFFCC18CA,坡道平面,1000000,13.47,nan
43,RPWNMLOLOHOFFCC88CA,坡道平面,0,nan,nan
44,RPSNMLPKPHOFFBC48CA,坡道平面,1000000,35.96,nan
