,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,金寧鄉,房地(土地+建物),金門縣金寧鄉下堡１９６號二樓,19.92,其他,nan,nan,1080411,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1031113.0,36.08,1,1,1,有,無,2060000,57095.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPUNMLOKNHOFFAW67CA,28.94,0.0,2.78,nan,nan
1,金沙鎮,土地,英坑段931地號,79.93,農,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,100000,1251.0,nan,0.0,0,袋地無對外通路之農地,RPTNMLPKNHOFFAW67CA,0.0,0.0,0.0,nan,nan
2,金寧鄉,土地,寧湖一劃段257-4地號,26.44,其他,nan,nan,1080410,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,37821.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQNMLLMNHOFFAW17CA,0.0,0.0,0.0,nan,nan
3,金寧鄉,土地,湖尾段1167地號,540.05,農,nan,nan,1080506,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,1852.0,nan,0.0,0,沒有通路的農地。,RPOOMLLLNHOFFAW96CA,0.0,0.0,0.0,nan,nan
4,金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２３９號二樓,20.51,住,nan,nan,1080502,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050421.0,102.97,3,2,2,有,無,6200000,60212.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPUNMLLLNHOFFAW47CA,69.35,2.21,8.06,nan,nan
5,金城鎮,房地(土地+建物),金門縣金城鎮小西門４０號,31.6,其他,nan,nan,1080412,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1070713.0,60.85,2,1,1,有,無,4120000,67707.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPQNMLOLNHOFFAW37CA,50.83,1.27,2.81,nan,nan
6,金湖鎮,土地,新頭段205-2地號,5145.16,其他,nan,nan,1080513,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,15000000,2915.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLOJOHOFFAW47CA,0.0,0.0,0.0,nan,nan
7,金沙鎮,土地,浯坑劃測段577地號,2664.47,農,nan,nan,1080523,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2580000,968.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；早期約定,RPSNMLNJOHOFFAW47DA,0.0,0.0,0.0,nan,nan
8,金湖鎮,房地(土地+建物),金門縣金湖鎮赤東路19號2樓,13.75,住,nan,nan,1080501,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1041201.0,69.33,1,1,1,有,有,3810000,54955.0,nan,0.0,0,急買急賣。；,RPUNMLTKOHOFFAW38DA,47.98,2.68,2.65,nan,nan
9,金沙鎮,土地,官澳測段291地號,373.64,其他,nan,nan,1080516,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,560000,1499.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPPNMLOJOHOFFAW17CA,0.0,0.0,0.0,nan,nan
10,金湖鎮,土地,料羅段1325地號,2130.48,農,nan,nan,1080526,土地9建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3759898,1765.0,nan,0.0,0,含增建或未登記建物。；受債權債務影響或債務抵償之交易。；急買急賣。；,RPQNMLSKOHOFFAW77CA,0.0,0.0,0.0,nan,nan
11,金城鎮,土地,山前段395地號,318.0,農,nan,nan,1080529,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,636000,2000.0,nan,0.0,0,無通路之農地,RPSNMLPJOHOFFAW57CA,0.0,0.0,0.0,nan,nan
12,金沙鎮,土地,北九劃段991地號,500.0,農,nan,nan,1080524,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1050000,2100.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLLKOHOFFAW47CA,0.0,0.0,0.0,nan,nan
13,金沙鎮,土地,北九劃段750地號,2000.0,農,nan,nan,1080524,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6600000,3300.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLLKOHOFFAW57CA,0.0,0.0,0.0,nan,nan
14,金沙鎮,土地,浯坑劃測段835地號,2154.58,農,nan,nan,1080524,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,10350000,4804.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；自然村含其地上舊有建物480萬其他土地農業區、道路用地555萬,RPWNMLLKOHOFFAW67CA,0.0,0.0,0.0,nan,nan
15,金寧鄉,房地(土地+建物),金門縣金寧鄉后沙86號,364.95,農,nan,nan,1080605,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1080418.0,371.28,6,3,5,有,無,15000000,40401.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSOMLMKOHOFFAW57DA,361.66,0.0,9.62,nan,nan
16,金湖鎮,房地(土地+建物),金門縣金湖鎮新市里中興路56號,37.01,商,nan,nan,1080528,土地2建物1車位0,一層，二層，三層,三層,店面(店鋪),住商用,鋼筋混凝土造,680415.0,106.02,2,3,3,有,無,12000000,113186.0,nan,0.0,0,nan,RPQNMLOKOHOFFAW47DA,106.02,0.0,0.0,nan,nan
17,金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路１３７號七樓,17.23,住,nan,nan,1080606,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050617.0,89.99,2,2,1,有,無,6200000,68897.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPPOMLSKOHOFFAW77CA,56.0,4.79,3.8,nan,nan
18,金湖鎮,土地,峰上段355地號,1070.63,農,nan,nan,1080529,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1570000,1466.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPWNMLOKOHOFFAW97CA,0.0,0.0,0.0,nan,nan
19,金寧鄉,土地,寧湖三劃段873地號,1000.0,農,nan,nan,1080531,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2400000,2400.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLSKOHOFFAW87CA,0.0,0.0,0.0,nan,nan
20,金寧鄉,土地,寧湖二劃測段1386地號,701.8,其他,nan,nan,1080606,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1550000,2209.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLPLOHOFFAW47CA,0.0,0.0,0.0,nan,nan
21,金寧鄉,房地(土地+建物),金門縣金寧鄉下堡２２６號二樓,50.76,其他,nan,nan,1080612,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1061116.0,81.91,2,2,2,有,無,4200000,51276.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPOOMLPLOHOFFAW47CA,62.76,0.0,12.32,nan,nan
22,金城鎮,土地,東沙段418地號,971.36,其他,nan,nan,1080606,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2500000,2574.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPSNMLRLOHOFFAW97CA,0.0,0.0,0.0,nan,nan
23,金城鎮,房地(土地+建物),金門縣金城鎮浯江路１之１５號,201.84,農,nan,nan,1080513,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1000509.0,192.52,6,1,4,有,無,12250000,nan,nan,0.0,0,nan,RPXNMLMJPHOFFAW87CA,178.93,9.36,4.23,nan,nan
24,金寧鄉,土地,盤山村段231地號,11.5,其他,nan,nan,1080529,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,517500,45000.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLNJPHOFFAW27CA,0.0,0.0,0.0,nan,nan
25,金湖鎮,土地,瓊林段1283-1地號,46.0,其他,nan,nan,1080606,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1680000,36522.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLNJPHOFFAW37CA,0.0,0.0,0.0,nan,nan
26,金寧鄉,土地,中三劃測段530地號,244.34,農,nan,nan,1080530,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3176420,13000.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOLPHOFFAW67DA,0.0,0.0,0.0,nan,nan
