,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPUNMLOKNHOFFAW67CA,青山段,19.92,都市：其他:自然村專用區,10000,234,持分移轉,10450001
1,RPTNMLPKNHOFFAW67CA,英坑段,79.93,都市：農,1,1,全筆移轉,9310000
2,RPQNMLLMNHOFFAW17CA,寧湖一劃段,26.44,都市：其他:道路用地,2,1,持分移轉,2570004
3,RPOOMLLLNHOFFAW96CA,湖尾段,171.61,都市：農,1,1,全筆移轉,4240000
4,RPOOMLLLNHOFFAW96CA,湖尾段,109.31,都市：農,1,1,全筆移轉,8390000
5,RPOOMLLLNHOFFAW96CA,湖尾段,259.13,都市：農,1,1,全筆移轉,11670000
6,RPUNMLLLNHOFFAW47CA,市港段,20.51,都市：住,10000,296,持分移轉,530000
7,RPQNMLOLNHOFFAW37CA,小西門劃測段,31.6,都市：其他:自然村專用區,10000,1556,持分移轉,1360000
8,RPSNMLOJOHOFFAW47CA,新頭段,5145.16,都市：其他:保護區,1,1,全筆移轉,2050002
9,RPSNMLNJOHOFFAW47DA,浯坑劃測段,600.0,都市：其他:農業區+保護區,1,1,全筆移轉,1800000
10,RPSNMLNJOHOFFAW47DA,浯坑劃測段,967.02,都市：農,1,1,全筆移轉,3490000
11,RPSNMLNJOHOFFAW47DA,浯坑劃測段,272.17,都市：農,1,1,全筆移轉,5770000
12,RPSNMLNJOHOFFAW47DA,西園測段,452.28,都市：其他:保護區,1,1,全筆移轉,2010000
13,RPSNMLNJOHOFFAW47DA,西園段,373.0,都市：農,1,1,全筆移轉,12880000
14,RPUNMLTKOHOFFAW38DA,市港段,13.75,都市：住,10000,87,持分移轉,80000
15,RPPNMLOJOHOFFAW17CA,官澳測段,373.64,都市：其他:第二類一般管制區,1,1,全筆移轉,2910000
16,RPQNMLSKOHOFFAW77CA,料羅段,309.37,都市：農,2,1,持分移轉,3620000
17,RPQNMLSKOHOFFAW77CA,料羅段,162.06,都市：農,1,1,全筆移轉,4830000
18,RPQNMLSKOHOFFAW77CA,料羅段,40.84,都市：農,1,1,全筆移轉,7400000
19,RPQNMLSKOHOFFAW77CA,料羅段,304.75,都市：農,1,1,全筆移轉,7500000
20,RPQNMLSKOHOFFAW77CA,料羅段,644.1,都市：農,1,1,全筆移轉,7960000
21,RPQNMLSKOHOFFAW77CA,料羅段,620.36,都市：農,1,1,全筆移轉,9610002
22,RPQNMLSKOHOFFAW77CA,料羅段,29.0,都市：住,2,1,持分移轉,13250000
23,RPQNMLSKOHOFFAW77CA,料羅段,16.0,都市：住,1,1,全筆移轉,13270000
24,RPQNMLSKOHOFFAW77CA,料羅段,4.0,都市：住,9,1,持分移轉,13280000
25,RPSNMLPJOHOFFAW57CA,山前段,318.0,都市：農,1,1,全筆移轉,3950000
26,RPUNMLLKOHOFFAW47CA,北九劃段,500.0,都市：農,2,1,持分移轉,9910000
27,RPVNMLLKOHOFFAW57CA,沙港劃段,1000.0,都市：農,1,1,全筆移轉,660000
28,RPVNMLLKOHOFFAW57CA,北九劃段,1000.0,都市：農,1,1,全筆移轉,7500000
29,RPWNMLLKOHOFFAW67CA,沙港劃段,926.81,都市：農,1,1,全筆移轉,820000
30,RPWNMLLKOHOFFAW67CA,沙港劃段,73.19,都市：其他:道路用地,1,1,全筆移轉,820001
31,RPWNMLLKOHOFFAW67CA,北九劃段,673.0,都市：農,1,1,全筆移轉,9590000
32,RPWNMLLKOHOFFAW67CA,浯坑劃測段,481.58,都市：其他:自然村專用區,1,1,全筆移轉,8350000
33,RPSOMLMKOHOFFAW57DA,北四劃段,364.95,都市：農,1,1,全筆移轉,2970000
34,RPQNMLOKOHOFFAW47DA,新市段,3.01,都市：其他:道路用地,1,1,全筆移轉,8640000
35,RPQNMLOKOHOFFAW47DA,新市段,34.0,都市：商,1,1,全筆移轉,8650000
36,RPPOMLSKOHOFFAW77CA,市港段,17.23,都市：住,10000,405,持分移轉,1090000
37,RPWNMLOKOHOFFAW97CA,峰上段,437.18,都市：農,1,1,全筆移轉,3550000
38,RPWNMLOKOHOFFAW97CA,峰上段,129.51,都市：農,1,1,全筆移轉,4270000
39,RPWNMLOKOHOFFAW97CA,峰上段,93.65,都市：其他:保護區,1,1,全筆移轉,5620000
40,RPWNMLOKOHOFFAW97CA,峰上段,410.29,都市：其他:保護區,1,1,全筆移轉,6430000
41,RPRNMLSKOHOFFAW87CA,寧湖三劃段,1000.0,都市：農,1,1,全筆移轉,8730000
42,RPPNMLPLOHOFFAW47CA,寧湖二劃測段,701.8,都市：其他:保護區/農業區,2,1,持分移轉,13860000
43,RPOOMLPLOHOFFAW47CA,青山段,50.76,都市：其他:自然村專用區,10000,668,持分移轉,10790000
44,RPSNMLRLOHOFFAW97CA,東沙段,971.36,都市：其他:國家公園,1,1,全筆移轉,4180000
45,RPXNMLMJPHOFFAW87CA,烏土段,100.92,都市：農,2,1,持分移轉,5330000
46,RPXNMLMJPHOFFAW87CA,烏土段,100.92,都市：農,2,1,持分移轉,5330000
47,RPQNMLNJPHOFFAW27CA,盤山村段,11.5,都市：其他:自然村專用區,8,1,持分移轉,2310000
48,RPRNMLNJPHOFFAW37CA,瓊林段,16.72,都市：其他:歷史風貌用地,3,1,持分移轉,12830000
49,RPRNMLNJPHOFFAW37CA,瓊林段,8.69,都市：其他:歷史風貌用地,3,1,持分移轉,12830001
50,RPRNMLNJPHOFFAW37CA,瓊林段,20.59,都市：其他:歷史風貌用地,3,1,持分移轉,12830002
51,RPQNMLOLPHOFFAW67DA,中三劃測段,243.48,都市：農,3,1,持分移轉,5300000
52,RPQNMLOLPHOFFAW67DA,中三劃測段,0.86,都市：其他:農業區、道路用地,3,1,持分移轉,5300001
53,RPVNMLLJPHOFFAW57CA,中三劃測段,169.16,都市：農,1,1,全筆移轉,2710000
54,UPSNMLMJPHOFFAW67CA,祥瑞段,9.93,都市：住,10000,650,持分移轉,6000000
55,RPVNMLNJPHOFFAW77CA,青山段,19.92,都市：其他:自然村專用區,10000,234,持分移轉,10450001
56,RPRNMLSJPHOFFAW87CA,北九劃段,1000.0,都市：農,1,1,全筆移轉,8010000
57,RPRNMLSJPHOFFAW87CA,北九劃段,500.0,都市：農,2,1,持分移轉,10050000
58,RPRNMLSJPHOFFAW87CA,浯坑劃測段,495.28,都市：農,1,1,全筆移轉,2130000
59,RPRNMLSJPHOFFAW87CA,浯坑劃測段,640.07,都市：農,1,1,全筆移轉,2270000
60,RPWNMLKKPHOFFAW67CA,新頭段,125.53,都市：其他:自然村專用區,10000,378,持分移轉,11520000
61,RPOOMLKKPHOFFAW96CA,新頭段,130.18,都市：其他:自然村專用區,10000,392,持分移轉,11520000
62,RPQOMLKKPHOFFAW17CA,新頭段,116.9,都市：其他:自然村專用區,10000,352,持分移轉,11520000
