,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPWNMLKKPHOFFAW67CA,坡道平面,700000,13.98,nan
1,RPWNMLKKPHOFFAW67CA,坡道平面,700000,13.98,nan
2,RPOOMLKKPHOFFAW96CA,坡道平面,1000000,13.98,nan
3,RPQOMLKKPHOFFAW17CA,坡道平面,1000000,13.98,nan
4,RPSOMLKKPHOFFAW37CA,坡道平面,1000000,13.98,nan
5,RPUOMLKKPHOFFAW57CA,坡道平面,1000000,13.98,nan
6,RPWOMLKKPHOFFAW77CA,坡道平面,1000000,12.69,nan
7,RPPOMLMKPHOFFAW27CA,坡道平面,500000,13.98,nan
8,RPSNMLMKPHOFFAW47CA,坡道平面,1095506,13.98,nan
9,RPUNMLMKPHOFFAW67CA,坡道平面,1500000,13.98,nan
10,RPQNMLMKPHOFFAW27CA,坡道平面,1500000,13.98,nan
11,RPVNMLPKPHOFFAW08CA,坡道平面,1200000,13.98,nan
12,RPXNMLPKPHOFFAW28CA,坡道平面,1928000,13.98,nan
13,RPQNMLSKPHOFFAW87CA,坡道平面,800000,13.98,nan
14,RPSNMLSKPHOFFAW08CA,坡道平面,600000,13.98,nan
15,RPWNMLLJQHOFFAW77CA,坡道平面,800000,13.98,nan
