,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPXNMLRKNHOFFBK17CA,nan,287.67,辦公室,鋼筋混凝土造,nan,nan,nan
1,RPXNMLRKNHOFFBK17CA,nan,68.72,防空避難室，停車場,鋼筋混凝土造,nan,nan,nan
2,RPUOMLSLNHOFFCK27CA,nan,207.66,住家用,加強磚造,nan,三層,一層 二層 三層
3,RPQNMLOKNHOFFFK56CA,nan,95.17,住家用,鋼筋混凝土造,nan,nan,nan
4,RPQNMLOKNHOFFFK56CA,nan,24.67,住家用,鋼筋混凝土造,nan,nan,nan
5,RPQNMLOKNHOFFFK56CA,nan,8.68,住家用,鋼筋混凝土造,nan,nan,nan
6,RPPNMLQKNHOFFFK66CA,17.0,126.24,農舍,木造,1991年8月12日,二層,一層 二層 陽台 平台
7,RPVNMLPKNHOFFDK96CA,nan,119.65,住家用,鋼筋混凝土造,nan,nan,nan
8,RPVNMLPKNHOFFDK96CA,nan,3.54,見其他登記事項,鋼筋混凝土造,nan,nan,nan
9,RPVNMLPKNHOFFDK96CA,nan,19.19,見其他登記事項,鋼筋混凝土造,nan,nan,nan
10,RPWNMLRKNHOFFBK07CA,nan,287.67,辦公室,鋼筋混凝土造,nan,nan,nan
11,RPWNMLRKNHOFFBK07CA,nan,68.72,防空避難室，停車場,鋼筋混凝土造,nan,nan,nan
12,RPUNMLMLNHOFFDK66CA,nan,162.11,住家用,鋼筋混凝土造,nan,nan,nan
13,RPQNMLKLNHOFFDK78DA,nan,152.94,住商用,鋼筋混凝土造,nan,nan,nan
14,RPQNMLQJOHOFFEK66CA,5.0,381.43,農舍,鋼筋混凝土造,103年3月12日,二層,一層 二層 陽台 屋頂突出物
15,RPQNMLMLNHOFFBK68CA,nan,64.06,本共有部分之項目有停車空間（室內８輛）、防空避難室、樓梯間、電梯間及屋頂突出物等五項。,鋼筋混凝土造,107年11月23日,九層,nan
16,RPQNMLMLNHOFFBK68CA,nan,65.13,住家用,鋼筋混凝土造,107年11月23日,九層,九層 陽台 見其他登記事項
17,RPQNMLKLNHOFFBK48CA,nan,169.61,住家用,鋼筋混凝土造,nan,nan,nan
18,RPQOMLLMNHOFFFK56CA,11.0,200.16,住宅、停車空間,ＲＣ造,1997年5月28日,四層,一層 二層 三層 四層 陽台 雨遮 地下一層
19,RPQOMLLMNHOFFFK56CA,11.0,31.56,管理員室,ＲＣ造,1997年5月28日,四層,nan
20,RPUNMLMLNHOFFFK86CA,26.0,154.1,商業用,鋼筋混凝土造,1982年10月4日,六層,一層 騎樓
21,RPUNMLMLNHOFFFK86CA,26.0,61.65,地下室，樓梯間，機房，水箱,鋼筋混凝土造,1982年10月4日,六層,nan
22,RPPOMLLLNHOFFDK78CA,19.0,175.81,住家用,鋼筋混凝土造,1988年11月24日,三層,一層 二層 三層 電梯樓梯間
23,RPRNMLMLNHOFFDK98CA,nan,100.22,集合住宅,鋼筋混凝土造,107年11月21日,五層,五層 陽台
24,RPRNMLMLNHOFFDK98CA,nan,25.71,共有部分,鋼筋混凝土造,107年11月21日,五層,nan
25,RPRNMLMLNHOFFDK98CA,nan,21.01,共有部分,鋼筋混凝土造,107年11月21日,五層,nan
26,RPQNMLOKOHOFFBK88CA,26.0,100.38,住商用,鋼筋混凝土造,1982年4月25日,nan,一層 二層 陽台 騎樓
27,RPQNMLOKOHOFFBK88CA,26.0,8.33,水塔，機械室，電梯，樓梯,鋼筋混凝土造,1982年4月25日,nan,nan
28,RPQNMLOKOHOFFBK88CA,26.0,22.39,防空避難室兼停車場,鋼筋混凝土造,1982年4月25日,nan,nan
29,RPPOMLSKOHOFFBK66CA,21.0,64.45,集合住宅，儲藏室浴廁,鋼筋混凝土造,1987年6月18日,十層,十層 陽台 夾層
30,RPPOMLSKOHOFFBK66CA,21.0,247.54,停車空間,鋼筋混凝土造,1987年6月18日,十層,nan
31,RPPOMLSKOHOFFBK66CA,21.0,659.01,防空避難室，機械房，車道，突出物，水箱,鋼筋混凝土造,1987年6月18日,十層,nan
32,RPVNMLMLNHOFFFK96CA,26.0,174.15,住家用,鋼筋混凝土造,1982年2月15日,六層,五層 六層 見其他登記事項
33,RPVNMLMLNHOFFFK96CA,26.0,112.56,住家用,鋼筋混凝土造,1982年2月15日,六層,nan
34,RPSOMLMLNHOFFFK76CA,7.0,382.0,住宅、儲藏室,鋼骨造,101年3月19日,二層,一層 二層 陽台 見其他登記事項
35,RPPNMLNLNHOFFEK98CA,33.0,116.04,住家用,鋼筋混凝土造,1975年3月1日,三層,三層 陽台
36,RPWNMLLMNHOFFDK86CA,3.0,46.71,商業用、停車空間,鋼筋混凝土造,105年10月12日,十一層,一層
37,RPWNMLLMNHOFFDK86CA,3.0,29.65,共有部分,鋼筋混凝土造,105年10月12日,十一層,nan
38,RPWNMLLMNHOFFDK86CA,3.0,11.39,共有部分,鋼筋混凝土造,105年10月12日,十一層,nan
39,RPRNMLSKOHOFFBK76CA,12.0,227.53,住商用,鋼筋混凝土造,1996年7月4日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
40,RPPNMLTKOHOFFBK66CA,22.0,38.89,住商用,鋼筋混凝土造,1985年10月12日,nan,一層 平台 騎樓
41,RPPNMLTKOHOFFBK66CA,22.0,76.33,住家用,鋼筋混凝土造,1985年10月12日,nan,二層 陽台
42,RPPNMLTKOHOFFBK66CA,22.0,23.0,梯間，儲藏室，水塔,鋼筋混凝土造,1985年10月12日,nan,nan
43,RPPNMLTKOHOFFBK66CA,22.0,11.5,梯間，儲藏室，水塔,鋼筋混凝土造,1985年10月12日,nan,nan
44,RPUOMLSKOHOFFBK17CA,24.0,117.81,住家用,鋼筋混凝土造,1983年12月30日,五層,四層 五層 陽台 屋頂突出物 雨遮
45,RPUOMLSKOHOFFBK17CA,24.0,19.0,停車空間,鋼筋混凝土造,1983年12月30日,五層,nan
46,RPUOMLSKOHOFFBK17CA,24.0,7.34,樓梯間,鋼筋混凝土造,1983年12月30日,五層,nan
47,RPRNMLRLNHOFFDK86CA,40.0,114.08,住家用,鋼筋混凝土加強磚造,1968年1月26日,二層,一層 二層 騎樓
48,RPPNMLKMNHOFFFK88CA,43.0,43.12,住家用,磚造ＲＣ補強,1964年11月8日,一層,一層
49,RPRNMLSLNHOFFDK96CA,36.0,200.89,住家用,鋼筋混凝土加強磚造,1972年3月21日,二層,一層 二層 陽台 電梯樓梯間
50,RPQNMLSLNHOFFBK66CA,24.0,139.19,住家用,鋼筋混凝土造,1984年2月15日,四層,三層 四層 陽台 屋頂突出物
51,RPQNMLSLNHOFFBK66CA,24.0,8.04,樓梯間,鋼筋混凝土造,1984年2月15日,nan,nan
52,RPQNMLNJOHOFFBK68CA,25.0,176.06,店舖，辦公室,鋼筋混凝土造,1983年9月8日,nan,一層 二層 騎樓
53,RPQNMLNJOHOFFBK68CA,nan,42.55,防空避難室，停車場,鋼筋混凝土造,nan,nan,nan
54,RPXNMLSLNHOFFFK77CA,2.0,228.4,農舍,鋼筋混凝土造,105年11月17日,二層,一層 二層
55,RPPNMLPLOHOFFEK66CA,39.0,108.82,住家用,鋼筋混凝土加強磚造,1969年10月2日,二層,一層 二層 見其他登記事項
56,RPTNMLQJOHOFFDK96DA,40.0,94.94,住商用,鋼筋混凝土造,1968年9月15日,二層,一層 二層 騎樓
57,RPQNMLTLNHOFFEK07CA,30.0,126.75,住家用,鋼筋混凝土造,1978年10月9日,二層,一層 二層 陽台 電梯樓梯間
58,RPVNMLTLNHOFFBK27CA,nan,50.55,住家用,加強磚造,nan,一層,一層 見其他登記事項
59,RPWNMLLKOHOFFBK56CA,42.0,75.2,住家用,加強磚造,1966年3月16日,nan,一層 二層
60,RPRNMLLMNHOFFDK98CA,3.0,1.81,住家用,鋼筋混凝土造,105年1月25日,三層,一層 二層 三層 陽台 屋簷 見其他登記事項
61,RPSNMLPJOHOFFDK66CA,42.0,136.8,住家用,鋼筋混凝土造,1966年7月5日,三層,一層 二層 三層 騎樓 走廊
62,RPROMLNKOHOFFDK56CA,nan,96.55,店鋪、集合住宅,鋼筋混凝土造,107年8月27日,十四層,一層 陽台 見其他登記事項
63,RPROMLNKOHOFFDK56CA,nan,56.56,共有部分,鋼筋混凝土造,107年8月27日,十四層,nan
64,RPROMLNKOHOFFDK56CA,nan,2.93,共有部分,鋼筋混凝土造,107年8月27日,十四層,nan
65,RPVNMLNKOHOFFFK07CA,30.0,130.68,住商用,鋼筋混凝土造,1977年12月19日,七層,一層 二層 陽台
66,RPVNMLNKOHOFFFK07CA,30.0,6.48,樓梯,鋼筋混凝土造,1977年12月19日,七層,nan
67,RPVNMLNKOHOFFFK07CA,nan,15.77,店舖，停車空間,鋼筋混凝土造,nan,七層,一層
68,RPVNMLNKOHOFFFK07CA,30.0,0.81,樓梯,鋼筋混凝土造,1977年12月19日,七層,nan
69,RPUNMLQKOHOFFBK86CA,nan,43.24,住家用,鋼筋混凝土造,107年12月7日,十一層,五層 陽台
70,RPUNMLQKOHOFFBK86CA,nan,59.3,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,nan
71,RPQNMLLMNHOFFBK68CA,39.0,326.42,住商用,鋼筋混凝土造,1969年6月10日,四層,一層 二層 三層 四層 夾層 地下層 見其他登記事項
72,RPRNMLNJOHOFFDK98CA,40.0,134.14,住家用,加強磚造,1968年4月1日,二層,一層 二層 騎樓
73,RPPNMLQJOHOFFDK09CA,40.0,75.82,住家用,鋼筋混凝土造,1967年12月1日,四層,四層
74,RPPNMLQJOHOFFDK09CA,40.0,5.72,樓梯間,鋼筋混凝土造,1967年12月1日,四層,nan
75,RPQOMLLLOHOFFFK56CA,27.0,113.19,住家用,鋼筋混凝土造,1980年10月28日,十二層,二層 陽台
76,RPQOMLLLOHOFFFK56CA,27.0,19.44,共有部分,鋼筋混凝土造,1980年10月28日,一層,nan
77,RPQNMLNJOHOFFFK09CA,5.0,69.0,住家用,鋼筋混凝土造,102年12月24日,七層,五層 陽台
78,RPQNMLNJOHOFFFK09CA,5.0,11.07,樓梯間,鋼筋混凝土造,102年12月24日,七層,nan
79,RPQNMLNJOHOFFFK09CA,5.0,54.06,公共設施、停車空間、防空避難室,鋼筋混凝土造,102年12月24日,七層,nan
80,RPXNMLQJOHOFFFK57DA,nan,141.36,住家用,鋼筋混凝土加強磚造,nan,二層,一層 二層
81,RPRNMLPLOHOFFBK66DA,3.0,68.9,住家用,鋼骨造,105年9月23日,五層,四層 陽台
82,RPRNMLPLOHOFFBK66DA,3.0,36.84,本共有部分之項目有樓梯間、停車空間（室內５輛）等二項。,鋼骨造,105年9月23日,五層,nan
83,RPRNMLKLOHOFFCK78CA,31.0,128.92,住商用,鋼筋混凝土造,1976年10月12日,二層,一層 二層
84,RPPNMLKKOHOFFBK38CA,38.0,228.8,農舍,加強磚造,1970年7月20日,nan,一層 二層 陽台
85,RPSOMLLKOHOFFFK66CA,25.0,205.46,住家用,鋼筋混凝土造,1983年9月5日,三層,一層 二層 三層 陽台 平台 露台
86,RPSOMLLKOHOFFFK66CA,25.0,34.12,共有部分,鋼筋混凝土造,1983年9月5日,nan,nan
87,RPUNMLOKOHOFFFK07CA,35.0,161.44,住家用,鋼筋混凝土造,1972年12月30日,二層,一層 二層 陽台 地下層
88,RPUNMLNKOHOFFDK76CA,3.0,44.05,集合住宅,鋼筋混凝土造,105年4月15日,十五層,十二層 陽台
89,RPUNMLNKOHOFFDK76CA,3.0,83.5,集合住宅,鋼筋混凝土造,105年4月15日,十五層,十一層 陽台
90,RPPNMLRLOHOFFBK56CA,28.0,113.29,住家用,鋼筋混凝土造,1980年1月15日,nan,七層 陽台 電梯樓梯間
91,RPPNMLRLOHOFFBK56CA,28.0,0.71,機房,鋼筋混凝土造,1980年1月15日,nan,nan
92,RPRNMLMKPHOFFBK88CA,23.0,142.23,住家用,鋼筋混凝土造,1985年10月24日,五層,二層 陽台
93,RPRNMLMKPHOFFBK88CA,nan,31.67,樓梯間,鋼筋混凝土造,nan,nan,nan
94,RPRNMLMKPHOFFBK88CA,23.0,31.5,停車空間,鋼筋混凝土造,1985年10月24日,五層,nan
95,RPPNMLMKPHOFFBK68CA,24.0,141.52,住家用,鋼筋混凝土造,1984年2月15日,四層,三層 四層 陽台 屋頂突出物
96,RPPNMLMKPHOFFBK68CA,24.0,8.04,樓梯間,鋼筋混凝土造,1984年2月15日,nan,nan
97,RPPNMLMKPHOFFBK68CA,24.0,141.52,住家用,鋼筋混凝土造,1984年2月15日,四層,三層 四層 陽台 屋頂突出物
98,RPPNMLMKPHOFFBK68CA,24.0,8.04,樓梯間,鋼筋混凝土造,1984年2月15日,nan,nan
99,RPPNMLOJPHOFFBK78CA,52.0,146.46,住家用,加強磚造,1956年2月19日,nan,一層 二層 見其他登記事項
100,RPQNMLKLOHOFFEK88CA,31.0,237.23,工業用,鋼造,1977年1月29日,一層,一層 防空避難室
101,RPQNMLKLOHOFFEK88CA,31.0,109.5,辦公室，倉庫,鋼造,1977年1月29日,一層,一層
102,RPRNMLPLOHOFFDK86DA,15.0,77.44,商業用,鋼骨混凝土造,1992年12月5日,一層,一層
103,RPSNMLPLOHOFFDK96DA,15.0,75.55,商業用,鋼骨混凝土造,1992年12月5日,一層,一層
104,RPTNMLPLOHOFFDK07DA,15.0,75.55,商業用,鋼骨混凝土造,1992年12月5日,一層,一層
105,RPQOMLSKOHOFFDK96CA,22.0,441.8,農舍,鋼筋混凝土造,1986年1月20日,二層,一層 二層 電梯樓梯間
106,RPPNMLTKOHOFFDK86CA,24.0,132.72,住商用,鋼筋混凝土造,1984年8月26日,七層,一層 二層 三層 陽台 平台 騎樓
107,RPPNMLTKOHOFFDK86CA,24.0,26.53,防空避難室，停車場，守衛室，交誼廳，通道,鋼筋混凝土造,1984年8月26日,七層,nan
108,RPPNMLTKOHOFFDK86CA,24.0,14.07,梯間,鋼筋混凝土造,1984年8月26日,七層,nan
109,RPWNMLLKPHOFFFK07CA,24.0,297.77,住家用,鋼筋混凝土造,1984年9月16日,四層,一層 二層 三層 四層 陽台 平台 騎樓
110,RPTNMLSLOHOFFDK27CA,nan,91.83,nan,nan,nan,nan,nan
111,RPTNMLSLOHOFFDK27CA,nan,25.07,nan,nan,nan,nan,nan
112,RPTNMLSLOHOFFDK27CA,nan,5.43,nan,nan,nan,nan,nan
113,RPTNMLSLOHOFFDK27CA,nan,52.02,nan,nan,nan,nan,nan
114,RPVNMLTKOHOFFDK47CA,nan,108.19,nan,nan,nan,nan,nan
115,RPVNMLTKOHOFFDK47CA,nan,19.43,nan,nan,nan,nan,nan
116,RPVNMLTKOHOFFDK47CA,nan,22.8,nan,nan,nan,nan,nan
117,RPXNMLRLOHOFFBK37CA,5.0,411.31,住商用,鋼筋混凝土造,102年12月6日,五層,一層 二層 三層 四層 五層 陽台
118,RPUNMLSLOHOFFBK17CA,40.0,117.84,住家用,鋼筋混凝土造,1968年5月22日,二層,一層 二層 陽台 騎樓
119,RPVNMLOLOHOFFFK27CA,9.0,343.24,農舍,鋼骨造、木造,1999年1月5日,二層,一層 二層
120,RPQNMLPLOHOFFBK09CA,28.0,188.22,住家用,加強磚造,1980年8月18日,nan,一層 二層 陽台 平台
121,RPPNMLPJPHOFFBK98DA,24.0,106.37,住家用,鋼筋混凝土造,1983年12月30日,五層,二層 三層 陽台 雨遮
122,RPPNMLPJPHOFFBK98DA,24.0,35.01,停車空間,鋼筋混凝土造,1983年12月30日,五層,nan
123,RPPNMLPJPHOFFBK98DA,24.0,7.34,樓梯間,鋼筋混凝土造,1983年12月30日,五層,nan
124,RPQNMLSLOHOFFFK17CA,nan,78.11,集合住宅、店舖,鋼筋混凝土造,107年9月13日,十三層,一層 見其他登記事項
125,RPQNMLSLOHOFFFK17CA,nan,3.0,管委會空間,鋼筋混凝土造,107年9月13日,十三層,nan
126,RPQNMLSLOHOFFFK17CA,nan,46.51,防空避難室兼停車場、台電配電室、消防機房、梯廳,鋼筋混凝土造,107年9月13日,十三層,nan
127,SPQNMLSLOHOFFFK27CA,nan,106.05,集合住宅、店舖,鋼筋混凝土造,107年9月13日,十三層,一層 二層 見其他登記事項
128,SPQNMLSLOHOFFFK27CA,nan,4.07,管委會空間,鋼筋混凝土造,107年9月13日,十三層,nan
129,SPQNMLSLOHOFFFK27CA,nan,54.72,防空避難室兼停車場、台電配電室、消防機房、梯廳,鋼筋混凝土造,107年9月13日,十三層,nan
130,RPRNMLSLOHOFFEK17CA,34.0,116.32,住家用,鋼筋混凝土造,1974年7月1日,二層,一層 二層 陽台 平台
131,RPQNMLNJPHOFFCK88CA,29.0,196.54,農舍,加強磚造,1979年1月8日,二層,一層 二層
132,RPPNMLRLOHOFFAK09CA,13.0,188.72,農舍,鋼鐵造有牆，木造,1994年8月2日,三層,一層 二層 三層
133,RPUOMLQKPHOFFBK07CA,nan,420.34,住商用,鋼筋混凝土造,108年4月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物
134,RPVOMLQKPHOFFBK17CA,nan,532.24,住商用,鋼筋混凝土造,108年4月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物
135,RPWOMLQKPHOFFBK27CA,nan,307.43,住家用,鋼筋混凝土造,108年4月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物
136,RPXOMLQKPHOFFBK37CA,nan,280.8,住家用,鋼筋混凝土造,108年4月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物
137,RPOOMLLJPHOFFFK88CA,37.0,197.72,住商用,鋼筋混凝土造,1971年10月28日,三層,一層 二層 三層 騎樓 地下層
138,RPRNMLKKPHOFFBK78DA,8.0,165.35,農舍,鋼筋混凝土造,100年10月4日,二層,一層 二層 雨遮
139,RPPNMLMLPHOFFFK56CA,45.0,95.85,住家用,加強磚造,1963年8月6日,三層,一層 平台
140,RPPNMLRKPHOFFDK76CA,nan,87.83,nan,nan,nan,nan,nan
141,RPPNMLRKPHOFFDK76CA,nan,31.64,nan,nan,nan,nan,nan
142,RPPNMLRKPHOFFDK76CA,nan,5.16,nan,nan,nan,nan,nan
143,RPPNMLRKPHOFFDK76CA,nan,51.77,nan,nan,nan,nan,nan
144,RPRNMLPJPHOFFBK09CA,37.0,93.66,住家用,鋼筋混凝土造,1970年12月29日,nan,五層 電梯樓梯間
145,RPRNMLPJPHOFFBK09CA,37.0,5.13,住家用,鋼筋混凝土造,1970年12月29日,nan,nan
146,RPQNMLPLPHOFFBK56CA,36.0,61.61,住家用,加強磚造,1972年5月30日,nan,一層 二層 陽台 見其他登記事項
147,RPVNMLPLPHOFFBK07CA,nan,100.56,住家用,鋼筋混凝土造,107年12月6日,五層,一層 停車場
148,RPVNMLPLPHOFFBK07CA,nan,21.44,本共有部分之項目有梯廳、梯間及機道等３項。,鋼筋混凝土造,107年12月6日,五層,nan
149,RPVNMLPLPHOFFBK07CA,nan,94.61,住家用,鋼筋混凝土造,107年12月6日,五層,二層 陽台
150,RPVNMLPLPHOFFBK07CA,nan,21.44,本共有部分之項目有梯廳、梯間及機道等３項。,鋼筋混凝土造,107年12月6日,五層,nan
151,RPVNMLPLPHOFFBK07CA,nan,94.61,住家用,鋼筋混凝土造,107年12月6日,五層,三層 陽台
152,RPVNMLPLPHOFFBK07CA,nan,21.44,本共有部分之項目有梯廳、梯間及機道等３項。,鋼筋混凝土造,107年12月6日,五層,nan
153,RPVNMLPLPHOFFBK07CA,nan,94.61,住家用,鋼筋混凝土造,107年12月6日,五層,四層 陽台
154,RPVNMLPLPHOFFBK07CA,nan,21.44,本共有部分之項目有梯廳、梯間及機道等３項。,鋼筋混凝土造,107年12月6日,五層,nan
155,RPVNMLPLPHOFFBK07CA,nan,94.61,住家用,鋼筋混凝土造,107年12月6日,五層,五層 陽台
156,RPVNMLPLPHOFFBK07CA,nan,42.89,本共有部分之項目有梯廳、梯間及機道等３項。,鋼筋混凝土造,107年12月6日,五層,nan
157,RPPNMLSLPHOFFCK86CA,13.0,87.57,住宅，樓梯間,鋼筋混凝土造,1995年4月6日,三層,一層 二層 三層 陽台 屋頂突出物
158,RPQNMLNJPHOFFFK56CA,12.0,106.36,集合住宅、住宅、停車空間,ＲＣ造,1996年3月30日,五層,四層 五層 陽台 電梯樓梯間 見其他登記事項
159,RPQNMLNJPHOFFFK56CA,nan,28.46,集合住宅、住宅、停車空間,ＲＣ造,nan,五層,nan
160,RPPNMLKLPHOFFFK98CA,22.0,100.53,住家用,鋼筋混凝土造,1986年1月29日,九層,九層 陽台
161,RPPNMLKLPHOFFFK98CA,22.0,20.85,地下室,鋼筋混凝土造,1986年1月29日,nan,nan
162,RPPNMLKLPHOFFFK98CA,22.0,2.87,公共設施,鋼筋混凝土造,1986年1月29日,九層,nan
163,RPSNMLTJPHOFFBK96CA,nan,157.68,住商用,加強磚造,nan,三層,一層 二層 三層 見其他登記事項
