,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,苗栗市,房地(土地+建物),苗栗縣苗栗市清華里２３鄰為公路３０９號九樓,31.77,商,nan,nan,1080416,土地4建物1車位0,九層,nan,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,830908.0,356.39,0,0,2,無,無,6300000,17677.0,nan,0.0,0,nan,RPXNMLRKNHOFFBK17CA,287.67,0.0,0.0,nan,nan
1,苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮舊社里４鄰舊社４４之１號,74.77,nan,鄉村區,乙種建築用地,1080402,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,nan,207.66,3,2,3,有,無,3000000,14447.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；所有稅金由買方負擔,RPUOMLSLNHOFFCK27CA,207.66,0.0,0.0,nan,nan
2,後龍鎮,土地,苦苓腳段2980地號,197.5,nan,特定農業區,甲種建築用地,1080401,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,300000,1519.0,nan,0.0,0,此案為親友關係間之交易，並由買方支付土地增值稅＄42340元,RPTOMLNKNHOFFDK66CA,0.0,0.0,0.0,nan,nan
3,頭份市,房地(土地+建物),苗栗縣頭份市民生里６鄰富貴街１４巷５號三樓,30.81,住,nan,nan,1080411,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820820.0,128.52,3,2,1,有,有,3500000,27233.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOKNHOFFFK56CA,85.11,0.0,10.06,nan,nan
4,頭份市,土地,文化段570地號,345.95,住,nan,nan,1080315,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,10725000,31002.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；親屬間買賣及債務關係,RPUNMLTLNHOFFFK57CA,0.0,0.0,0.0,nan,nan
5,頭份市,土地,文化段545地號,156.0,住,nan,nan,1080510,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,4626000,29654.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；親屬間買賣及債務關係,RPXNMLTLNHOFFFK87CA,0.0,0.0,0.0,nan,nan
6,南庄鄉,房地(土地+建物),苗栗縣南庄鄉田美村１３鄰四灣６１之３號,926.0,nan,山坡地保育區,林業用地,1080414,土地1建物1車位0,一層，二層,二層,農舍,農舍,木造,910812.0,126.24,4,2,4,有,無,3880000,nan,nan,0.0,0,nan,RPPNMLQKNHOFFFK66CA,94.44,27.39,4.41,nan,nan
7,竹南鎮,房地(土地+建物),苗栗縣竹南鎮正南里２３鄰大營路１０６號四樓,28.71,住,nan,nan,1080419,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850308.0,142.38,3,2,2,有,無,3581677,25156.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；,RPVNMLPKNHOFFDK96CA,111.4,0.0,8.25,nan,nan
8,後龍鎮,土地,新興段670地號,67.69,nan,特定農業區,甲種建築用地,1080328,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,358000,5289.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLPKNHOFFDK17CA,0.0,0.0,0.0,nan,nan
9,苗栗市,房地(土地+建物),苗栗縣苗栗市清華里２３鄰為公路３０９號八樓,31.77,商,nan,nan,1080429,土地4建物1車位0,八層,nan,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,830908.0,356.39,0,0,2,無,無,6300000,17677.0,nan,0.0,0,nan,RPWNMLRKNHOFFBK07CA,287.67,0.0,0.0,nan,nan
