,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPXNMLRKNHOFFBK17CA,nan,5.38,都市：商,10000,533,持分移轉,3230000
1,RPXNMLRKNHOFFBK17CA,nan,5.28,都市：其他:,10000,533,持分移轉,3240000
2,RPXNMLRKNHOFFBK17CA,nan,19.28,都市：商,10000,533,持分移轉,3250000
3,RPXNMLRKNHOFFBK17CA,nan,1.84,都市：商,10000,533,持分移轉,3260000
4,RPUOMLSLNHOFFCK27CA,致民段,74.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11310000
5,RPTOMLNKNHOFFDK66CA,nan,197.5,非都市： ; 非都市編定：,4,1,持分移轉,29800000
6,RPQNMLOKNHOFFFK56CA,nan,30.81,都市：住,552917,3980,持分移轉,2790000
7,RPUNMLTLNHOFFFK57CA,文化段,233.46,都市：住,1,1,全筆移轉,5690000
8,RPUNMLTLNHOFFFK57CA,文化段,112.49,都市：住,1,1,全筆移轉,5700000
9,RPXNMLTLNHOFFFK87CA,八德段,35.0,都市：住,2,1,持分移轉,1330000
10,RPXNMLTLNHOFFFK87CA,文化段,121.0,都市：住,1,1,全筆移轉,5450000
11,RPPNMLQKNHOFFFK66CA,四灣段,926.0,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,4920026
12,RPVNMLPKNHOFFDK96CA,nan,28.71,都市：住,14,1,持分移轉,7030000
13,RPXNMLPKNHOFFDK17CA,nan,33.84,非都市： ; 非都市編定：,12,1,持分移轉,6700000
14,RPXNMLPKNHOFFDK17CA,nan,33.84,非都市： ; 非都市編定：,12,1,持分移轉,6700000
15,RPWNMLRKNHOFFBK07CA,nan,5.38,都市：商,10000,533,持分移轉,3230000
16,RPWNMLRKNHOFFBK07CA,nan,5.28,都市：其他:,10000,533,持分移轉,3240000
17,RPWNMLRKNHOFFBK07CA,nan,19.28,都市：商,10000,533,持分移轉,3250000
18,RPWNMLRKNHOFFBK07CA,nan,1.84,都市：商,10000,533,持分移轉,3260000
19,RPRNMLNJOHOFFCK88CA,烏眉坑段,2569.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,2690006
20,RPUNMLMLNHOFFDK66CA,nan,92.0,都市：住,1,1,全筆移轉,4740015
21,RPUOMLRKNHOFFFK37CA,nan,6.16,非都市： ; 非都市編定：,10000,71,持分移轉,2070003
22,RPUOMLRKNHOFFFK37CA,nan,0.93,非都市： ; 非都市編定：,10000,75,持分移轉,2170005
23,RPUOMLRKNHOFFFK37CA,nan,35.95,非都市： ; 非都市編定：,10000,115,持分移轉,2180000
24,RPUOMLRKNHOFFFK37CA,nan,571.99,非都市： ; 非都市編定：,1,1,全筆移轉,2180001
25,RPUOMLRKNHOFFFK37CA,nan,0.96,非都市： ; 非都市編定：,10000,13,持分移轉,2200004
26,RPRNMLRKNHOFFBK66DA,nan,22.32,都市：住,12,1,持分移轉,13850000
27,RPQNMLKLNHOFFDK78DA,nan,71.13,都市：住,1,1,全筆移轉,5240000
28,RPQNMLKLNHOFFDK78DA,nan,12.46,都市：其他:,1,1,全筆移轉,8010000
29,RPUNMLKKOHOFFDK56DA,文化段,9.44,都市：住,1,1,全筆移轉,7080002
30,RPUNMLKKOHOFFDK56DA,文化段,11.91,都市：住,1,1,全筆移轉,7100000
31,RPQNMLQJOHOFFEK66CA,雙草湖段,2664.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,5330026
32,RPQNMLMLNHOFFBK68CA,苗栗段,6.31,都市：商,16,1,持分移轉,2030027
33,RPQNMLMLNHOFFBK68CA,苗栗段,25.31,都市：住,16,1,持分移轉,2030000
34,RPQNMLKLNHOFFBK48CA,nan,81.44,都市：住,1,1,全筆移轉,20080000
35,RPQOMLLMNHOFFFK56CA,永貞段,33.28,都市：住,10000,700,持分移轉,830007
36,RPQOMLLMNHOFFFK56CA,永貞段,54.84,都市：住,1,1,全筆移轉,830014
37,RPUNMLMLNHOFFFK86CA,?園段,38.21,都市：住,10000,927,持分移轉,1850000
38,RPTNMLMLNHOFFFK86DA,興埔段,322.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,9,4,持分移轉,12240000
39,RPPOMLLLNHOFFDK78CA,新興段,107.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,2330000
