,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPQNMLMLNHOFFBK68CA,一樓平面,0,nan,nan
1,RPUNMLMLNHOFFFK86CA,坡道平面,0,nan,nan
2,RPRNMLMLNHOFFDK98CA,一樓平面,0,nan,nan
3,RPPOMLSKOHOFFBK66CA,坡道平面,200000,nan,nan
4,RPPOMLSKOHOFFBK66CA,坡道平面,200000,nan,nan
5,RPPOMLSKOHOFFBK66CA,坡道平面,200000,nan,nan
6,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
7,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
8,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
9,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
10,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
11,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
12,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
13,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
14,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
15,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
16,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
17,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
18,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
19,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
20,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
21,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
22,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
23,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
24,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
25,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
26,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
27,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
28,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
29,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
30,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
31,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
32,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
33,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
34,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
35,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
36,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
37,RPPOMLSKOHOFFBK66CA,升降機械,137500,nan,nan
38,RPVNMLMLNHOFFFK96CA,坡道平面,0,nan,nan
39,RPWNMLLMNHOFFDK86CA,一樓平面,0,21.0,nan
40,RPUOMLSKOHOFFBK17CA,一樓平面,0,nan,nan
41,RPROMLNKOHOFFDK56CA,坡道平面,900000,34.09,nan
42,RPUNMLQKOHOFFBK86CA,坡道平面,0,33.84,nan
43,RPQNMLNJOHOFFFK09CA,坡道平面,0,35.44,nan
44,RPRNMLPLOHOFFBK66DA,升降機械,0,nan,nan
45,RPSOMLLKOHOFFFK66CA,坡道平面,0,nan,nan
46,RPUNMLNKOHOFFDK76CA,坡道機械,0,nan,nan
47,RPRNMLMKPHOFFBK88CA,一樓平面,0,31.5,nan
48,RPPNMLTKOHOFFDK86CA,坡道平面,0,nan,nan
49,RPTNMLSLOHOFFDK27CA,坡道平面,1000000,47.23,nan
50,RPVNMLTKOHOFFDK47CA,坡道平面,0,9.98,nan
51,RPQNMLSLOHOFFFK17CA,坡道平面,1000000,nan,nan
52,SPQNMLSLOHOFFFK27CA,坡道平面,1100000,nan,nan
53,RPPNMLRKPHOFFDK76CA,坡道平面,900000,47.23,nan
54,RPQNMLNJPHOFFFK56CA,一樓平面,0,nan,nan
55,RPRNMLSKPHOFFBK86CA,一樓平面,0,nan,nan
56,RPPOMLLMPHOFFBK88CA,坡道平面,0,nan,nan
57,RPROMLLJQHOFFBK88CA,升降機械,0,nan,nan
