,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPPNMLRKNHOFFBM56CA,38.0,51.8,農舍,鋼筋混凝土加強磚造,1969年12月27日,二層,一層 二層
1,RPPNMLOJOHOFFAM78CA,19.0,1100.68,防空避難室、辦公室、廠房,鋼骨混凝土造,1989年6月19日,一層,一層 地下層
2,RPQNMLKLNHOFFBM68CA,38.0,60.14,住家用,鋼筋混凝土加強磚造,1969年12月31日,二層,一層 二層 騎樓
3,RPQNMLQKNHOFFDM76CA,14.0,219.19,住家用,鋼筋混凝土造,1994年3月2日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
4,RPTNMLLLNHOFFDM66CA,39.0,54.18,住商用,鋼筋混凝土加強磚造,1968年12月19日,二層,一層 二層 騎樓
5,RPTNMLMKOHOFFAM09CA,17.0,52.84,農舍,鋼筋混凝土造,1990年8月24日,二層,一層 二層 陽台
6,RPSNMLMLNHOFFAM98CA,29.0,11441.71,避難室、辦公室、倉庫、廠房、宿舍、守衛室,ＲＣ、鋼鐵造,1979年10月17日,三層,一層 二層 三層 地下層
7,RPRNMLPJOHOFFAM09CA,25.0,99.76,住家用,鋼筋混凝土造,1983年6月17日,八層,三層 陽台 花台
8,RPRNMLPJOHOFFAM09CA,25.0,35.62,梯間、車道、水箱、機械房、避難室、停車間,鋼筋混凝土造,1983年6月17日,八層,nan
9,RPRNMLNKOHOFFDM76DA,18.0,105.58,住家用,鋼筋混凝土造,1990年8月17日,三層,一層 二層 三層 陽台
10,RPRNMLMKOHOFFAM88CA,26.0,170.65,住宅、店舖、人行道,鋼筋混凝土造,1982年8月26日,三層,一層 二層 三層 屋頂突出物 騎樓
11,RPSNMLLKOHOFFBM98CA,40.0,107.65,住商用,鋼筋混凝土造,1968年8月31日,四層,一層 二層 三層 四層 騎樓
12,RPQNMLKKOHOFFCM78CA,26.0,329.58,農舍,鋼筋混凝土造,1982年4月26日,二層,一層 二層
13,RPTNMLOLNHOFFDM96CA,24.0,33.75,農舍,鋼筋混凝土造,1984年10月3日,二層,一層 二層 陽台
14,RPUNMLLMNHOFFCM76CA,14.0,92.15,集合住宅,鋼筋混凝土造,1993年11月12日,十層,九層 陽台
15,RPUNMLLMNHOFFCM76CA,14.0,37.05,警衛室、騎樓、車道、梯間、電樓梯間、突出物,鋼筋混凝土造,1993年11月12日,十層,nan
16,RPXNMLLKOHOFFBM86CA,nan,60.52,集合住宅,鋼筋混凝土造,107年11月27日,九層,五層 陽台 雨遮
17,RPXNMLLKOHOFFBM86CA,nan,60.46,停車空間、排煙室、水箱、汙水機房、消防機房、一般昇降機、昇降機間、車道、緊急昇降機、門廳、門廊、緊急昇降機﹝行動不便﹞、防空避難室兼停車空間、台電配電室、受電箱、電信室、緊急發電機室、管委會空間、梯廳、樓梯間、機械室、水錶室、一般昇降機﹝行動不便﹞甲乙丙丁梯等２４項。,鋼筋混凝土造,107年11月27日,九層,nan
18,RPRNMLTLNHOFFAM96CA,24.0,91.71,住家用,鋼筋混凝土造,1983年11月30日,四層,三層 四層 陽台 屋頂突出物 花台
19,RPRNMLTLNHOFFAM96CA,24.0,13.46,梯間,鋼筋混凝土造,1983年11月30日,四層,nan
20,RPQNMLOJOHOFFBM09DA,34.0,196.68,住商用,鋼筋混凝土造,1974年11月6日,三層,一層 二層 三層 陽台 騎樓
21,RPPNMLRKOHOFFEM96CA,23.0,132.25,住家用,鋼筋混凝土造,1984年12月4日,三層,一層 二層 三層
