,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,名間鄉,土地,出林虎段378地號,475.37,nan,鄉村區,乙種建築用地,1080405,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2000000,4207.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；早年承購因故未辦移轉登記，土增稅由承買人繳納。無另立私契。,RPXNMLPKNHOFFAM07CA,0.0,0.0,0.0,nan,nan
1,國姓鄉,土地,北山坑段397-11地號,4015.0,nan,山坡地保育區,農牧用地,1080412,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5600000,1395.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLOKNHOFFCM98CA,0.0,0.0,0.0,nan,nan
2,中寮鄉,土地,龍眼林段126-14地號,1242.0,nan,山坡地保育區,農牧用地,1080321,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,400000,322.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLKMNHOFFAM68DA,0.0,0.0,0.0,nan,nan
3,竹山鎮,土地,嶺頂段443-30地號,1009.0,nan,森林區,林業用地,1080417,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,55000,55.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLPKNHOFFDM76DA,0.0,0.0,0.0,nan,nan
4,魚池鄉,土地,大雁段133地號,1736.0,nan,山坡地保育區,農牧用地,1080430,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1500000,864.0,nan,0.0,0,有民情風俗因素之交易。；,RPTNMLPJOHOFFCM86CA,0.0,0.0,0.0,nan,nan
5,國姓鄉,土地,國姓段667地號,3710.0,nan,山坡地保育區,農牧用地,1080425,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,750000,202.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLPKNHOFFCM66CA,0.0,0.0,0.0,nan,nan
6,草屯鎮,房地(土地+建物),南投縣草屯鎮日新街４６巷７號,83.0,農,nan,nan,1080412,土地2建物1車位0,一層，二層,二層,農舍,農舍,鋼筋混凝土加強磚造,691227.0,51.8,4,3,3,有,無,1200000,nan,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；共有人間買賣,RPPNMLRKNHOFFBM56CA,51.8,0.0,0.0,nan,nan
7,中寮鄉,土地,分水寮段223-2地號,4622.0,nan,山坡地保育區,農牧用地,1080313,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1663920,360.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLQKNHOFFAM76CA,0.0,0.0,0.0,nan,nan
8,南投市,房地(土地+建物),南投縣南投市工業北二路１號,3367.0,nan,工業區,丁種建築用地,1080325,土地2建物1車位0,一層，地下層,一層,工廠,見其他登記事項,鋼骨混凝土造,890619.0,1100.68,0,0,0,無,無,23000000,nan,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLOJOHOFFAM78CA,1.0,100.68,1.0,nan,nan
9,草屯鎮,土地,大堀段154地號,112.41,nan,特定農業區,甲種建築用地,1080328,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2034500,18099.0,nan,0.0,0,受債權債務影響或債務抵償之交易。；,RPRNMLOLNHOFFBM56CA,0.0,0.0,0.0,nan,nan
10,草屯鎮,房地(土地+建物),南投縣草屯鎮玉屏路北新巷１０弄１４號,42.98,nan,特定農業區,甲種建築用地,1080417,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,691231.0,60.14,4,2,3,有,無,1500000,24942.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLKLNHOFFBM68CA,60.14,0.0,0.0,nan,nan
11,國姓鄉,土地,水長流段2055地號,1280.5,nan,山坡地保育區,農牧用地,1080429,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,781.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLRKNHOFFCM86CA,0.0,0.0,0.0,nan,nan
12,魚池鄉,土地,大雁段134-3地號,2310.0,nan,山坡地保育區,農牧用地,1080430,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1800000,779.0,nan,0.0,0,有民情風俗因素之交易。；,RPSNMLPJOHOFFCM76CA,0.0,0.0,0.0,nan,nan
