,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPXNMLPKNHOFFAM07CA,出林虎段,24.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,3690000
1,RPXNMLPKNHOFFAM07CA,出林虎段,450.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,3780000
2,RPPNMLOKNHOFFCM98CA,北山坑段,4015.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,3970011
3,RPPNMLKMNHOFFAM68DA,龍眼林段,1242.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,10,6,持分移轉,1260014
4,RPQNMLPKNHOFFDM76DA,嶺頂段,1009.0,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,4430030
5,RPTNMLPJOHOFFCM86CA,大雁段,1736.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,1330000
6,RPRNMLPKNHOFFCM66CA,國姓段,3710.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6670000
7,RPPNMLRKNHOFFBM56CA,日新段,75.5,都市：農,2,1,持分移轉,11930000
8,RPPNMLRKNHOFFBM56CA,日新段,7.5,都市：農,2,1,持分移轉,11940001
9,RPTNMLQKNHOFFAM76CA,分水寮段,4622.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,2230002
10,RPPNMLOJOHOFFAM78CA,大崗段,2484.0,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,2470000
11,RPPNMLOJOHOFFAM78CA,大崗段,883.0,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,2480000
12,RPRNMLOLNHOFFBM56CA,大堀段,112.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,1540000
13,RPQNMLKLNHOFFBM68CA,北勢段,42.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,6180000
14,RPRNMLRKNHOFFCM86CA,水長流段,435.5,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,200076
15,RPRNMLRKNHOFFCM86CA,水長流段,195.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,20480000
16,RPRNMLRKNHOFFCM86CA,水長流段,190.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,20510000
17,RPRNMLRKNHOFFCM86CA,水長流段,410.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,20540000
18,RPRNMLRKNHOFFCM86CA,水長流段,50.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,20550000
19,RPSNMLPJOHOFFCM76CA,大雁段,732.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,1330001
20,RPSNMLPJOHOFFCM76CA,大雁段,1578.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,1340003
21,RPQNMLQKNHOFFDM76CA,吉祥段,115.83,都市：住,1,1,全筆移轉,2240012
22,RPTNMLLLNHOFFDM66CA,鹿山段,41.16,都市：住,2,1,持分移轉,9840000
23,RPTNMLMKOHOFFAM09CA,番子寮段,703.2,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,1,持分移轉,6610008
24,RPSNMLMLNHOFFAM98CA,大崗段,5179.0,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,1880000
25,RPSNMLMLNHOFFAM98CA,大崗段,3704.0,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,1890000
