,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPWNMLOKNHOFFAF78CA,nan,86.33,住家用,鋼筋混凝土造,nan,nan,nan
1,RPROMLPKNHOFFAF48CA,nan,73.86,住家用,加強磚造,nan,nan,nan
2,RPSOOLMLNHOFFBF68CA,nan,35.83,集合住宅,鋼筋混凝土造,107年10月19日,十八層,三層 陽臺 雨遮
3,RPSOOLMLNHOFFBF68CA,nan,62.91,本共有部分之項目有高層緩衝空間、公共服務空間、自行車停車空間、無障礙廁所、梯廳、排煙室、特安梯、防災中心、車道、發電機室、陽台、樓梯間、安全梯、雨遮、水箱、消防中繼機房、機械室、防空避難室兼停車空間、台電配電場所、緊急發電機室、垃圾處理區、管道間、機房、消防泵浦室、蓄水池等２５項,鋼筋混凝土造,107年10月19日,十八層,nan
4,RPVOOLMLNHOFFBF98CA,nan,62.53,本共有部分之項目有高層緩衝空間、公共服務空間、自行車停車空間、無障礙廁所、梯廳、排煙室、特安梯、防災中心、車道、發電機室、陽台、樓梯間、安全梯、雨遮、水箱、消防中繼機房、機械室、防空避難室兼停車空間、台電配電場所、緊急發電機室、垃圾處理區、管道間、機房、消防泵浦室、蓄水池等２５項,鋼筋混凝土造,107年10月19日,十八層,nan
5,RPVOOLMLNHOFFBF98CA,nan,35.08,集合住宅,鋼筋混凝土造,107年10月19日,十八層,四層 陽臺 雨遮
6,RPOPOLMLNHOFFBF38CA,nan,62.53,本共有部分之項目有高層緩衝空間、公共服務空間、自行車停車空間、無障礙廁所、梯廳、排煙室、特安梯、防災中心、車道、發電機室、陽台、樓梯間、安全梯、雨遮、水箱、消防中繼機房、機械室、防空避難室兼停車空間、台電配電場所、緊急發電機室、垃圾處理區、管道間、機房、消防泵浦室、蓄水池等２５項,鋼筋混凝土造,107年10月19日,十八層,nan
7,RPOPOLMLNHOFFBF38CA,nan,35.08,集合住宅,鋼筋混凝土造,107年10月19日,十八層,五層 陽臺 雨遮
8,RPSPOLMLNHOFFBF78CA,nan,35.08,集合住宅,鋼筋混凝土造,107年10月19日,十八層,九層 陽臺 雨遮
9,RPSPOLMLNHOFFBF78CA,nan,56.4,本共有部分之項目有高層緩衝空間、公共服務空間、自行車停車空間、無障礙廁所、梯廳、排煙室、特安梯、防災中心、車道、發電機室、陽台、樓梯間、安全梯、雨遮、水箱、消防中繼機房、機械室、防空避難室兼停車空間、台電配電場所、緊急發電機室、垃圾處理區、管道間、機房、消防泵浦室、蓄水池等２５項,鋼筋混凝土造,107年10月19日,十八層,nan
