,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,板橋區,房地(土地+建物),新北市板橋區大同街２６巷３９號,28.0,住,nan,nan,1080407,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,nan,86.33,3,2,2,有,無,14300000,165643.0,nan,0.0,0,地下室及平台增建,RPWNMLOKNHOFFAF78CA,86.33,0.0,0.0,nan,nan
1,板橋區,房地(土地+建物),新北市板橋區懷德街１２７巷２３弄１之３號,33.0,住,nan,nan,1080304,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,nan,73.86,3,2,1,有,無,8000000,108313.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPROMLPKNHOFFAF48CA,73.86,0.0,0.0,nan,nan
2,土城區,土地,土城段448-1地號,12.42,其他,nan,nan,1080329,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,620379,49950.0,nan,0.0,0,包含公共設施保留地之交易。；,RPXPMLPKNHOFFAF56CA,0.0,0.0,0.0,nan,nan
3,新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段２５１號三樓之七,9.74,住,nan,nan,1080312,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019.0,98.74,1,1,1,有,有,9080000,137288.0,坡道平面,44.62,1650000,土地及建物分次登記案件。前案土地登記收件字號：；,RPSOOLMLNHOFFBF68CA,30.13,2.02,3.68,nan,nan
4,新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段２５１號四樓之七,9.5,住,nan,nan,1080312,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019.0,97.61,1,1,1,有,有,8880000,137384.0,坡道平面,44.62,1600000,土地及建物分次登記案件。前案土地登記收件字號：；,RPVOOLMLNHOFFBF98CA,29.38,2.02,3.68,nan,nan
5,新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段２５１號五樓之七,9.5,住,nan,nan,1080312,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019.0,97.61,1,1,1,有,有,8930000,138328.0,坡道平面,44.62,1600000,土地及建物分次登記案件。前案土地登記收件字號：；,RPOPOLMLNHOFFBF38CA,29.38,2.02,3.68,nan,nan
6,新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段２５１號九樓之七,9.5,住,nan,nan,1080312,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019.0,91.48,1,1,1,有,有,9030000,140215.0,坡道平面,38.49,1600000,土地及建物分次登記案件。前案土地登記收件字號：；,RPSPOLMLNHOFFBF78CA,29.38,2.02,3.68,nan,nan
7,新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段２５１號五樓之三,12.04,住,nan,nan,1080312,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071019.0,111.91,1,1,1,有,有,10860000,137613.0,坡道平面,44.62,1600000,土地及建物分次登記案件。前案土地登記收件字號：；,RPTNOLMLNHOFFBF68CA,37.35,2.8,4.4,nan,nan
8,林口區,房地(土地+建物)+車位,新北市林口區仁愛路一段６６３號,63.65,住,nan,nan,1080201,土地1建物1車位1,一層，二層,七層,店面(店鋪),住家用,鋼筋混凝土造,960623.0,143.69,0,0,0,無,有,12000000,83513.0,坡道平面,24.79,0,nan,RPVOMLNLNHOFFBF88CA,81.5,0.0,7.39,nan,nan
9,新店區,土地,陽光段30地號,4.06,其他,nan,nan,1080305,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,170604,42021.0,nan,0.0,0,政府機關工程用地協議價購,RPWOMLPKNHOFFCF56CA,0.0,0.0,0.0,nan,nan
