,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPWNMLOKNHOFFAF78CA,nan,28.0,都市：住,4.0,1,持分移轉,330084
1,RPROMLPKNHOFFAF48CA,nan,33.0,都市：住,4.0,1,持分移轉,660033
2,RPXPMLPKNHOFFAF56CA,nan,12.42,都市：其他:,1.0,1,全筆移轉,4480001
3,RPSOOLMLNHOFFBF68CA,中原段,9.74,都市：住,30000.0,165,持分移轉,70000
4,RPVOOLMLNHOFFBF98CA,中原段,9.5,都市：住,30000.0,161,持分移轉,70000
5,RPOPOLMLNHOFFBF38CA,中原段,9.5,都市：住,30000.0,161,持分移轉,70000
6,RPSPOLMLNHOFFBF78CA,中原段,9.5,都市：住,30000.0,161,持分移轉,70000
7,RPTNOLMLNHOFFBF68CA,中原段,12.04,都市：住,30000.0,204,持分移轉,70000
8,RPVOMLNLNHOFFBF88CA,nan,63.65,都市：住,10000.0,101,持分移轉,6990000
9,RPWOMLPKNHOFFCF56CA,nan,4.06,都市：其他:,5.0,1,持分移轉,300000
10,RPPNMLOJOHOFFCF28CA,新和段,25.17,都市：住,3.0,1,持分移轉,9160000
11,RPPNMLOJOHOFFCF28CA,新和段,25.17,都市：住,3.0,1,持分移轉,9160000
12,RPPNMLOJOHOFFCF28CA,新和段,25.17,都市：住,3.0,1,持分移轉,9160000
13,RPSPMLKLOHOFFCF58CA,竹林段,14.25,都市：住,10000.0,91,持分移轉,3020000
14,RPQNMLOLPHOFFCF68CA,莊敬段,17.86,都市：其他:市場用地,10000.0,34,持分移轉,7850000
15,RPQNMLOLPHOFFCF68CA,莊敬段,0.02,都市：其他:捷運系統佣用地,10000.0,34,持分移轉,7850002
16,RPTOMLOKNHOFFDF88CA,nan,40.67,都市：住,3.0,1,持分移轉,11490000
17,RPOOMLRKNHOFFDF68CA,下萬里加投段萬里加投小段,2500.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1.0,1,全筆移轉,1790000
18,RPVNMLLLNHOFFFF98CA,下雙溪段下雙溪小段,99.5,都市：其他:鐵路用地,2.0,1,持分移轉,260011
19,RPVNMLLLNHOFFFF98CA,下雙溪段下雙溪小段,18.78,都市：其他:鐵路用地,9.0,1,持分移轉,290003
20,RPVNMLLLNHOFFFF98CA,下雙溪段下雙溪小段,26.22,都市：其他:鐵路用地,9.0,1,持分移轉,290004
21,RPVNMLLLNHOFFFF98CA,下雙溪段下雙溪小段,100.5,都市：其他:鐵路用地,2.0,1,持分移轉,340019
22,RPVNMLLLNHOFFFF98CA,下雙溪段下雙溪小段,0.5,都市：其他:鐵路用地,2.0,1,持分移轉,340020
23,RPWPMLNKNHOFFGF86CA,中民段,4.35,都市：其他:道路用地,1.0,1,全筆移轉,3940000
24,RPQNMLQKNHOFFHF09CA,文化段,7.47,都市：住,10000.0,35,持分移轉,860000
25,RPTPMLRKNHOFFHF07CA,福祥段,5.53,都市：商,10000.0,482,持分移轉,4640000
26,RPTPMLRKNHOFFHF07CA,福祥段,20.16,都市：住,10000.0,482,持分移轉,4640001
27,RPTPMLRKNHOFFHF07CA,福祥段,0.01,都市：商,10000.0,1,持分移轉,4650000
