,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPSOOLMLNHOFFBF68CA,坡道平面,1650000,44.62,nan
1,RPVOOLMLNHOFFBF98CA,坡道平面,1600000,44.62,nan
2,RPOPOLMLNHOFFBF38CA,坡道平面,1600000,44.62,nan
3,RPSPOLMLNHOFFBF78CA,坡道平面,1600000,38.49,nan
4,RPTNOLMLNHOFFBF68CA,坡道平面,1600000,44.62,nan
5,RPSPMLKLOHOFFCF58CA,坡道平面,0,44.31,nan
6,RPQNMLQKNHOFFHF09CA,坡道平面,0,15.0,nan
7,RPSQMLKLOHOFFAF68EA,塔式車位,1200000,13.52,nan
8,RPSQMLOKNHOFFBF98EA,坡道平面,0,nan,nan
9,RPUNMLRKNHOFFGF07EA,升降平面,0,nan,nan
10,RPPNMLOKNHOFFBF38EA,升降機械,1030000,19.95,nan
11,RPXSMLKLOHOFFBF86EA,坡道平面,0,nan,nan
12,RPXQMLOKOHOFFEF07CA,坡道平面,0,25.95,nan
13,RPXQMLOKOHOFFEF07CA,坡道平面,0,25.95,nan
14,RPXQMLOKOHOFFEF07CA,坡道平面,0,25.95,nan
15,RPXQMLOKOHOFFEF07CA,坡道平面,0,25.95,nan
16,RPRPMLOLNHOFFBF68CA,坡道平面,0,34.57,nan
17,RPRPMLOLNHOFFBF68CA,坡道平面,0,34.57,nan
18,RPXOMLOLNHOFFBF56CA,坡道平面,0,30.88,nan
19,RPVQMLLLNHOFFBF88CA,坡道平面,0,nan,nan
20,RPWRMLNJOHOFFDF76CA,坡道平面,0,nan,nan
21,RPTOMLRLNHOFFHF07CA,坡道平面,0,nan,nan
22,RPTOMLRLNHOFFHF07CA,坡道平面,0,nan,nan
23,RPUNMLKMNHOFFIF56CA,坡道平面,0,nan,nan
24,RPRPMLOLNHOFFCF88DA,坡道平面,2000000,45.74,nan
25,RPXPMLQKNHOFFAF86EA,坡道平面,2300000,22.02,nan
26,RPSOMLQKNHOFFHF86DA,升降機械,0,10.66,nan
27,RPOOMLRKNHOFFBF58DA,坡道平面,1200000,33.8,nan
28,RPOOMLRKNHOFFBF58DA,坡道平面,1200000,33.8,nan
29,RPOOMLRKNHOFFBF58DA,坡道平面,1200000,33.8,nan
30,RPTPMLQJOHOFFHF96CA,塔式車位,0,22.43,nan
31,RPTRMLRKNHOFFHF27CA,坡道平面,1850000,nan,nan
32,RPQPMLNLNHOFFDF68CA,坡道平面,1150000,36.95,nan
33,RPTQMLLMNHOFFCF88CA,坡道平面,0,nan,nan
34,RPVOMLOLNHOFFAF88CA,坡道平面,1350000,31.65,nan
35,RPWOMLOLNHOFFAF98CA,坡道平面,1280000,31.65,nan
36,RPQPMLOLNHOFFAF48CA,坡道平面,1460000,31.28,nan
37,RPROMLKLNHOFFBF18CA,坡道平面,0,32.23,nan
38,RPSQMLNJOHOFFBF68CA,坡道平面,0,27.11,nan
39,RPVNMLSLNHOFFCF76CA,坡道平面,0,30.04,nan
40,RPTPMLLLOHOFFCF78CA,坡道機械,0,nan,nan
41,RPPUMLMLNHOFFHF76CA,坡道平面,1600000,27.28,nan
42,RPPNMLNLNHOFFBF38EA,坡道平面,0,nan,nan
43,RPQNMLOJOHOFFDF68EA,坡道平面,0,29.2,nan
44,RPVNMLKLNHOFFEF98EA,坡道平面,477119,73.45,nan
45,RPOOMLOLNHOFFHF88CA,坡道平面,0,nan,nan
46,RPWOMLOLNHOFFHF07CA,坡道平面,2500000,40.1,nan
47,RPQOMLNLNHOFFHF98CA,坡道平面,0,nan,nan
48,RPVNMLMLNHOFFDF88CA,坡道平面,850000,36.95,nan
49,RPXNMLMLNHOFFDF09CA,坡道平面,850000,36.95,nan
50,RPQPMLMLNHOFFDF58CA,坡道平面,0,24.23,nan
51,RPORMLNJOHOFFAF28CA,坡道平面,1500000,39.6,nan
52,RPPOMLMLNHOFFBF18CA,坡道平面,0,31.29,nan
53,RPQOMLTLNHOFFCF09CA,坡道機械,0,nan,nan
54,RPTNMLTLNHOFFHF17CA,坡道平面,0,32.43,nan
55,RPSNNLRLNHOFFBF09DA,坡道機械,0,nan,nan
56,RPSPMLOLNHOFFBF98EA,坡道平面,1700000,34.44,nan
57,RPVOMLOLNHOFFBF56EA,坡道平面,0,27.41,nan
58,RPVOMLOLNHOFFBF56EA,坡道平面,0,30.72,nan
59,RPOVNLMLNHOFFBF09EA,坡道平面,0,nan,nan
60,RPXNMLOLNHOFFBF56DA,坡道平面,1000000,33.8,nan
61,RPXNMLOLNHOFFBF56DA,坡道平面,1000000,33.8,nan
62,RPRPMLTLNHOFFGF07CA,坡道平面,1800000,24.48,nan
63,RPTPMLTLNHOFFGF27CA,坡道平面,1900000,24.48,nan
64,RPPQMLTLNHOFFGF96CA,坡道平面,1800000,24.48,nan
65,RPQOMLRLNHOFFAF68CA,坡道平面,0,nan,nan
66,RPRNMLMJOHOFFBF18CA,坡道平面,0,nan,nan
67,RPVNMLMJOHOFFBF58CA,坡道平面,0,23.03,nan
68,RPVQMLNKOHOFFBF09CA,坡道平面,2200000,32.8,nan
69,RPVQMLNKOHOFFBF09CA,坡道平面,2100000,30.49,nan
70,RPPNMLRLNHOFFDF78CA,坡道平面,0,nan,nan
71,RPQPMLSLNHOFFDF56CA,坡道平面,0,26.93,nan
72,RPVRMLRLNHOFFEF27CA,坡道機械,0,25.45,nan
73,RPUPMLOJOHOFFIF96CA,坡道平面,0,29.35,nan
74,RPTPMLOLOHOFFEF86EA,坡道平面,1000000,42.91,nan
75,RPXQMLMJPHOFFAF66EA,坡道平面,2000000,23.42,nan
76,RPTPMLTLNHOFFHF37CA,坡道平面,0,nan,nan
77,RPRNMLOJPHOFFGF98CA,坡道平面,1600000,47.75,nan
78,RPRNMLOJPHOFFGF98CA,坡道平面,1600000,47.75,nan
79,RPTQMLMKOHOFFEF09CA,坡道機械,0,6.06,nan
80,RPSOMLRLNHOFFEF66CA,坡道平面,0,29.24,nan
81,RPXOMLLKOHOFFBF88CA,坡道平面,0,38.33,nan
82,RPXOMLLKOHOFFBF88CA,坡道平面,0,38.33,nan
83,RPWQMLOJOHOFFAF09CA,坡道平面,0,35.42,nan
84,RPWQMLOJOHOFFAF09CA,坡道平面,0,35.42,nan
85,RPWPMLKMNHOFFAF78CA,升降機械,0,nan,nan
86,RPWQMLPJOHOFFAF56CA,坡道平面,0,22.87,nan
87,RPQRMLLMNHOFFBF58CA,坡道平面,0,nan,nan
88,RPPOMLQJOHOFFCF58CA,坡道平面,1700000,30.49,nan
89,RPQOMLQJOHOFFCF68CA,坡道平面,1600000,30.49,nan
90,RPTQMLKLOHOFFCF78CA,坡道平面,2000000,31.96,nan
91,RPXNMLSKOHOFFCF96CA,坡道平面,0,nan,nan
92,RPXNMLSKOHOFFCF96CA,坡道平面,0,nan,nan
93,RPXNMLSKOHOFFCF96CA,坡道平面,0,nan,nan
94,RPXNMLSKOHOFFCF96CA,坡道平面,0,nan,nan
95,RPSOMLPJOHOFFDF88CA,坡道平面,0,33.07,nan
96,RPVVMLTLNHOFFEF87CA,坡道平面,0,39.34,nan
97,RPPNMLTLNHOFFIF07EA,升降平面,0,33.77,nan
98,RPORMLTLNHOFFBF66EA,坡道平面,0,40.65,nan
99,RPTNMLTLNHOFFGF17DA,坡道平面,0,28.56,nan
100,RPQRMLRKOHOFFHF07CA,坡道機械,1050000,40.1,nan
101,RPPSMLRKOHOFFHF07CA,坡道平面,2500000,40.1,nan
102,RPQNMLKMNHOFFGF58CA,坡道平面,0,33.19,nan
103,RPQNMLKMNHOFFGF58CA,坡道平面,0,33.19,nan
104,RPQNMLKMNHOFFGF58CA,坡道平面,0,33.19,nan
105,RPQNMLKMNHOFFGF58CA,坡道平面,0,33.19,nan
106,RPQNMLKMNHOFFGF58CA,坡道平面,0,33.19,nan
107,RPPOMLKLOHOFFBF08CA,坡道平面,1600000,34.69,nan
108,RPOQMLQJOHOFFBF58CA,坡道平面,0,30.4,nan
109,RPQQMLLKOHOFFBF38CA,坡道平面,2300000,44.62,nan
110,RPQQMLLKOHOFFBF38CA,坡道平面,2150000,44.62,nan
111,RPVRMLKMNHOFFBF98CA,坡道平面,0,29.76,nan
112,RPVNMLLMNHOFFAF58CA,坡道平面,0,12.69,nan
113,RPSNMLQJOHOFFDF88CA,坡道平面,0,31.33,nan
114,RPUQMLLMNHOFFEF56CA,坡道平面,0,nan,nan
115,RPXOMLKMNHOFFBF98DA,坡道平面,1090000,33.8,nan
116,RPXOMLKMNHOFFBF98DA,坡道平面,1080000,33.8,nan
117,RPXOMLKMNHOFFBF98DA,坡道平面,1080000,33.8,nan
118,RPOPMLOJPHOFFAF48EA,坡道平面,0,12.91,nan
119,RPRNMLOJOHOFFDF78EA,坡道平面,0,nan,nan
120,RPTPMLOKOHOFFDF56DA,坡道平面,1000000,nan,nan
121,RPUOMLTKOHOFFCF96DA,坡道平面,1800000,37.46,nan
122,RPUOMLTKOHOFFCF96DA,坡道平面,1800000,35.33,nan
123,RPUOMLTKOHOFFCF96DA,坡道機械,1400000,29.82,nan
124,RPPNMLSLOHOFFBF88DA,坡道機械,1000000,21.38,nan
