,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPQNMLTKNHOFFAX87CA,40.0,313.84,住商用,鋼筋混凝土造,1968年1月23日,四層,一層 二層 三層 四層 地下層
1,RPSNMLOKNHOFFAX67DA,39.0,87.48,住商用,鋼筋混凝土加強磚造,1969年8月6日,二層,一層 二層 電梯樓梯間
2,RPSNMLPKNHOFFAX77DA,nan,38.76,住家用,鋼筋混凝土造,nan,三層,一層 二層 三層 電梯樓梯間 儲藏室
3,RPVNMLLLNHOFFAX77DA,35.0,81.81,集合住宅,鋼筋混凝土造,1973年6月29日,五層,二層
4,RPVNMLLLNHOFFAX77DA,35.0,0.08,集合住宅,鋼筋混凝土造,1973年6月29日,五層,一層
5,RPSNMLRLNHOFFAX97CA,nan,57.83,住家用,造,nan,一層,一層 見其他登記事項
6,RPQNMLRLNHOFFAX77CA,nan,143.58,農產品調理設施、涼亭,鋼骨構造,108年1月8日,一層,一層 見其他登記事項
7,RPOOMLOJOHOFFAX27CA,36.0,37.05,住家用,鋼筋混凝土加強磚造,1972年8月25日,三層,一層 二層 三層
8,RPTNMLLKOHOFFAX47CA,28.0,81.6,住家用,鋼筋混凝土加強磚造,1979年12月1日,二層,一層 二層
9,RPTNMLOLOHOFFAX87CA,40.0,91.2,住家用,鋼筋混凝土加強空心磚造,1968年4月16日,二層,一層 二層
10,RPTNMLOJOHOFFAX77DA,nan,48.9,住家用,造,nan,一層,一層
11,RPTNMLOKOHOFFAX77CA,38.0,96.84,住家用,加強磚造,1970年7月1日,二層,一層 二層
12,RPOOMLLKOHOFFAX07CA,37.0,92.34,住家用,鋼筋混凝土加強磚造,1971年6月9日,二層,一層 二層 電梯樓梯間
13,RPPNMLMKOHOFFAX17CA,1.0,117.32,住家用,鋼筋混凝土造,107年8月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
14,RPPNMLMKOHOFFAX17CA,1.0,117.32,住家用,鋼筋混凝土造,107年8月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
15,RPSNMLOKOHOFFAX67CA,26.0,110.37,住家用,鋼筋混凝土造,1981年12月2日,七層,二層 三層
16,RPSNMLOKOHOFFAX67CA,26.0,30.18,電梯間、避難室,鋼筋混凝土造,1981年12月2日,七層,nan
17,RPRNMLMJPHOFFAX37CA,27.0,244.93,住商用,鋼筋混凝土造,1981年4月16日,五層,一層 二層 三層 四層 五層
18,RPUNMLSJPHOFFAX38DA,nan,17.12,住商用,造,nan,三層,nan
19,RPVNMLSJPHOFFAX48DA,nan,1.07,住商用,造,nan,三層,nan
20,RPPNMLQKPHOFFAX77DA,nan,1.07,住商用,造,nan,三層,一層 二層 三層
21,RPUNMLOJPHOFFAX87CA,13.0,105.92,集合住宅,鋼筋混凝土造,1995年7月10日,七層,二層 陽台
22,RPUNMLOJPHOFFAX87CA,13.0,67.04,共用部份,鋼筋混凝土造,1995年7月10日,十四層,nan
23,RPPNMLKMPHOFFAX37DA,15.0,247.57,住家用,鋼筋混凝土造,1993年10月27日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
24,RPRNMLPJPHOFFAX77DA,13.0,113.22,集合住宅,鋼筋混凝土造,1995年7月10日,十四層,七層 陽台
25,RPRNMLPJPHOFFAX77DA,13.0,73.14,共用部份,鋼筋混凝土造,1995年7月10日,十四層,nan
26,RPSNMLTKPHOFFAX28CA,nan,76.03,住家用,造,nan,一層,一層
27,RPSNMLSJQHOFFAX28DA,nan,2.85,住家用,造,nan,一層,一層
28,RPUNMLSJQHOFFAX38CA,24.0,84.25,住家用,鋼筋混凝土造,1984年1月28日,七層,六層 見其他登記事項
29,RPUNMLSJQHOFFAX38CA,27.0,6.29,避難室,鋼筋混凝土造,1981年1月28日,七層,nan
30,RPUNMLSJQHOFFAX38CA,27.0,9.08,電樓梯間,鋼筋混凝土造,1981年1月28日,七層,nan
31,RPQNMLLMIIOFFAX86CA,36.0,193.81,住商用,鋼筋混凝土造,1972年5月25日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
32,RPSNMLRJQHOFFAX08CA,19.0,79.05,住家用,鋼筋混凝土造,1989年1月26日,五層,四層 陽台
33,RPSNMLRJQHOFFAX08CA,19.0,11.86,停車場，梯間，機械室，水箱,鋼筋混凝土造,1989年1月26日,五層,nan
