,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,馬公市,土地,烏崁新段1091地號,175.29,nan,鄉村區,乙種建築用地,1080318,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,610000,3480.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLLLNHOFFAX87CA,0.0,0.0,0.0,nan,nan
1,馬公市,房地(土地+建物),澎湖縣馬公市臨海路６巷２號,97.0,商,nan,nan,1080410,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,680123.0,313.84,5,1,5,有,無,18000000,57354.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLTKNHOFFAX87CA,313.84,0.0,0.0,nan,nan
2,馬公市,房地(土地+建物),澎湖縣馬公市文林街48號,78.02,住,nan,nan,1080418,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,690806.0,87.48,3,3,2,有,無,5000000,57156.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLOKNHOFFAX67DA,87.48,0.0,0.0,nan,nan
3,馬公市,房地(土地+建物),澎湖縣馬公市中興路14號,32.5,商,nan,nan,1080415,土地2建物1車位0,一層，二層，三層，電梯樓梯間,三層,店面(店鋪),住家用,鋼筋混凝土造,nan,38.76,6,1,3,有,無,1300000,33540.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLPKNHOFFAX77DA,36.84,1.92,0.0,nan,nan
4,七美鄉,土地,七美二段583地號,323.43,nan,一般農業區,農牧用地,1080419,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,666666,2061.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLLLNHOFFAX47CA,0.0,0.0,0.0,nan,nan
5,湖西鄉,土地,龍門南段238地號,47.69,nan,鄉村區,乙種建築用地,1080410,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,200000,4194.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLMLNHOFFAX27CA,0.0,0.0,0.0,nan,nan
6,馬公市,土地,鐵線段955地號,120.08,nan,鄉村區,乙種建築用地,1080420,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,360000,2998.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOLNHOFFAX47CA,0.0,0.0,0.0,nan,nan
7,馬公市,房地(土地+建物),澎湖縣馬公市光復路74之1號2樓,10.0,住,nan,nan,1080418,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,730629.0,81.89,3,1,2,有,無,430000,5251.0,nan,0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLLLNHOFFAX77DA,81.89,0.0,0.0,nan,nan
8,馬公市,土地,烏崁新段1226-1地號,22.97,nan,鄉村區,乙種建築用地,1080509,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,319053,13890.0,nan,0,0,向政府機關承購之案件。；,RPPOMLLLNHOFFAX27DA,0.0,0.0,0.0,nan,nan
9,馬公市,房地(土地+建物),澎湖縣馬公市烏崁２６號,119.13,nan,鄉村區,乙種建築用地,1080424,土地1建物1車位0,全,一層,透天厝,住家用,造,nan,57.83,5,2,1,有,無,550148,9513.0,nan,0,0,親友、員工或其他特殊關係間之交易。；有民情風俗因素之交易。；出賣人賣清 . 不負擔任何費用土地分區 鄉村區  乙種建築用地,RPSNMLRLNHOFFAX97CA,54.4,3.44,0.0,nan,nan
