,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPXNMLLLNHOFFAX87CA,nan,131.13,非都市： ; 非都市編定：,1,1,全筆移轉,9850000
1,RPXNMLLLNHOFFAX87CA,nan,44.16,非都市： ; 非都市編定：,1,1,全筆移轉,10910000
2,RPQNMLTKNHOFFAX87CA,馬公段,97.0,非都市： ; 非都市編定：,1,1,全筆移轉,6110015
3,RPSNMLOKNHOFFAX67DA,埕西段,78.02,非都市： ; 非都市編定：,1,1,全筆移轉,3020000
4,RPSNMLPKNHOFFAX77DA,馬公段,18.0,非都市： ; 非都市編定：,4,1,持分移轉,8520000
5,RPSNMLPKNHOFFAX77DA,馬公段,14.5,非都市： ; 非都市編定：,4,1,持分移轉,8700000
6,RPTNMLLLNHOFFAX47CA,nan,75.33,非都市： ; 非都市編定：,12,4,持分移轉,5590000
7,RPTNMLLLNHOFFAX47CA,nan,248.1,非都市： ; 非都市編定：,12,4,持分移轉,5830000
8,RPQNMLMLNHOFFAX27CA,龍門南段,47.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,2380000
9,RPQNMLOLNHOFFAX47CA,鐵線段,120.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,9550000
10,RPVNMLLLNHOFFAX77DA,馬公段,9.06,非都市： ; 非都市編定：,40000,36,持分移轉,2010000
11,RPVNMLLLNHOFFAX77DA,馬公段,0.94,非都市： ; 非都市編定：,20000,15,持分移轉,2010003
12,RPPOMLLLNHOFFAX27DA,nan,0.66,非都市： ; 非都市編定：,1,1,全筆移轉,10930018
13,RPPOMLLLNHOFFAX27DA,nan,22.31,非都市： ; 非都市編定：,1,1,全筆移轉,12260001
14,RPSNMLRLNHOFFAX97CA,烏崁新段,119.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,3,持分移轉,11210000
15,RPPNMLPLNHOFFAX57DA,許家段,130.73,非都市：一般農業區 ; 非都市編定：農牧用地,54,13,持分移轉,6970000
16,RPRNMLOLNHOFFAX67DA,鎖港西段,249.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,9250000
