,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPUNMLRLNHOFFAT77CA,28.0,345.19,住家用,鋼鐵造有牆,1980年4月25日,二層,一層 二層 騎樓
1,RPRNMLNLNHOFFBT17CA,29.0,147.37,住商用,鋼筋混凝土造,1979年8月20日,三層,一層 二層 三層 屋頂突出物 騎樓
2,RPXOMLRKNHOFFAT08CA,15.0,659.25,騎樓、托兒所,鋼筋混凝土造,1992年8月4日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
3,RPTPMLKMNHOFFAT37DA,20.0,46.32,集合住宅,鋼筋混凝土造,1988年5月14日,六層,五層 陽台
4,RPTPMLKMNHOFFAT37DA,20.0,16.63,停車空間、機械室、水箱、授電室,鋼筋混凝土造,1988年5月14日,六層,nan
5,RPTNMLRKNHOFFDT97DA,28.0,66.5,住家用,加強磚造,1979年11月14日,一層,一層 屋頂突出物
6,RPSNMLOJOHOFFCT37CA,25.0,290.25,農舍,鋼筋混凝土造,1983年2月21日,三層,一層 二層 三層
7,RPOOMLKMNHOFFAT66CA,25.0,105.04,住家用,鋼筋混凝土造,1983年9月10日,四層,一層 二層 三層 四層 陽台 屋頂突出物 花台
8,RPOOMLKMNHOFFAT66CA,25.0,105.04,住家用,鋼筋混凝土造,1983年9月10日,四層,一層 二層 三層 四層 陽台 屋頂突出物 花台
9,RPRPMLRKNHOFFAT57CA,41.0,104.0,住商用,加強磚造,1967年5月30日,二層,一層 二層 騎樓
10,RPTNMLLLNHOFFAT07CA,34.0,78.09,住家用,鋼筋混凝土造,1974年1月9日,五層,一層
11,RPTNMLLLNHOFFAT07CA,34.0,17.71,樓梯、地下室,鋼筋混凝土造,1974年1月9日,五層,nan
12,RPQNMLLLNHOFFCT96CA,35.0,202.91,住商用,加強磚造,1973年7月13日,二層,一層 二層 屋頂突出物
13,RPTNMLMLNHOFFAT27DA,49.0,79.95,住家用,鋼筋混凝土加強磚造,1959年2月10日,二層,一層 二層
14,RPPOMLMLNHOFFAT86CA,40.0,216.0,住商用,鋼筋混凝土造,1968年5月29日,三層,一層 二層 三層 騎樓 地下層
15,RPSOMLNLNHOFFAT27CA,25.0,299.79,住家用,鋼筋混凝土造,1983年1月28日,三層,一層 二層 三層 屋頂突出物 騎樓
16,RPUNMLOJOHOFFCT57CA,nan,201.4,門廊、住宅,鋼筋混凝土構造,107年11月13日,三層,一層 二層 三層 陽台 見其他登記事項
17,RPSNMLTLNHOFFET18CA,25.0,153.72,住宅．停車空間,鋼筋混凝土造,1983年5月4日,三層,一層 二層 三層 屋頂突出物
18,RPOOMLQJOHOFFAT07CA,28.0,160.17,住家用,鋼筋混凝土造,1980年8月2日,三層,一層 二層 三層 騎樓
19,RPSOMLMLNHOFFAT17CA,39.0,107.2,住商用,加強磚造,1969年5月2日,二層,一層 二層 騎樓
20,RPROMLOLNHOFFAT27CA,14.0,152.19,停車空間、集合住宅,鋼筋混凝土造,1994年1月11日,三層,一層 二層 三層 陽台 雨遮
21,RPQOMLOLNHOFFAT27DA,19.0,24.01,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,1988年12月4日,十四層,nan
22,RPUNMLRLNHOFFBT87CA,26.0,159.22,住家用,鋼筋混凝土造,1982年5月18日,三層,一層 二層 三層 走廊
23,RPQNMLQKOHOFFCT47CA,11.0,189.08,住商用,鋼筋混凝土造,1996年10月23日,三層,一層 二層 三層 陽台 騎樓
24,RPUOMLLMNHOFFAT47DA,28.0,204.05,住家用,鋼筋混凝土造,1979年11月6日,七層,一層 二層 騎樓
25,RPUOMLLMNHOFFAT47DA,28.0,52.3,共有部份,鋼筋混凝土造,1979年11月6日,七層,nan
26,RPPNMLKKOHOFFDT96DA,40.0,71.37,住家用,加強磚造,1968年8月8日,一層,一層
27,RPVOMLQLOHOFFAT97CA,23.0,170.84,住商用,鋼筋混凝土造,1984年12月30日,四層,一層 二層 三層 四層 陽台 騎樓
28,RPQOMLOJOHOFFAT07CA,41.0,67.1,自用農舍,加強磚造,1967年6月6日,一層,一層 夾層
29,RPPNMLQJOHOFFFT57CA,36.0,196.2,農舍,加強磚造,1972年1月26日,二層,一層 二層
30,RPUOMLPJOHOFFAT67DA,27.0,123.72,住家用,鋼筋混凝土造,1981年7月20日,五層,五層 陽台
31,RPUOMLPJOHOFFAT67DA,27.0,21.34,共有部份,鋼筋混凝土造,1981年7月20日,五層,nan
32,RPPNMLRJOHOFFAT17CA,49.0,40.04,住家用,鋼筋混凝土加強磚造,1959年10月5日,二層,一層 二層
33,RPPNMLRJOHOFFAT17CA,49.0,40.04,住家用,鋼筋混凝土加強磚造,1959年10月5日,二層,一層 二層
34,RPWOMLOJOHOFFAT67CA,34.0,77.05,集合住宅,鋼筋混凝土造,1973年11月20日,五層,四層
35,RPWOMLOJOHOFFAT67CA,34.0,17.68,共有部份,鋼筋混凝土造,1973年11月20日,五層,nan
36,RPWNMLNKOHOFFDT87CA,31.0,139.85,店舖，住宅,鋼筋混凝土造,1977年6月16日,三層,一層 二層 三層 屋頂突出物 騎樓
