,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,長治鄉,房地(土地+建物),屏東縣長治鄉長興路13號,410.43,商,nan,nan,1080412,土地2建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,見其他登記事項,800425.0,345.19,0,0,0,無,無,21700000,62864.0,nan,0.0,0,nan,RPUNMLRLNHOFFAT77CA,345.19,0.0,0.0,nan,nan
1,竹田鄉,土地,西勢段411-6地號,57.67,nan,鄉村區,乙種建築用地,1080420,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,250000,4335.0,nan,0.0,0,瑕疵物件之交易。；部分被佔用,RPTPMLNKNHOFFCT57CA,0.0,0.0,0.0,nan,nan
2,竹田鄉,土地,鳳新段670地號,776.2,nan,特定農業區,農牧用地,1080412,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2080000,2680.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOKNHOFFCT47CA,0.0,0.0,0.0,nan,nan
3,潮州鎮,土地,三共段302地號,205.66,住,nan,nan,1080425,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3110500,15124.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；土地增值稅買賣雙方均分。,RPUNMLSLNHOFFCT08CA,0.0,0.0,0.0,nan,nan
4,枋寮鄉,土地,隆山段172地號,1074.34,農,nan,nan,1080424,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1300000,1210.0,nan,0.0,0,畸零地或有合併使用之交易。；,RPRNMLOKNHOFFFT57CA,0.0,0.0,0.0,nan,nan
5,里港鄉,土地,瀰力肚段825-4地號,38.0,nan,鄉村區,乙種建築用地,1080501,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,92000,2421.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKNHOFFBT27DA,0.0,0.0,0.0,nan,nan
6,佳冬鄉,土地,玉光段733-3地號,5.19,住,nan,nan,1080417,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,120668,23250.0,nan,0.0,0,向政府機關承購之案件。；,RPPNMLKLNHOFFFT27EA,0.0,0.0,0.0,nan,nan
7,屏東市,土地,新歸來段31地號,6819.69,nan,一般農業區,農牧用地,1080226,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5150000,755.0,nan,0.0,0,375租約之承租人,RPWPMLPJOHOFFAT97DA,0.0,0.0,0.0,nan,nan
8,潮州鎮,土地,三共段321地號,113.06,其他,nan,nan,1080425,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,682800,6039.0,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPPOMLSLNHOFFCT67CA,0.0,0.0,0.0,nan,nan
9,里港鄉,房地(土地+建物),屏東縣里港鄉玉田路４之４９號,87.0,住,nan,nan,1080403,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,790820.0,147.37,4,1,2,有,無,2650000,17982.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；土地增值稅108051元、契稅19266元及移轉相關所有費用由權利人負擔繳納。,RPRNMLNLNHOFFBT17CA,134.65,12.72,0.0,nan,nan
10,長治鄉,土地,潭頭段751地號,850.32,其他,nan,nan,1080304,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6000000,7056.0,nan,0.0,0,包含公共設施保留地之交易。；,RPWPMLPKNHOFFAT87CA,0.0,0.0,0.0,nan,nan
11,屏東市,房地(土地+建物),屏東縣屏東市莊敬街二段１００巷４１號,328.0,住,nan,nan,1070615,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,920804.0,659.25,0,0,0,無,無,35000000,53091.0,nan,0.0,0,nan,RPXOMLRKNHOFFAT08CA,589.08,23.05,47.12,nan,nan
12,潮州鎮,土地,富春段614-3地號,25.04,nan,鄉村區,乙種建築用地,1080425,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,970301,38750.0,nan,0.0,0,向政府機關承購之案件。；,RPPNMLRLNHOFFCT47CA,0.0,0.0,0.0,nan,nan
13,崁頂鄉,土地,頂信段108地號,61.75,工,nan,nan,1080401,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,183640,2974.0,nan,0.0,0,向政府機關承購之案件。；,RPVNMLKLNHOFFDT47CA,0.0,0.0,0.0,nan,nan
14,崁頂鄉,土地,頂信段106地號,76.96,農,nan,nan,1080401,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,199478,2592.0,nan,0.0,0,向政府機關承購之案件。；,RPWNMLKLNHOFFDT57CA,0.0,0.0,0.0,nan,nan
15,屏東市,房地(土地+建物)+車位,屏東縣屏東市崇蘭100之26號5樓,15.84,住,nan,nan,1080425,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,880514.0,62.95,3,1,2,有,無,408319,6486.0,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTPMLKMNHOFFAT37DA,40.59,0.0,5.72,nan,nan
16,滿州鄉,土地,花海段1019地號,188.69,住,nan,nan,1080319,土地5建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1470243,7792.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLPJOHOFFET67CA,0.0,0.0,0.0,nan,nan
17,竹田鄉,土地,頓物段643地號,666.89,農,nan,nan,1080508,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1000000,1499.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLQKNHOFFCT47DA,0.0,0.0,0.0,nan,nan
18,東港鎮,土地,大潭新庄段1171地號,3.6,nan,一般農業區,農牧用地,1080419,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,34596,9610.0,nan,0.0,0,向政府機關承購之案件。；,RPPOMLSLNHOFFDT87DA,0.0,0.0,0.0,nan,nan
19,南州鄉,房地(土地+建物),屏東縣南州鄉同安村千壽路2之2號,127.76,nan,鄉村區,乙種建築用地,1080430,土地2建物1車位0,全,一層,透天厝,住家用,加強磚造,791114.0,66.5,3,1,1,有,無,500000,7519.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLRKNHOFFDT97DA,58.84,7.66,0.0,nan,nan
20,車城鄉,土地,保力段保力小段248地號,2.21,nan,鄉村區,乙種建築用地,1080508,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,10000,4525.0,nan,0.0,0,畸零地或有合併使用之交易。；共有人之間買賣,RPSNMLQKNHOFFET87DA,0.0,0.0,0.0,nan,nan
