,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPUNMLRLNHOFFAT77CA,潭頭段,194.43,都市：商,1.0,1.0,全筆移轉,6330000
1,RPUNMLRLNHOFFAT77CA,潭頭段,216.0,都市：商,1.0,1.0,全筆移轉,6340000
2,RPTPMLNKNHOFFCT57CA,西勢段,57.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3.0,1.0,持分移轉,4110006
3,RPTNMLOKNHOFFCT47CA,鳳新段,776.2,非都市：特定農業區 ; 非都市編定：農牧用地,178149.0,77620.0,持分移轉,6700000
4,RPUNMLSLNHOFFCT08CA,三共段,102.69,都市：住,1.0,1.0,全筆移轉,3010000
5,RPUNMLSLNHOFFCT08CA,三共段,102.97,都市：住,1.0,1.0,全筆移轉,3020000
6,RPRNMLOKNHOFFFT57CA,隆山段,1074.34,都市：農,5.0,1.0,持分移轉,1720000
7,RPPNMLQKNHOFFBT27DA,瀰力肚段,16.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,8260015
8,RPPNMLQKNHOFFBT27DA,瀰力肚段,22.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,8250004
9,RPPNMLKLNHOFFFT27EA,玉光段,5.19,都市：住,1.0,1.0,全筆移轉,7330003
10,RPWPMLPJOHOFFAT97DA,新歸來段,6819.69,非都市：一般農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,310000
11,RPPOMLSLNHOFFCT67CA,三共段,48.46,都市：其他:道路用地,16.0,3.0,持分移轉,3210000
12,RPPOMLSLNHOFFCT67CA,三共段,64.61,都市：其他:道路用地,4.0,1.0,持分移轉,3210000
13,RPRNMLNLNHOFFBT17CA,潮北段,74.0,都市：住,1.0,1.0,全筆移轉,3010001
14,RPRNMLNLNHOFFBT17CA,潮北段,13.0,都市：住,1.0,1.0,全筆移轉,3000000
15,RPWPMLPKNHOFFAT87CA,潭頭段,850.32,都市：其他:機關用地,1.0,1.0,全筆移轉,7510000
16,RPXOMLRKNHOFFAT08CA,溝美段,328.0,都市：住,1.0,1.0,全筆移轉,5410000
17,RPPNMLRLNHOFFCT47CA,富春段,6.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,6140001
18,RPPNMLRLNHOFFCT47CA,富春段,12.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,6140002
19,RPPNMLRLNHOFFCT47CA,富春段,5.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,6140003
20,RPVNMLKLNHOFFDT47CA,頂信段,30.16,都市：農,1.0,1.0,全筆移轉,1070000
21,RPVNMLKLNHOFFDT47CA,頂信段,31.59,都市：工,1.0,1.0,全筆移轉,1080000
22,RPWNMLKLNHOFFDT57CA,頂信段,29.18,都市：工,1.0,1.0,全筆移轉,1040001
23,RPWNMLKLNHOFFDT57CA,頂信段,47.78,都市：農,1.0,1.0,全筆移轉,1060000
24,RPTPMLKMNHOFFAT37DA,勝興段,15.84,都市：住,20000.0,181.0,持分移轉,910000
25,RPSNMLPJOHOFFET67CA,花海段,110.66,都市：住,12.0,1.0,持分移轉,10180000
26,RPSNMLPJOHOFFET67CA,花海段,5.28,都市：住,12.0,1.0,持分移轉,10190000
27,RPSNMLPJOHOFFET67CA,花海段,24.57,都市：住,12.0,1.0,持分移轉,10200000
28,RPSNMLPJOHOFFET67CA,花海段,2.87,都市：住,12.0,1.0,持分移轉,10210000
29,RPSNMLPJOHOFFET67CA,花海段,45.3,都市：住,12.0,1.0,持分移轉,10450000
30,RPQNMLQKNHOFFCT47DA,頓物段,666.89,都市：農,67690.0,3338.0,持分移轉,6430000
31,RPPOMLSLNHOFFDT87DA,大潭新庄段,3.6,非都市：一般農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,11710000
32,RPTNMLRKNHOFFDT97DA,三千段,121.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,1720000
33,RPTNMLRKNHOFFDT97DA,三千段,6.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1.0,1.0,全筆移轉,1730000
34,RPSNMLQKNHOFFET87DA,nan,2.21,非都市： ; 非都市編定：,24.0,1.0,持分移轉,2480000
35,RPQNMLKLNHOFFDT96CA,大南段,2.03,都市：其他:道路用地,64.0,1.0,持分移轉,500000
36,RPQNMLKLNHOFFDT96CA,大南段,4.77,都市：其他:道路用地,64.0,1.0,持分移轉,470000
37,RPQNMLKLNHOFFDT96CA,大南段,169.96,都市：其他:保護區,64.0,1.0,持分移轉,480000
38,RPQNMLKLNHOFFDT96CA,大南段,0.06,都市：其他:道路用地,64.0,1.0,持分移轉,480001
39,RPSNMLOJOHOFFCT37CA,中山段,1700.66,非都市：一般農業區 ; 非都市編定：農牧用地,2.0,1.0,持分移轉,910002
40,RPSNMLOJOHOFFCT37CA,中山段,355.53,非都市：一般農業區 ; 非都市編定：農牧用地,2.0,1.0,持分移轉,580000
41,RPSNMLOJOHOFFCT37CA,中山段,2500.0,非都市：一般農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,910000
42,RPSNMLOJOHOFFCT37CA,中山段,61.24,都市：農,1.0,1.0,全筆移轉,910001
43,RPPOMLNJOHOFFCT07CA,榮田段,1.02,都市：住,1.0,1.0,全筆移轉,1150000
44,RPVNMLKLNHOFFCT37CA,餉潭段,478.0,非都市：一般農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,4350004
45,RPPNMLRLNHOFFBT37CA,達來段,2860.0,非都市：山坡地保育區 ; 非都市編定：林業用地,1.0,1.0,全筆移轉,2010000
46,RPPNMLKLNHOFFBT66CA,中和段,584.81,非都市：一般農業區 ; 非都市編定：農牧用地,6.0,4.0,持分移轉,6520000
47,RPUOMLQJOHOFFAT67CA,水泉段,87.98,都市：農,1.0,1.0,全筆移轉,2820005
48,RPOOMLKMNHOFFAT66CA,萬年段,46.5,都市：住,2.0,1.0,持分移轉,5240004
49,RPOOMLKMNHOFFAT66CA,萬年段,46.5,都市：住,2.0,1.0,持分移轉,5240004
50,RPOOMLKMNHOFFAT66CA,萬年段,2.5,都市：住,2.0,1.0,持分移轉,5240005
51,RPOOMLKMNHOFFAT66CA,萬年段,2.5,都市：住,2.0,1.0,持分移轉,5240005
52,RPTNMLRLNHOFFAT67CA,番子寮段,233.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,390.0,233.0,持分移轉,9080000
53,RPRPMLRKNHOFFAT57CA,萬惠段,84.0,都市：住,1.0,1.0,全筆移轉,9530000
54,RPTNMLLLNHOFFAT07CA,長春段,23.15,都市：住,20.0,1.0,持分移轉,7250001
55,RPTNMLLLNHOFFAT07CA,長春段,10.3,都市：住,20.0,1.0,持分移轉,7250002
56,RPXNMLOLNHOFFCT97CA,新榮段,5.27,都市：商,1.0,1.0,全筆移轉,120001
57,RPXNMLOLNHOFFCT97CA,新榮段,12.62,都市：商,1.0,1.0,全筆移轉,120003
58,RPOOMLOLNHOFFCT17CA,新榮段,8.96,都市：商,1.0,1.0,全筆移轉,120002
59,RPPOMLOLNHOFFCT27CA,新榮段,11.28,都市：商,1.0,1.0,全筆移轉,120004
60,RPPOMLOLNHOFFCT27CA,新榮段,1.86,都市：商,1.0,1.0,全筆移轉,120008
61,RPQOMLOLNHOFFCT37CA,新榮段,2.67,都市：商,1.0,1.0,全筆移轉,120007
62,RPROMLOLNHOFFCT47CA,新榮段,0.81,都市：商,1.0,1.0,全筆移轉,120006
63,RPXNMLNKOHOFFCT87CA,牛角灣段,54798.41,非都市：一般農業區 ; 非都市編定：農牧用地,1.0,1.0,全筆移轉,4690000
64,RPTNMLMLNHOFFDT47CA,興厝段,122.99,都市：農,1.0,1.0,全筆移轉,1930006
