,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPTPMLKMNHOFFAT37DA,一樓平面,0,nan,nan
1,RPQOMLOLNHOFFAT27DA,坡道平面,600000,24.01,nan
2,RPQNMLSJPHOFFCT77DA,坡道平面,0,nan,nan
3,RPOPMLSKOHOFFCT67CA,坡道平面,0,nan,nan
4,RPPNMLOLOHOFFCT37DA,坡道平面,0,nan,nan
5,RPVNMLPKPHOFFAT77CA,坡道平面,1100000,21.03,nan
6,RPQPMLLKPHOFFAT07CA,坡道平面,0,24.0,nan
7,RPRNMLPLPHOFFAT57DA,一樓平面,0,nan,nan
8,RPVNMLSKPHOFFCT28CA,坡道平面,0,nan,nan
9,RPQOMLSKPHOFFCT87CA,坡道平面,0,nan,nan
10,RPOOMLSKPHOFFCT67CA,坡道平面,0,nan,nan
11,RPWNMLSKPHOFFCT38CA,坡道平面,0,nan,nan
12,RPPOMLSKPHOFFCT77CA,坡道平面,0,nan,nan
13,RPPNMLNLPHOFFDT37CA,坡道平面,0,nan,nan
14,RPTOMLMLPHOFFAT47CA,坡道機械,0,nan,nan
15,RPVOMLQJQHOFFAT97CA,坡道平面,0,24.0,nan
