,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPTNMLRKNHOFFAB38CA,24.0,95.34,住家用,鋼筋混凝土造,1983年12月28日,十五層,十一層 陽台
1,RPTNMLRKNHOFFAB38CA,24.0,43.98,共有部份,鋼筋混凝土造,1983年12月28日,十五層,nan
2,RPTNMLRKNHOFFAB38CA,24.0,14.96,共有部份,鋼筋混凝土造,1983年12月28日,十五層,nan
3,RPUNMLOKNHOFFBB28CA,35.0,125.23,住家用,加強磚造,1973年6月7日,(空白),一層 二層 陽台 屋頂突出物 夾層
4,RPQOMLRKNHOFFBB28CA,26.0,151.98,住家用,鋼筋混凝土造,1982年3月6日,十六層,七層 陽台
5,RPQOMLRKNHOFFBB28CA,26.0,31.21,商業用,鋼筋混凝土造,1982年3月6日,十六層,地下三層
6,RPQOMLRKNHOFFBB28CA,26.0,19.5,共有部份,鋼筋混凝土造,1982年3月6日,十六層,nan
7,RPQOMLRKNHOFFBB28CA,26.0,0.6,商業用,鋼筋混凝土造,1982年3月6日,十六層,一層 平台
8,RPQOMLRKNHOFFBB28CA,26.0,1.25,共有部份,鋼筋混凝土造,1982年3月6日,十六層,nan
9,RPSQMLTLNHOFFBB98CA,51.0,95.2,住商用,加強磚造,1957年1月2日,二層,一層 二層 騎樓
10,RPWOMLLKOHOFFBB38CA,40.0,74.36,商業用,鋼筋混凝土造,1968年3月26日,五層,一層 騎樓
11,RPVPMLPKNHOFFCB78CA,24.0,112.64,住商用,鋼筋混凝土造,1984年5月25日,十二層,一層 二層 陽台 平台 騎樓
12,RPVPMLPKNHOFFCB78CA,24.0,21.26,共有部份,鋼筋混凝土造,1984年5月25日,十二層,nan
13,RPRQMLQKNHOFFCB58CA,29.0,114.11,商業用,鋼筋混凝土造,1979年4月30日,六層,一層 騎樓 地下層
14,RPRQMLQKNHOFFCB58CA,29.0,25.41,共有部份,鋼筋混凝土造,1979年4月30日,六層,nan
15,RPRQMLLLNHOFFCB18CA,1.0,195.17,住宅、停車空間,鋼骨造,107年1月18日,二層,一層 二層 陽台
16,RPUNMLPJOHOFFDB58CA,21.0,177.48,住房、人行道、停車空間、梯間,鋼筋混凝土造,1987年5月29日,三層,一層 二層 三層 陽台 騎樓 雨遮 見其他登記事項
17,RPVNMLKMNHOFFFB58CA,6.0,213.54,見其他登記事項,鋼筋混凝土造,102年8月14日,四層,一層 二層 三層 四層 見其他登記事項
18,RPVNMLKMNHOFFFB58CA,6.0,1.09,見其他登記事項,鋼筋混凝土造,102年8月14日,一層,nan
19,RPTNMLPJOHOFFFB68CA,nan,91.95,店舖、集合住宅,鋼筋混凝土造,107年11月26日,七層,一層 二層 陽台
20,RPTNMLPJOHOFFFB68CA,nan,108.7,法定防空避難室兼停車空間、梯間、梯廳、一般昇降機、車道、發電機室兼消防機械室、水箱、污水機房、停車空間、機車停車空間、台電配電室、受電箱區、電信室、水景機房、戶外安全梯、公共服務空間、管委會使用空間、基地內通路、門廊、頂蓋型開放空間、頂蓋型廣場式開放空間、水表室、昇降機道、機械室等２４項。,鋼筋混凝土造,107年11月26日,七層,nan
21,RPUOMLQKNHOFFIB66CA,8.0,106.23,集合住宅,鋼筋混凝土造,100年4月13日,十五層,二層 陽台 雨遮
22,RPUOMLQKNHOFFIB66CA,8.0,48.1,本共有部分之項目有防空避難室兼停車空間、消防機房、污水機房、水箱、電信機房、台電配電室、發電機室、中央管理室、廣場式開放空間、梯廳、資源回收室、垃圾集中區、公共服務空間、車道、排煙室、樓梯間及機械室等１７項。,鋼筋混凝土造,100年4月13日,十五層,nan
23,RPUOMLRKNHOFFIB76CA,3.0,170.46,集合住宅,鋼筋混凝土造,104年11月19日,十一層,十層 十一層 陽台
24,RPUOMLRKNHOFFIB76CA,3.0,119.79,本共有部分之項目有防空避難室兼停車空間、停車空間、電信室、台電配電室、消防機房兼發電機室、梯廳、人行道、公共服務空間、樓梯間、機械室及水箱等１１項,鋼筋混凝土造,104年11月19日,十一層,nan
25,RPVOMLRKNHOFFIB86CA,30.0,246.86,住宅、人行道、店舖、梯間,鋼筋混凝土造,1978年6月20日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
26,RPWOMLMLNHOFFIB56CA,23.0,63.6,共有部份,鋼筋混凝土造,1984年12月27日,五層,nan
27,RPWOMLMLNHOFFIB56CA,23.0,109.11,集合住宅,鋼筋混凝土造,1984年12月27日,五層,三層 陽台 花台
28,RPWOMLPJOHOFFIB76CA,31.0,107.27,住宅、梯間,鋼筋混凝土造,1977年5月20日,三層,一層 二層 三層 陽台 屋頂突出物
29,RPROMLPKNHOFFJB98CA,3.0,346.04,住宅、停車空間、樓梯間,鋼筋混凝土造,105年8月16日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項
30,RPUNMLQKNHOFFJB66CA,40.0,102.06,住家用,加強磚造,1968年2月20日,二層,一層 二層
31,RPTNMLRLNHOFFJB76CA,20.0,200.28,住家用,鋼筋混凝土造,1987年12月1日,四層,一層 二層 三層 四層 陽台
32,RPUNMLRLNHOFFJB86CA,20.0,210.96,住家用,鋼筋混凝土造,1987年12月1日,四層,一層 二層 三層 四層 陽台
33,RPVNMLRLNHOFFJB96CA,20.0,211.69,住家用,鋼筋混凝土造,1987年12月1日,四層,一層 二層 三層 四層 陽台
34,RPOOMLQJOHOFFAB97DA,28.0,60.41,住家用,鋼筋混凝土造,1980年1月17日,五層,四層 陽台
35,RPOOMLQJOHOFFAB97DA,28.0,1.37,共有部份,鋼筋混凝土造,1980年1月17日,五層,nan
36,RPUNMLQKNHOFFBB58DA,28.0,316.61,住家用,鋼筋混凝土造,1980年2月6日,五層,一層 二層 三層 四層 五層 陽台 平台 露台 花台
37,RPUNMLQKNHOFFBB58DA,28.0,55.68,共有部份,鋼筋混凝土造,1980年2月6日,五層,nan
38,RPPOMLKLNHOFFHB28DA,24.0,109.86,人行道　集合住宅　店舖,鋼筋混凝土造,1984年1月10日,十三層,一層 二層 陽台 騎樓 花台
39,RPPOMLKLNHOFFHB28DA,24.0,5.6,共有部份,鋼筋混凝土造,1984年1月10日,十三層,nan
40,RPVNMLOKNHOFFJB56CA,6.0,312.0,自用農舍,鋼筋混凝土造、鋼骨造,102年4月17日,二層,一層 二層
41,RPPNMLOKNHOFFHB38CA,24.0,128.8,住家用,鋼筋混凝土造,1984年5月20日,十三層,七層 八層 陽台
42,RPPNMLOKNHOFFHB38CA,24.0,14.08,共有部份,鋼筋混凝土造,1984年5月20日,十三層,nan
43,RPPNMLOKNHOFFHB38CA,24.0,43.89,共有部份,鋼筋混凝土造,1984年5月20日,十三層,nan
44,RPOOMLMKOHOFFFB08CA,12.0,247.89,騎樓、店舖、住宅、停車空間,鋼筋混凝土造,1996年7月25日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮
45,RPPNMLQKNHOFFEB28CA,35.0,99.96,住房、梯室,加強磚造,1973年7月8日,二層,一層 二層 屋頂突出物
46,RPXNMLQJOHOFFDB98CA,25.0,0.39,住家用,鋼筋混凝土造,1983年9月1日,十六層,二層 陽台 露台
47,RPXNMLQJOHOFFDB98CA,25.0,80.13,住家用,鋼筋混凝土造,1983年9月1日,十六層,十二層 陽台
48,RPXNMLQJOHOFFDB98CA,25.0,29.98,共有部份,鋼筋混凝土造,1983年9月1日,十六層,nan
49,RPQOMLQJOHOFFDB38CA,50.0,111.53,商業用,加強磚造,1958年8月18日,二層,一層 二層 騎樓
50,RPTNMLKKOHOFFDB08CA,50.0,58.68,住家用,加強磚造,1958年5月6日,二層,一層 二層 騎樓
51,RPQNMLQKNHOFFDB28CA,24.0,154.99,店舖、人行道、住宅,鋼筋混凝土造,1984年6月21日,七層,一層 二層 陽台 騎樓
52,RPQNMLQKNHOFFDB28CA,24.0,65.85,共有部份,鋼筋混凝土造,1984年6月21日,七層,nan
53,RPVNMLNLNHOFFDB58CA,45.0,58.32,住家用,加強磚造,1963年5月10日,四層,四層 騎樓
54,RPTNMLPLNHOFFCB48CA,26.0,244.09,住商用,鋼筋混凝土造,1982年4月16日,四層,一層 二層 三層 四層 陽台 騎樓 露台 地下層
55,RPTNMLPLNHOFFCB48CA,26.0,45.67,共有部份,鋼筋混凝土造,1982年4月16日,四層,nan
56,RPSNMLTKNHOFFCB68CA,11.0,101.84,店舖、住房,鋼筋混凝土造,1996年9月7日,十五層,一層 二層 陽台 雨遮 夾層
57,RPSNMLTKNHOFFCB68CA,11.0,69.55,共用,鋼筋混凝土造,1996年9月7日,十五層,nan
58,RPRNMLSKNHOFFCB48CA,23.0,221.36,店舖、辦公室、住宅、人行道,鋼筋混凝土造,1985年6月12日,十八層,一層 二層 陽台 騎樓 夾層 地下一層
59,RPRNMLSKNHOFFCB48CA,23.0,32.07,共有部份,鋼筋混凝土造,1985年6月12日,十八層,nan
60,RPVRMLKMNHOFFBB58CA,33.0,106.1,住家用,鋼筋混凝土造,1974年12月24日,五層,二層 陽台
61,RPVRMLKMNHOFFBB58CA,33.0,10.17,共有部份,鋼筋混凝土造,1974年12月24日,五層,nan
62,RPWNMLNLNHOFFBB48CA,26.0,44.99,住商用,鋼筋混凝土造,1982年8月5日,十層,一層 二層 陽台 平台 花台
63,RPWNMLNLNHOFFBB48CA,26.0,0.0,共有部份,鋼筋混凝土造,1982年8月5日,十層,nan
64,RPSNMLLLNHOFFBB87CA,24.0,119.42,住商用,鋼筋混凝土造,1984年8月7日,十四層,一層 二層 陽台 平台 騎樓 花台
65,RPSNMLLLNHOFFBB87CA,24.0,35.94,共有部份,鋼筋混凝土造,1984年8月7日,十四層,nan
66,RPXQMLQKNHOFFBB09CA,30.0,37.89,停車空間,鋼筋混凝土造,1978年6月19日,十五層,地下層
67,RPXQMLQKNHOFFBB09CA,30.0,172.52,住家用,鋼筋混凝土造,1978年6月19日,十五層,九層 十層 陽台 花台
68,RPXQMLQKNHOFFBB09CA,30.0,65.05,共有部份,鋼筋混凝土造,1978年6月19日,十五層,nan
69,RPRNMLQKNHOFFBB18CA,40.0,84.15,住商用,鋼筋混凝土造,1968年5月15日,五層,一層 騎樓
70,RPVOMLPKNHOFFBB58CA,25.0,66.87,商業用,鋼筋混凝土造,1983年1月12日,七層,一層 平台 騎樓
71,RPVOMLPKNHOFFBB58CA,25.0,86.15,共有部份,鋼筋混凝土造,1983年1月12日,七層,nan
72,RPUPMLOLNHOFFAB48CA,30.0,241.63,住房,鋼筋混凝土造,1978年8月12日,四層,一層 二層 三層 四層 陽台 騎樓 花台
73,RPUPMLOLNHOFFAB48CA,30.0,27.25,共有部份,鋼筋混凝土造,1978年8月12日,四層,nan
74,RPUNMLNLNHOFFAB18CA,23.0,96.18,店舖，集合住宅，人行道,鋼筋混凝土造,1985年8月2日,十四層,一層 二層 陽台 騎樓
75,RPUNMLNLNHOFFAB18CA,23.0,14.24,共同使用,鋼筋混凝土造,1985年8月2日,十四層,nan
76,RPUNMLNLNHOFFAB18CA,23.0,9.97,停車空間,鋼筋混凝土造,1985年8月2日,十四層,nan
77,RPUNMLNLNHOFFAB18CA,23.0,5.34,共同使用,鋼筋混凝土造,1985年8月2日,十四層,nan
78,RPQOMLTKNHOFFBB48CA,31.0,111.91,住商用,鋼筋混凝土造,1977年9月22日,五層,一層 二層 陽台 騎樓 花台
79,RPQOMLTKNHOFFBB48CA,31.0,5.18,共有部份,鋼筋混凝土造,1977年9月22日,五層,nan
80,RPSNMLKLNHOFFBB77CA,24.0,737.68,商業用,鋼筋混凝土造,1984年4月18日,二層,一層 二層 屋頂突出物 騎樓
81,RPXTMLLMNHOFFBB09CA,39.0,149.33,工業用,加強磚造,1969年7月21日,二層,一層 二層
82,RPXOMLLKOHOFFBB48CA,21.0,98.21,住家用,鋼筋混凝土造,1986年12月31日,十四層,六層 陽台
83,RPXOMLLKOHOFFBB48CA,21.0,49.24,共有部份,鋼筋混凝土造,1986年12月31日,十四層,nan
