,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,南區,房地(土地+建物)+車位,臺中市南區學府路１７３號十一樓之５,14.6,住,nan,nan,1080424,土地3建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831228.0,154.28,4,2,2,有,有,7500000,48613.0,坡道平面,0.0,1000000,親友、員工或其他特殊關係間之交易。；,RPTNMLRKNHOFFAB38CA,87.7,7.64,0,nan,nan
1,北屯區,房地(土地+建物),臺中市北屯區松安街１９３號,83.0,住,nan,nan,1080424,土地1建物1車位0,全,(空白),透天厝,住家用,加強磚造,730607.0,125.23,4,2,2,有,無,14300000,114190.0,nan,0.0,0,nan,RPUNMLOKNHOFFBB28CA,106.33,18.9,0,nan,nan
2,北屯區,房地(土地+建物)+車位,臺中市北屯區青島路四段２０９號７樓,28.03,住,nan,nan,1080408,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820306.0,204.53,3,2,2,有,有,7500000,36669.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLRKNHOFFBB28CA,165.19,18.59,0,nan,nan
3,北區,房地(土地+建物),臺中市北區梅亭街６３１號,54.0,住,nan,nan,1080413,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,加強磚造,570102.0,95.2,5,3,3,有,無,11500000,120798.0,nan,0.0,0,nan,RPSQMLTLNHOFFBB98CA,95.2,0.0,0,nan,nan
4,北屯區,土地,仁德段747-2地號,42.71,其他,nan,nan,1080401,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2258844,52888.0,nan,0.0,0,包含公共設施保留地之交易。；,RPTQMLOJOHOFFBB48CA,0.0,0.0,0,nan,nan
5,北區,房地(土地+建物),臺中市北區榮華街２３號,23.1,住,nan,nan,1080425,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680326.0,74.36,2,1,1,有,無,4000000,53792.0,nan,0.0,0,nan,RPWOMLLKOHOFFBB38CA,74.36,0.0,0,nan,nan
6,南屯區,房地(土地+建物),臺中市南屯區黎明東街４３９號,26.03,住,nan,nan,1080329,土地1建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,840525.0,133.9,0,0,0,無,有,10400000,77670.0,nan,0.0,0,nan,RPVPMLPKNHOFFCB78CA,101.2,11.44,0,nan,nan
7,西屯區,房地(土地+建物),臺中市西屯區寧夏東一街４１號,23.5,住,nan,nan,1080401,土地1建物1車位0,一層，騎樓，地下層,六層,店面(店鋪),商業用,鋼筋混凝土造,790430.0,139.52,0,2,1,有,有,8000000,57339.0,nan,0.0,0,nan,RPRQMLQKNHOFFCB58CA,114.11,0.0,0,nan,nan
8,西屯區,房地(土地+建物),臺中市西屯區福林路３１巷１５０號,234.14,住,nan,nan,1080424,土地3建物1車位0,一層，二層,二層,店面(店鋪),見其他登記事項,見其他登記事項,1070118.0,195.17,4,4,4,有,無,54200000,277707.0,nan,0.0,0,nan,RPRQMLLLNHOFFCB18CA,190.34,4.83,0,nan,nan
9,后里區,土地,金城段381地號,3433.0,nan,特定農業區,農牧用地,1080328,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7731500,2252.0,nan,0.0,0,本買賣案件係屬親友間特殊交易，其交易價格可能異於市場正常交易價格。,RPVNMLPKNHOFFDB68CA,0.0,0.0,0,nan,nan
