,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPTNMLRKNHOFFAB38CA,坡道平面,1000000,nan,nan
1,RPQOMLRKNHOFFBB28CA,坡道平面,0,nan,nan
2,RPVNMLKMNHOFFFB58CA,坡道平面,0,nan,nan
3,RPTNMLPJOHOFFFB68CA,坡道平面,0,34.72,nan
4,RPTNMLPJOHOFFFB68CA,坡道平面,0,34.72,nan
5,RPUOMLRKNHOFFIB76CA,坡道平面,0,33.01,nan
6,RPUNMLQKNHOFFBB58DA,坡道平面,0,nan,nan
7,RPPNMLOKNHOFFHB38CA,坡道平面,0,nan,nan
8,RPTNMLPLNHOFFCB48CA,坡道平面,1200000,nan,nan
9,RPSNMLTKNHOFFCB68CA,坡道平面,0,nan,nan
10,RPSNMLTKNHOFFCB68CA,坡道平面,0,nan,nan
11,RPSNMLLLNHOFFBB87CA,坡道機械,0,nan,nan
12,RPXQMLQKNHOFFBB09CA,坡道平面,0,nan,nan
13,RPUPMLOLNHOFFAB48CA,坡道平面,0,nan,nan
14,RPUNMLNLNHOFFAB18CA,坡道機械,0,nan,nan
15,RPXOMLLKOHOFFBB48CA,坡道平面,0,nan,nan
16,RPOOMLRKNHOFFCB18CA,坡道平面,0,nan,nan
17,RPOOMLRKNHOFFCB18CA,坡道平面,0,nan,nan
18,RPPQMLTLNHOFFCB78CA,坡道平面,0,29.47,nan
19,RPPQMLTLNHOFFCB78CA,坡道平面,0,29.47,nan
20,RPUNMLRKNHOFFFB98CA,坡道平面,0,nan,nan
21,RPXOMLNJOHOFFJB76CA,坡道平面,0,24.46,nan
22,RPQNMLQKNHOFFBB18DA,坡道機械,0,13.1,nan
23,RPWNMLRKNHOFFKB07CA,坡道平面,0,nan,nan
24,RPPNMLTLNHOFFJB56CA,坡道平面,1100000,31.32,nan
25,RPRQMLNLNHOFFIB98CA,坡道平面,0,30.09,nan
26,RPRQMLNLNHOFFIB98CA,坡道平面,0,30.09,nan
27,RPRQMLNLNHOFFIB98CA,坡道平面,0,30.09,nan
28,RPRQMLNLNHOFFIB98CA,坡道平面,0,30.09,nan
29,RPRNMLQJOHOFFDB38CA,坡道平面,0,32.66,nan
30,RPQNMLRJOHOFFCB28CA,坡道平面,0,13.72,nan
31,RPPQMLKKOHOFFAB67CA,坡道機械,0,nan,nan
32,RPWNMLMLNHOFFBB38CA,坡道平面,0,33.24,nan
33,RPWNMLMLNHOFFBB38CA,坡道平面,0,33.24,nan
34,RPUOMLNLNHOFFBB38CA,升降機械,0,nan,nan
35,RPPOMLMLNHOFFCB87CA,坡道平面,0,25.48,nan
36,RPPOMLMLNHOFFCB87CA,坡道平面,0,25.48,nan
37,RPVNMLOKOHOFFCB58CA,坡道平面,1200000,26.62,nan
38,RPXOMLOKOHOFFCB88CA,坡道平面,0,26.62,nan
39,RPXOMLOKOHOFFCB88CA,坡道平面,0,28.3,nan
40,RPPRMLNKOHOFFCB28CA,坡道平面,0,28.3,nan
41,RPPRMLNKOHOFFCB28CA,坡道平面,0,28.3,nan
42,RPPRMLNKOHOFFCB28CA,坡道平面,0,28.3,nan
43,RPTRMLNKOHOFFCB68CA,坡道平面,0,28.3,nan
44,RPTRMLNKOHOFFCB68CA,坡道平面,0,28.3,nan
45,RPURMLNKOHOFFCB78CA,坡道平面,1400000,26.62,nan
46,RPXRMLNKOHOFFCB09CA,坡道平面,0,28.3,nan
47,RPXRMLNKOHOFFCB09CA,坡道平面,0,28.3,nan
48,RPQSMLNKOHOFFCB48CA,坡道平面,0,26.62,nan
49,RPQSMLNKOHOFFCB48CA,坡道平面,0,28.3,nan
50,RPVNMLLLNHOFFIB88CA,坡道平面,900000,30.09,nan
51,RPVNMLLLNHOFFIB88CA,坡道平面,900000,30.09,nan
52,RPXNMLSKOHOFFCB66DA,升降機械,0,35.52,nan
53,RPSOMLNLNHOFFKB09CA,坡道平面,0,nan,nan
54,RPPOMLNKOHOFFKB78CA,一樓平面,0,nan,nan
55,RPTOMLQKOHOFFKB86CA,一樓平面,0,nan,nan
56,RPVOMLQKOHOFFKB07CA,一樓平面,0,nan,nan
57,RPWOMLQKOHOFFKB17CA,一樓平面,0,nan,nan
58,RPOPMLQKOHOFFKB09CA,一樓平面,0,nan,nan
59,RPPPMLQKOHOFFKB56CA,一樓平面,0,nan,nan
60,RPQPMLQKOHOFFKB66CA,一樓平面,0,nan,nan
61,RPRPMLQKOHOFFKB76CA,一樓平面,0,nan,nan
62,RPSPMLQKOHOFFKB86CA,一樓平面,0,nan,nan
63,RPTPMLQKOHOFFKB96CA,一樓平面,0,nan,nan
64,RPUPMLQKOHOFFKB07CA,一樓平面,0,nan,nan
