,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPWOMLPKNHOFFAD78CA,51.0,34.33,住家用,加強磚造,1957年3月20日,二層,一層 二層
1,RPPPMLSLNHOFFAD58CA,48.0,644.17,住商用,鋼筋混凝土造,1960年7月19日,四層,一層 二層 三層 四層 騎樓 地下層
2,RPUOMLNKNHOFFBD48CA,23.0,146.54,住商用,鋼筋混凝土造,1985年1月6日,三層,一層 二層 三層 陽台 屋頂突出物
3,RPTOMLOKNHOFFBD48CA,37.0,157.93,住商用,鋼筋混凝土造,1970年10月30日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
4,RPVPMLOKNHOFFCD88CA,22.0,156.78,住商用,鋼筋混凝土造,1986年9月2日,十五層,一層 二層 三層 騎樓
5,RPVPMLOKNHOFFCD88CA,22.0,45.63,共有部分,鋼筋混凝土造,1986年9月2日,十五層,nan
6,RPVPMLOKNHOFFCD88CA,22.0,15.99,共有部分,鋼筋混凝土造,1986年9月2日,十五層,nan
7,RPVNMLKLNHOFFCD38CA,38.0,85.57,住家用,鋼筋混凝土造,1970年7月10日,五層,五層
8,RPVNMLKLNHOFFCD38CA,38.0,14.39,共有部分,鋼筋混凝土造,1970年7月10日,五層,nan
9,RPWOMLKMNHOFFCD68CA,24.0,260.69,住家用,鋼筋混凝土造,1984年1月4日,五層,一層 二層 三層 四層 五層 陽台 露台 花台
10,RPSNMLPKNHOFFFD78CA,35.0,109.09,住家用,加強磚造,1973年5月19日,二層,一層 二層 陽台 騎樓
11,RPWNMLOKNHOFFHD66CA,32.0,111.03,住家用,加強磚造,1976年4月7日,二層,一層 二層 陽台 騎樓
12,RPVOMLQKNHOFFHD86CA,nan,158.51,廠房,鋼骨構造,107年12月14日,一層,一層
13,RPVOMLQKNHOFFHD86CA,nan,158.51,廠房,鋼骨構造,107年12月14日,一層,一層
14,RPWPMLOKNHOFFAD88DA,39.0,90.0,住家用,鋼筋混凝土造,1969年10月3日,四層,四層
15,RPWPMLOKNHOFFAD88DA,39.0,20.39,共有部分,鋼筋混凝土造,1969年10月3日,四層,nan
