,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,安平區,房地(土地+建物),臺南市安平區國勝路１２５巷９弄１２號,35.14,住,nan,nan,1080502,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,570320.0,34.33,2,1,1,有,無,663956,19340.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWOMLPKNHOFFAD78CA,34.33,0.0,0.0,nan,nan
1,中西區,房地(土地+建物),臺南市中西區康樂街２２９號,396.12,商,nan,nan,1080417,土地5建物1車位0,一層，二層，三層，四層，騎樓，地下層,四層,店面(店鋪),住商用,鋼筋混凝土造,600719.0,644.17,0,0,0,無,無,63000000,97800.0,nan,0.0,0,含增建或未登記建物。；,RPPPMLSLNHOFFAD58CA,644.17,0.0,0.0,nan,nan
2,安南區,房地(土地+建物),臺南市安南區安中路四段３２０巷１２９弄２８之２１號,103.58,住,nan,nan,1080407,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土構造,850106.0,146.54,5,2,3,有,無,5200000,35485.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLNKNHOFFBD48CA,139.76,0.0,6.78,nan,nan
3,安南區,房地(土地+建物),臺南市安南區北安路二段１１３號,98.23,住,nan,nan,1080417,土地1建物1車位0,一層，二層，三層，屋頂突出物，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土構造,701030.0,157.93,7,1,4,有,無,9000000,56987.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTOMLOKNHOFFBD48CA,143.6,0.0,14.33,nan,nan
4,安南區,土地,怡中段955-5地號,488.85,住,nan,nan,1080502,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,19266000,39411.0,nan,0.0,0,向政府機關承購之案件。；,RPWNMLKLNHOFFBD38CA,0.0,0.0,0.0,nan,nan
5,東區,房地(土地+建物)+車位,臺南市東區慶東街２２６號,24.96,住,nan,nan,1080409,土地1建物1車位1,一層，二層，三層，騎樓,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土構造,860902.0,218.4,2,3,2,有,有,10000000,45788.0,坡道平面,45.63,0,nan,RPVPMLOKNHOFFCD88CA,156.78,0.0,0.0,nan,nan
6,東區,房地(土地+建物),臺南市東區裕豐街８４巷２９號之４,31.2,住,nan,nan,1080402,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,700710.0,99.96,3,2,2,有,無,2100000,21008.0,nan,0.0,0,含增建或未登記建物。；包含公共設施保留地之交易。；,RPVNMLKLNHOFFCD38CA,85.57,0.0,0.0,nan,nan
7,東區,土地,東寧段967-1地號,15.0,其他,nan,nan,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,114900,7660.0,nan,0.0,0,包含公共設施保留地之交易。；,RPVOMLLLNHOFFCD58CA,0.0,0.0,0.0,nan,nan
8,南區,土地,正義段415地號,40.12,其他,nan,nan,1080419,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,435585,10857.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQPMLMLNHOFFCD28CA,0.0,0.0,0.0,nan,nan
9,東區,土地,新東段200-1地號,148.8,其他,nan,nan,1080419,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1518802,10207.0,nan,0.0,0,包含公共設施保留地之交易。；,RPRPMLMLNHOFFCD38CA,0.0,0.0,0.0,nan,nan
10,南區,房地(土地+建物),臺南市南區健康路一段１７５巷６號,86.0,住,nan,nan,1080419,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土構造,840104.0,260.69,5,2,6,有,無,17800000,68280.0,nan,0.0,0,包含公共設施保留地之交易。；,RPWOMLKMNHOFFCD68CA,235.38,1.62,23.69,nan,nan
11,新營區,土地,濟安段7地號,36.93,商,nan,nan,1080501,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,800000,21663.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOKNHOFFDD58CA,0.0,0.0,0.0,nan,nan
12,東山區,土地,二重溪段17地號,81.67,nan,一般農業區,農牧用地,1080404,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,24500,300.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLPKNHOFFED68CA,0.0,0.0,0.0,nan,nan
13,大內區,房地(土地+建物),臺南市大內區二重溪１０５之７號,171.43,nan,鄉村區,乙種建築用地,1080504,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,730519.0,109.09,3,1,2,有,無,1100000,10083.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；移轉所需費用概由買方負擔包含水、電費及地價稅、房屋稅,RPSNMLPKNHOFFFD78CA,105.22,0.0,3.87,nan,nan
14,將軍區,土地,忠昌段998地號,681.79,住,nan,nan,1080506,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,10000000,14667.0,nan,0.0,0,原因：1.有債權債務關係。2.含未保存登記部分未保存建物售價新台幣828900元。,RPUNMLOKNHOFFGD98CA,0.0,0.0,0.0,nan,nan
15,新市區,房地(土地+建物),臺南市新巿區勝利街４１號,78.69,住,nan,nan,1080318,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,760407.0,111.03,4,2,3,有,無,3767643,33934.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLOKNHOFFHD66CA,103.72,0.0,7.31,nan,nan
16,新市區,土地,大營段1071地號,257.47,nan,特定農業區,農牧用地,1080424,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2500000,9710.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLOKNHOFFHD76CA,0.0,0.0,0.0,nan,nan
17,善化區,房地(土地+建物),臺南市善化區小新營３２０之２５號,823.66,工,nan,nan,1080313,土地5建物2車位0,一層,一層,工廠,見其他登記事項,見其他登記事項,1071214.0,317.02,0,0,0,無,無,30600000,nan,nan,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPVOMLQKNHOFFHD86CA,317.02,0.0,0.0,nan,nan
18,永康區,土地,富強段1192地號,135.84,住,nan,nan,1080412,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3002064,22100.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKNHOFFKD09CA,0.0,0.0,0.0,nan,nan
19,中西區,房地(土地+建物),臺南市中西區健康路ㄧ段200巷5之3號,55.06,住,nan,nan,1080418,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691003.0,110.39,3,2,2,有,無,3000000,27176.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWPMLOKNHOFFAD88DA,90.0,0.0,0.0,nan,nan
20,柳營區,土地,綠隧段231地號,11.11,nan,鄉村區,乙種建築用地,1080429,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,80000,7201.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLLLNHOFFDD18DA,0.0,0.0,0.0,nan,nan
21,新化區,房地(土地+建物),臺南市新化區拔林439號之5,196.0,nan,鄉村區,乙種建築用地,1080312,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土構造,960302.0,229.87,4,2,2,有,無,8380000,36455.0,nan,0.0,0,原因：有債權債務關係。,RPQOMLPKNHOFFHD98DA,229.87,0.0,0.0,nan,nan
22,善化區,土地,善化段3154地號,1094.0,農,nan,nan,1080411,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7111000,6500.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTPMLPKNHOFFHD76DA,0.0,0.0,0.0,nan,nan
