,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPWOMLPKNHOFFAD78CA,古堡段,35.14,都市：住,2,1,持分移轉,6830000
1,RPPPMLSLNHOFFAD58CA,星鑽段,153.48,都市：商,1,1,全筆移轉,17800000
2,RPPPMLSLNHOFFAD58CA,星鑽段,84.36,都市：商,1,1,全筆移轉,17810000
3,RPPPMLSLNHOFFAD58CA,星鑽段,128.03,都市：商,1,1,全筆移轉,17820000
4,RPPPMLSLNHOFFAD58CA,星鑽段,14.24,都市：商,1,1,全筆移轉,17830000
5,RPPPMLSLNHOFFAD58CA,星鑽段,16.01,都市：商,1,1,全筆移轉,17840000
6,RPUOMLNKNHOFFBD48CA,淵西段,22.47,都市：住,1,1,全筆移轉,2040000
7,RPUOMLNKNHOFFBD48CA,淵西段,51.75,都市：住,1,1,全筆移轉,2210021
8,RPUOMLNKNHOFFBD48CA,淵西段,29.36,都市：住,1,1,全筆移轉,2210043
9,RPTOMLOKNHOFFBD48CA,溪東段,98.23,都市：住,1,1,全筆移轉,620000
10,RPWNMLKLNHOFFBD38CA,怡中段,100.0,都市：住,1,1,全筆移轉,9550003
11,RPWNMLKLNHOFFBD38CA,怡中段,283.55,都市：住,1,1,全筆移轉,9550004
12,RPWNMLKLNHOFFBD38CA,怡中段,105.3,都市：住,1,1,全筆移轉,9550005
13,RPVPMLOKNHOFFCD88CA,育樂段,24.96,都市：住,10000,97,持分移轉,11340000
14,RPVNMLKLNHOFFCD38CA,富裕段,0.14,都市：其他:道路用地,10000,253,持分移轉,5380000
15,RPVNMLKLNHOFFCD38CA,富裕段,30.85,都市：住,10000,253,持分移轉,5390000
16,RPVNMLKLNHOFFCD38CA,富裕段,0.22,都市：其他:道路用地,10000,253,持分移轉,5390001
17,RPVOMLLLNHOFFCD58CA,東寧段,15.0,都市：其他:道路用地,1,1,全筆移轉,9670001
18,RPQPMLMLNHOFFCD28CA,正義段,40.12,都市：其他:道路用地,34310,714,持分移轉,4150000
19,RPRPMLMLNHOFFCD38CA,新東段,148.8,都市：其他:道路用地,5,4,持分移轉,2000001
20,RPWOMLKMNHOFFCD68CA,公英段,85.0,都市：住,1,1,全筆移轉,9240003
21,RPWOMLKMNHOFFCD68CA,公英段,1.0,都市：其他:道路用地,1,1,全筆移轉,9240008
22,RPTNMLOKNHOFFDD58CA,濟安段,5.88,都市：商,48,1,持分移轉,30000
23,RPTNMLOKNHOFFDD58CA,濟安段,31.04,都市：商,2,1,持分移轉,70000
24,RPSNMLPKNHOFFED68CA,二重溪段,43.25,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,180000
25,RPSNMLPKNHOFFED68CA,二重溪段,38.42,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,170000
26,RPSNMLPKNHOFFFD78CA,二重溪段,157.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,4360000
27,RPSNMLPKNHOFFFD78CA,二重溪段,14.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,4360008
28,RPUNMLOKNHOFFGD98CA,忠昌段,647.97,都市：住,1,1,全筆移轉,9970002
29,RPUNMLOKNHOFFGD98CA,忠昌段,33.82,都市：其他:道路用地。,10000,4034,持分移轉,9980000
30,RPWNMLOKNHOFFHD66CA,信義段,78.69,都市：住,1,1,全筆移轉,3480000
31,RPXNMLOKNHOFFHD76CA,大營段,257.47,非都市：特定農業區 ; 非都市編定：農牧用地,1000,221,持分移轉,10710000
32,RPVOMLQKNHOFFHD86CA,圳西段,1.77,都市：工,100000,3100,持分移轉,4940041
33,RPVOMLQKNHOFFHD86CA,圳西段,107.09,都市：工,100000,3040,持分移轉,4940043
34,RPVOMLQKNHOFFHD86CA,圳西段,1.23,都市：工,100000,3100,持分移轉,4940045
35,RPVOMLQKNHOFFHD86CA,圳西段,361.84,都市：工,1,1,全筆移轉,4940066
36,RPVOMLQKNHOFFHD86CA,圳西段,351.73,都市：工,1,1,全筆移轉,4940067
37,RPPNMLQKNHOFFKD09CA,富強段,135.84,都市：住,1,1,全筆移轉,11920000
38,RPWPMLOKNHOFFAD88DA,郡王祠段,55.06,都市：住,16,1,持分移轉,18350000
39,RPQNMLLLNHOFFDD18DA,綠隧段,11.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,45,11,持分移轉,2310000
40,RPQOMLPKNHOFFHD98DA,?拔林段,196.0,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,6960035
41,RPTPMLPKNHOFFHD76DA,善化段,1094.0,都市：農,1,1,全筆移轉,31540000
42,RPUOMLQJOHOFFID96DA,媽祖廟段三小段,45.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,650004
43,RPWOMLOKNHOFFCD98DA,育樂段,6.54,都市：商,80000,512,持分移轉,6790000
44,RPRNMLPKNHOFFKD56CA,埔園段,12.75,都市：商,10000,67,持分移轉,3280000
45,RPRNMLPKNHOFFKD56CA,埔園段,0.23,都市：其他:道路用地,10000,67,持分移轉,3440000
