,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPVPMLOKNHOFFCD88CA,坡道平面,0,45.63,nan
1,RPRNMLPKNHOFFKD56CA,升降機械,0,nan,nan
2,RPSOMLPJOHOFFCD58CA,坡道平面,0,nan,nan
3,RPRNMLTLNHOFFAD68CA,坡道機械,0,nan,nan
4,RPVOMLOLNHOFFAD68CA,坡道平面,400000,nan,nan
5,RPRPMLRKNHOFFCD78CA,坡道平面,0,nan,nan
6,RPUOMLQKNHOFFKD07CA,坡道平面,0,22.39,nan
7,RPQQMLKKOHOFFKD98CA,坡道平面,1200000,17.01,nan
8,RPRQMLKKOHOFFKD09CA,坡道平面,1400000,19.23,nan
9,RPSQMLKKOHOFFKD56CA,坡道平面,1200000,19.23,nan
10,RPTQMLKKOHOFFKD66CA,坡道平面,1200000,19.23,nan
11,RPUQMLKKOHOFFKD76CA,坡道平面,1300000,19.23,nan
12,RPVQMLKKOHOFFKD86CA,坡道平面,1300000,19.23,nan
13,RPWQMLKKOHOFFKD96CA,坡道平面,1200000,19.23,nan
14,RPWNMLKKOHOFFKD66CA,坡道平面,1000000,19.23,nan
15,RPOOMLKKOHOFFKD58CA,坡道平面,1100000,19.23,nan
16,RPQPMLKKOHOFFKD88CA,坡道平面,1200000,19.23,nan
17,RPRPMLKKOHOFFKD98CA,坡道平面,1300000,19.23,nan
18,RPTPMLKKOHOFFKD56CA,坡道平面,1200000,19.23,nan
19,RPUPMLKKOHOFFKD66CA,坡道平面,1200000,17.01,nan
20,RPVPMLKKOHOFFKD76CA,坡道平面,1200000,19.23,nan
21,RPWPMLKKOHOFFKD86CA,坡道平面,1200000,19.23,nan
22,RPOQMLKKOHOFFKD78CA,坡道平面,1200000,19.23,nan
23,RPROMLLLNHOFFID78CA,坡道平面,0,nan,nan
24,RPOPMLOLNHOFFCD28CA,坡道機械,0,nan,nan
25,RPOPMLOLNHOFFCD28CA,坡道機械,0,nan,nan
26,RPSPMLLMNHOFFAD28CA,坡道機械,0,nan,nan
27,RPROMLKKOHOFFKD88CA,坡道平面,1200000,19.23,nan
28,RPXNMLSLNHOFFKD57CA,坡道平面,0,25.59,nan
29,RPSOMLKKOHOFFKD98CA,坡道平面,1400000,19.23,nan
30,RPTOMLKKOHOFFKD09CA,坡道平面,900000,19.23,nan
31,RPUOMLKKOHOFFKD56CA,坡道平面,1200000,17.01,nan
