,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPPNMLPKNHOFFAA67CA,nan,79.91,住家用,鋼筋混凝土造,nan,四層,四層 陽臺
1,RPPOMLMKOHOFFBA67CA,nan,86.87,住家用,加強磚造,nan,四層,四層
2,RPRQMLNKNHOFFCA18CA,38.0,88.15,住家用,鋼筋混凝土造,1969年12月15日,五層,四層 陽臺
3,RPUNMLRKNHOFFDA68CA,nan,97.34,住家用,鋼筋混凝土造,nan,五層,三層 陽臺
4,RPTNMLTLNHOFFDA88CA,30.0,74.38,住家用,鋼筋混凝土造,1978年3月16日,五層,五層 陽臺 花台 雨遮
5,RPTNMLTLNHOFFDA88CA,30.0,6.86,共有部分,鋼筋混凝土造,1978年3月16日,五層,nan
6,RPQNMLLMNHOFFDA87CA,27.0,8.85,集合住宅,鋼筋混凝土造,1981年3月3日,七層,一層 平台 花台
7,RPQNMLLMNHOFFDA87CA,27.0,3.85,共有部分,鋼筋混凝土造,1981年3月3日,七層,nan
8,RPRNMLLMNHOFFDA97CA,27.0,8.85,集合住宅,鋼筋混凝土造,1981年3月3日,七層,一層 平台 花台
9,RPRNMLLMNHOFFDA97CA,27.0,3.85,共有部分,鋼筋混凝土造,1981年3月3日,七層,nan
10,RPQOMLOKNHOFFEA18CA,31.0,155.63,住家用,鋼筋混凝土造,1977年4月23日,五層,四層 五層 陽臺 屋頂突出物 露台 花台 夾層
11,RPQOMLOKNHOFFEA18CA,31.0,16.03,共有部分,鋼筋混凝土造,1977年4月23日,五層,nan
12,RPQOMLOKNHOFFEA18CA,31.0,10.15,見使用執照,鋼筋混凝土造,1977年4月23日,五層,地下層
13,RPTNMLQKNHOFFEA58CA,3.0,144.8,住家用,鋼筋混凝土造,105年7月12日,九層,八層 陽臺 雨遮
14,RPTNMLQKNHOFFEA58CA,3.0,29.26,本共有部分之項目有管委會使用空間、陽台、頂蓋式開放空間（門廊）、廁所、梯門廳、進風管道、排煙管道、自行車停車空間、發電機房、汙物處理室、汙物處理室暫停空間、進氣管道、台電配電場所、機電設備空間、機電設備空間（供電信使用）、機電設備空間（雨水及噴灌機房）、排氣管道、機電設備空間（消防幫浦室）、機車區等１９項。,鋼筋混凝土造,105年7月12日,九層,nan
15,RPTNMLQKNHOFFEA58CA,3.0,41.73,本共有部分之項目有梯廳、排煙室、昇降機兼行動不便者使用、緊急昇降機、甲無障礙樓梯、乙戶外安全梯、Ａ棟電表、機電設備空間（Ａ棟水箱）、機電設備空間（Ａ棟生活水箱、水箱機房）、樓梯間、機電設備空間、消防水箱、電梯機房、水箱等１４項。,鋼筋混凝土造,105年7月12日,九層,nan
16,RPTNMLQKNHOFFEA58CA,3.0,88.5,本共有部分之項目有車道、停車空間兼防空避難室、停車空間、汽車坡道等４項。,鋼筋混凝土造,105年7月12日,九層,nan
17,RPUNMLQKNHOFFEA68CA,41.0,100.95,住家用,鋼筋混凝土造,1967年6月26日,五層,四層 陽臺
18,RPUNMLQKNHOFFEA68CA,41.0,8.6,共有部分,鋼筋混凝土造,1967年6月26日,五層,nan
19,RPQOMLNLNHOFFEA18CA,36.0,91.28,住家用,鋼筋混凝土造,1971年10月29日,五層,二層 陽臺
20,RPQOMLNLNHOFFEA18CA,36.0,9.25,共有部分,鋼筋混凝土造,1971年10月29日,五層,nan
21,RPRNMLQKNHOFFAA08DA,8.0,104.7,住家用,鋼筋混凝土造,1999年11月4日,十三層,九層 陽臺
22,RPRNMLQKNHOFFAA08DA,8.0,73.97,共有部分，本共有部分之項目有社區遊憩設施（戶內遊憩設施）、樓電梯間（Ｌ．Ｍ棟）、警衛室、受電箱室、台電配電場所、車道、其他、梯廳、排煙室、梯機房、梯間、水箱、防空避難室兼停車空間、台電管道間（Ｃ１．Ｃ２）、緊急發電機室、進排風機房、電信室、蓄水池（Ｍ．Ｌ棟）、瓦斯安全開關室、消防泵浦室、雨水回收機房、資訊機房、停車空間等２３項,鋼筋混凝土造,1999年11月4日,十三層,nan
23,RPROMLLKOHOFFAA77DA,38.0,36.19,住家用,鋼筋混凝土造,1970年8月31日,五層,三層 陽臺
24,RPROMLLKOHOFFAA77DA,37.0,3.53,共有部分,鋼筋混凝土造,1970年12月31日,五層,nan
25,RPSOMLLKOHOFFAA87DA,38.0,18.1,住家用,鋼筋混凝土造,1970年8月31日,五層,三層 陽臺
26,RPSOMLLKOHOFFAA87DA,37.0,1.77,共有部分,鋼筋混凝土造,1970年12月31日,五層,nan
27,RPQNMLOKNHOFFBA87DA,36.0,7.75,住家用,鋼筋混凝土造,1971年10月27日,十二層,八層 陽臺
28,RPQNMLOKNHOFFBA87DA,36.0,2.31,共有部分,鋼筋混凝土造,1971年10月27日,十二層,nan
29,RPSNMLTKNHOFFDA78DA,38.0,67.51,住家用,鋼筋混凝土造,1970年6月20日,四層,四層 陽臺
30,RPSNMLTKNHOFFDA78DA,38.0,1.9,共有部分,鋼筋混凝土造,1970年6月20日,四層,nan
31,RPSNMLOKNHOFFEA38DA,33.0,56.28,住家用,鋼筋混凝土造,1975年1月3日,七層,七層 陽臺 花台
32,RPSNMLOKNHOFFEA38DA,33.0,9.41,共有部分,鋼筋混凝土造,1975年1月3日,七層,nan
33,RPSNMLOKNHOFFEA38DA,33.0,0.4,商業用,鋼筋混凝土造,1975年1月3日,七層,地下層
34,RPSNMLOKNHOFFEA38DA,33.0,0.08,共有部分,鋼筋混凝土造,1975年1月3日,七層,nan
35,RPSNMLOKNHOFFEA38DA,33.0,0.4,商業用,鋼筋混凝土造,1975年1月3日,七層,地下層
36,RPSNMLOKNHOFFEA38DA,33.0,0.0,共有部分,鋼筋混凝土造,1975年1月3日,七層,nan
37,RPSNMLOKNHOFFEA38DA,33.0,6.63,見使用執照,鋼筋混凝土造,1975年1月3日,七層,避難室兼停車場
38,RPSNMLOKNHOFFEA38DA,33.0,1.26,共有部分,鋼筋混凝土造,1975年1月3日,七層,nan
39,RPTOMLPKNHOFFDA58DA,nan,51.75,住家用,加強磚造,nan,三層,二層
40,RPRNMLMKOHOFFDA08DA,nan,30.44,住家用,鋼筋混凝土造,nan,七層,七層 陽臺
41,RPRNMLMKOHOFFDA08DA,nan,3.7,nan,鋼筋混凝土造,nan,七層,nan
42,RPQOMLMKOHOFFDA08DA,nan,40.48,nan,鋼筋混凝土造,nan,五層,一層 平台
43,RPVOMLMKOHOFFFA68CA,34.0,85.55,住家用,鋼筋混凝土造,1974年5月22日,十七層,五層 陽臺 花台
44,RPVOMLMKOHOFFFA68CA,34.0,15.03,共有部分,鋼筋混凝土造,1974年5月22日,十七層,nan
45,RPVOMLMKOHOFFFA68CA,34.0,3.36,共有部分,鋼筋混凝土造,1974年5月22日,十九層,nan
46,RPVOMLMKOHOFFFA68CA,34.0,7.27,防空避難室及停車場,鋼筋混凝土造,1974年5月22日,十九層,地下層
47,RPTNMLMLNHOFFEA28CA,26.0,137.65,住家用,鋼筋混凝土造,1982年2月11日,十四層,十層 陽臺
48,RPTNMLMLNHOFFEA28CA,26.0,25.77,共有部分,鋼筋混凝土造,1982年2月11日,十四層,nan
49,RPTNMLMLNHOFFEA28CA,26.0,6.18,共有部分,鋼筋混凝土造,1982年2月11日,十四層,nan
50,RPTNMLMLNHOFFEA28CA,26.0,21.49,共有部分,鋼筋混凝土造,1982年2月11日,十四層,nan
51,RPTNMLMLNHOFFEA28CA,26.0,75.14,停車空間,鋼筋混凝土造,1982年2月11日,十四層,地下二層
52,RPTNMLMLNHOFFEA28CA,26.0,0.39,共有部分,鋼筋混凝土造,1982年2月11日,十四層,nan
53,RPQOMLOKNHOFFCA97CA,15.0,104.15,商業用,鋼骨鋼筋混凝土造,1993年5月7日,十層,一層 二層 陽臺
54,RPQOMLOKNHOFFCA97CA,15.0,24.88,共有部分,鋼骨鋼筋混凝土造,1993年5月7日,十層,nan
55,RPQOMLOKNHOFFCA97CA,15.0,46.51,共有部分,鋼骨鋼筋混凝土造,1993年5月7日,十層,nan
56,RPUNMLNKOHOFFBA18CA,7.0,25.95,住家用,鋼筋混凝土造,101年6月25日,十四層,七層 陽臺
57,RPUNMLNKOHOFFBA18CA,7.0,17.77,本件共有部分之項目共有：停車空間、梯廳、發電機房、台電配電室、進風機房、排風機房、機房（電信）、儲藏室、停車空間兼防空避難室、１／６汽車坡道、蓄水池、消防泵浦室、機房、社區遊憩設施、門廊、管理委員會、緊急昇降機、行動不便昇降設備、警衛室及中控設備室、排煙室、電表間、屋頂水箱、消防水箱、汽機車坡道、排氣墩、電梯機房等２６項。,鋼筋混凝土造,101年6月25日,十四層,nan
58,RPWNMLNKOHOFFBA38CA,7.0,77.84,住家用,鋼筋混凝土造,101年6月25日,十四層,七層 陽臺
59,RPWNMLNKOHOFFBA38CA,7.0,53.31,本件共有部分之項目共有：停車空間、梯廳、發電機房、台電配電室、進風機房、排風機房、機房（電信）、儲藏室、停車空間兼防空避難室、１／６汽車坡道、蓄水池、消防泵浦室、機房、社區遊憩設施、門廊、管理委員會、緊急昇降機、行動不便昇降設備、警衛室及中控設備室、排煙室、電表間、屋頂水箱、消防水箱、汽機車坡道、排氣墩、電梯機房等２６項。,鋼筋混凝土造,101年6月25日,十四層,nan
60,RPPOMLMLNHOFFBA67CA,45.0,97.68,工業用,鋼筋混凝土造,1962年10月19日,四層,四層
61,RPUNMLQKNHOFFBA38CA,49.0,82.92,住家用,鋼筋混凝土造,1959年2月15日,四層,二層
62,RPPNMLSLNHOFFAA08CA,nan,91.91,住家用,鋼筋混凝土造,nan,五層,一層 平台 停車場 停車場
63,RPQOMLTLNHOFFAA38CA,25.0,35.93,住家用,鋼筋混凝土造,1983年10月18日,十三層,六層 陽臺
64,RPQOMLTLNHOFFAA38CA,25.0,13.38,見使用執照,鋼筋混凝土造,1983年10月18日,十四層,nan
65,RPSNMLMLNHOFFCA97CA,1.0,25.7,多戶住宅（集合住宅）,鋼筋混凝土造,107年9月25日,七層,七層 陽臺 見其他登記事項
66,RPSNMLMLNHOFFCA97CA,1.0,12.44,本共有部分之項目有供行動不便者使用電梯、機車昇降機、梯廳、通道、雨遮、管理員室、機械室（電信室）、排風機、鐵爬梯、防空避難室兼停車空間、台電配電室、受電箱、ＣＯ２機房、ＦＲＰ水箱、水錶牆、電梯機房、自來水箱等１７項。,鋼筋混凝土造,107年9月25日,七層,nan
67,RPSNMLMLNHOFFCA97CA,1.0,0.25,多戶住宅（集合住宅）,鋼筋混凝土造,107年9月25日,七層,一層
68,RPSNMLMLNHOFFCA97CA,1.0,10.49,本共有部分之項目有汽車昇降機空間、雨遮、停車空間等３項。,鋼筋混凝土造,107年9月25日,七層,nan
69,RPSNMLMLNHOFFCA97CA,1.0,0.11,本共有部分之項目有供行動不便者使用電梯、機車昇降機、梯廳、通道、雨遮、管理員室、機械室（電信室）、排風機、鐵爬梯、防空避難室兼停車空間、台電配電室、受電箱、ＣＯ２機房、ＦＲＰ水箱、水錶牆、電梯機房、自來水箱等１７項。,鋼筋混凝土造,107年9月25日,七層,nan
70,RPOPMLKMNHOFFDA77CA,21.0,181.34,住家用,鋼骨鋼筋混凝土造,1986年11月26日,十四層,一層 陽臺 花台
71,RPOPMLKMNHOFFDA77CA,21.0,33.2,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
72,RPOPMLKMNHOFFDA77CA,21.0,42.08,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
73,RPOPMLKMNHOFFDA77CA,21.0,30.21,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
74,RPPPMLKMNHOFFDA87CA,21.0,169.94,住家用,鋼骨鋼筋混凝土造,1986年11月26日,十四層,一層 陽臺 花台
75,RPPPMLKMNHOFFDA87CA,21.0,31.18,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
76,RPPPMLKMNHOFFDA87CA,21.0,42.08,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
77,RPPPMLKMNHOFFDA87CA,21.0,28.12,共有部分,鋼骨鋼筋混凝土造,1986年11月26日,十四層,nan
78,RPRQMLPKNHOFFEA58CA,23.0,138.49,住家用,鋼筋混凝土造,1985年2月14日,四層,二層 三層 四層 陽臺 電梯樓梯間 露台
79,RPRQMLPKNHOFFEA58CA,23.0,56.02,共有部分,鋼筋混凝土造,1985年2月14日,六層,nan
80,RPRQMLPKNHOFFEA58CA,23.0,9.39,共有部分,鋼筋混凝土造,1985年2月14日,四層,nan
81,RPUNMLNKOHOFFFA58CA,23.0,57.16,住家用,鋼筋混凝土造,1984年11月1日,五層,三層 陽臺 電梯樓梯間 露台 花台
82,RPUNMLNKOHOFFFA58CA,23.0,2.02,共有部分,鋼筋混凝土造,1984年11月1日,五層,nan
83,RPUNMLNKOHOFFFA58CA,23.0,10.5,共有部分,鋼筋混凝土造,1984年11月1日,五層,nan
84,RPOPMLRKNHOFFDA38DA,6.0,158.64,住家用,鋼筋混凝土造,102年6月3日,十三層,十二層 陽臺 雨遮
85,RPOPMLRKNHOFFDA38DA,6.0,31.95,本共有部分之項目有：管理委員會使用空間（一）、管理委員會使用空間（二）、管理委員會使用空間（三）、管理委員會使用空間（四）、梯廳、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、陽台、雨遮、管道間、水箱、緩衝空間、電梯機械室、樓電梯間等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
86,RPOPMLRKNHOFFDA38DA,6.0,70.71,本共有部分之項目有：防空避難室兼停車空間、停車場通風管道、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、緊急發電機室、台電配電室、資源回收空間、停車空間、機械室（供電信使用）、機械室（一）、蓄水池、消防泵浦室、機械室（二）、機械室（三）（雨水設備機房）等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
87,RPOPMLRKNHOFFDA38DA,6.0,2.39,住家用,鋼筋混凝土造,102年6月3日,十三層,一層 陽臺 雨遮
88,RPOPMLRKNHOFFDA38DA,6.0,0.48,本共有部分之項目有：管理委員會使用空間（一）、管理委員會使用空間（二）、管理委員會使用空間（三）、管理委員會使用空間（四）、梯廳、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、陽台、雨遮、管道間、水箱、緩衝空間、電梯機械室、樓電梯間等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
89,RPOPMLRKNHOFFDA38DA,6.0,0.85,本共有部分之項目有：防空避難室兼停車空間、停車場通風管道、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、緊急發電機室、台電配電室、資源回收空間、停車空間、機械室（供電信使用）、機械室（一）、蓄水池、消防泵浦室、機械室（二）、機械室（三）（雨水設備機房）等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
90,RPOPMLRKNHOFFDA38DA,6.0,2.43,住家用,鋼筋混凝土造,102年6月3日,十三層,一層 陽臺 雨遮
91,RPOPMLRKNHOFFDA38DA,6.0,0.49,本共有部分之項目有：管理委員會使用空間（一）、管理委員會使用空間（二）、管理委員會使用空間（三）、管理委員會使用空間（四）、梯廳、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、陽台、雨遮、管道間、水箱、緩衝空間、電梯機械室、樓電梯間等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
92,RPOPMLRKNHOFFDA38DA,6.0,0.86,本共有部分之項目有：防空避難室兼停車空間、停車場通風管道、供行動不便者使用電梯、緊急昇降機、輪椅迴轉空間、樓梯間、緊急發電機室、台電配電室、資源回收空間、停車空間、機械室（供電信使用）、機械室（一）、蓄水池、消防泵浦室、機械室（二）、機械室（三）（雨水設備機房）等１６項。,鋼筋混凝土造,102年6月3日,十三層,nan
93,RPTNMLKLNHOFFEA18DA,48.0,17.98,住家用,鋼筋混凝土造,1959年10月8日,五層,一層 陽臺 雨遮
94,RPOPMLNJOHOFFEA08DA,11.0,13.13,住家用,鋼筋混凝土造,1997年2月21日,十層,一層 陽臺 雨遮
95,RPOPMLNJOHOFFEA08DA,11.0,7.81,共有部分,鋼筋混凝土造,1997年2月21日,十層,nan
96,RPOPMLNJOHOFFEA08DA,11.0,0.26,日常用品零售業,鋼筋混凝土造,1997年2月21日,十層,一層 陽臺
97,RPOPMLNJOHOFFEA08DA,11.0,28.26,共有部分,鋼筋混凝土造,1997年2月21日,十層,nan
98,RPVNMLRKNHOFFDA88DA,7.0,125.76,住家用,鋼筋混凝土造,101年10月26日,十三層,十三層 陽臺 雨遮
99,RPVNMLRKNHOFFDA88DA,7.0,56.36,本共有部分之項目有：緊急發電機室排氣、緊急發電機室進氣、停車空間、安全梯（甲梯）、安全梯（乙梯）、室內安全梯（丙梯）、緊急昇降機、梯廳、行動不便者使用昇降機、管委會使用空間、雨遮、排煙室兼梯廳、梯間、消防用水、電梯機房、民生用水、垃圾儲藏空間、機坑、機房（供電信使用）、緊急發電機室、台電配電場所、水箱、消防泵浦室等２３項目。,鋼筋混凝土造,101年10月26日,十三層,nan
100,RPVNMLRKNHOFFDA88DA,7.0,93.0,本共有部分之項目有：防空避難室兼停車空間、停車空間等２項目。,鋼筋混凝土造,101年10月26日,十三層,nan
101,RPPPMLQKNHOFFFA48CA,33.0,11.48,住家用,鋼筋混凝土造,1975年8月25日,十二層,八層 陽臺 露台
102,RPPPMLQKNHOFFFA48CA,33.0,2.36,共有部分,鋼筋混凝土造,1975年8月25日,十二層,nan
103,RPQPMLQKNHOFFFA58CA,33.0,11.48,住家用,鋼筋混凝土造,1975年8月25日,十二層,八層 陽臺 露台
104,RPQPMLQKNHOFFFA58CA,33.0,2.36,共有部分,鋼筋混凝土造,1975年8月25日,十二層,nan
105,RPPNMLSLNHOFFEA48CA,48.0,48.04,住家用,鋼筋混凝土造,1960年1月18日,四層,三層 陽臺
106,RPPNMLSLNHOFFEA48CA,48.0,48.04,住家用,鋼筋混凝土造,1960年1月18日,四層,三層 陽臺
107,RPSNMLRKNHOFFEA58CA,31.0,144.18,住家用,鋼筋混凝土造,1977年4月23日,五層,一層 二層 三層 陽臺
108,RPSNMLRKNHOFFEA58CA,31.0,5.22,共有部分,鋼筋混凝土造,1977年4月23日,五層,nan
109,RPSNMLRKNHOFFEA58CA,31.0,64.55,見使用執照,鋼筋混凝土造,1977年4月23日,五層,地下層
110,RPQOMLQKNHOFFEA38CA,44.0,92.58,住家用,鋼筋混凝土造,1964年9月3日,三層,一層 平台
111,RPTNMLTKNHOFFDA78CA,21.0,35.31,商業用,鋼筋混凝土造,1987年10月19日,十四層,九層 陽臺 花台
112,RPTNMLTKNHOFFDA78CA,21.0,5.64,共有部分,鋼筋混凝土造,1987年10月19日,十四層,nan
113,RPTNMLTKNHOFFDA78CA,21.0,11.85,共有部分,鋼筋混凝土造,1987年10月19日,十四層,nan
114,RPWNMLKLNHOFFDA28CA,45.0,74.48,住家用,鋼筋混凝土造,1963年8月15日,八層,六層 陽臺 機械房 見使用執照
115,RPRNMLOKOHOFFCA08CA,41.0,99.47,住家用,鋼筋混凝土造,1966年12月31日,七層,四層 陽臺
116,RPRNMLOKOHOFFCA08CA,41.0,11.27,共有部分,鋼筋混凝土造,1966年12月31日,七層,nan
117,RPWPMLNLNHOFFCA68CA,44.0,38.1,住家用,鋼筋混凝土造,1964年6月4日,四層,一層 平台
118,RPXOMLKLNHOFFBA28CA,31.0,37.78,住家用,鋼筋混凝土造,1976年12月21日,八層,七層
119,RPXOMLKLNHOFFBA28CA,31.0,13.86,共有部分,鋼筋混凝土造,1976年12月21日,八層,nan
120,RPUNMLSLNHOFFBA68CA,48.0,41.83,nan,鋼筋混凝土造,1960年8月15日,四層,一層 平台 騎樓
