,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,文山區,房地(土地+建物),臺北市文山區木柵路三段４７號四樓,22.67,商,nan,nan,1080419,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,nan,79.91,4,2,1,有,無,8400000,105118.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；二親等買賣，建物格局由出賣人提供。,RPPNMLPKNHOFFAA67CA,79.91,0.0,0.0,nan,nan
1,萬華區,土地,雙園段二小段730-1地號,13.36,其他,nan,nan,1080411,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,160000,11976.0,nan,0.0,0,包含公共設施保留地之交易。；,RPROMLTLNHOFFBA58CA,0.0,0.0,0.0,nan,nan
2,萬華區,房地(土地+建物),臺北市萬華區環河南路三段３５號四樓,25.75,住,nan,nan,1080321,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,nan,86.87,4,3,2,有,無,9300000,107057.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLMKOHOFFBA67CA,86.87,0.0,0.0,nan,nan
3,中山區,房地(土地+建物),臺北市中山區大直街１１３號四樓,21.95,住,nan,nan,1080115,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691215.0,88.15,2,2,1,有,無,13000000,147476.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRQMLNKNHOFFCA18CA,71.7,0.0,16.45,nan,nan
4,信義區,房地(土地+建物),臺北市信義區虎林街１６４巷２１號三樓,30.8,住,nan,nan,1080228,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,nan,97.34,3,2,2,有,無,10750000,110438.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLRKNHOFFDA68CA,83.67,0.0,13.67,nan,nan
5,信義區,房地(土地+建物),臺北市信義區信義路五段１５０巷２２弄１２號五樓,21.2,住,nan,nan,1080312,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780316.0,81.24,3,2,1,有,無,13200000,162482.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLTLNHOFFDA88CA,64.32,3.14,6.92,nan,nan
6,松山區,房地(土地+建物),臺北市松山區三民路68巷6之2號,3.08,住,nan,nan,1080108,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,810303.0,12.7,3,1,2,有,有,2090000,164567.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLLMNHOFFDA87CA,7.96,0.89,0.0,nan,nan
7,松山區,房地(土地+建物),臺北市松山區三民路68巷6之2號,3.08,住,nan,nan,1080313,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,810303.0,12.7,3,1,2,有,有,2090000,164567.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLLMNHOFFDA97CA,7.96,0.89,0.0,nan,nan
8,士林區,房地(土地+建物),臺北市士林區德行東路３５８巷５弄２號四樓,55.51,住,nan,nan,1080319,土地1建物1車位0,四層，五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770423.0,181.81,3,2,2,有,有,17700000,97360.0,nan,0.0,0,含增建或未登記建物。；,RPQOMLOKNHOFFEA18CA,140.77,13.32,11.69,nan,nan
9,北投區,土地,溫泉段二小段372地號,2.78,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,428475,154128.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPTOMLPKNHOFFEA58CA,0.0,0.0,0.0,nan,nan
10,北投區,土地,溫泉段二小段372地號,0.71,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,109499,0.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPVOMLPKNHOFFEA78CA,0.0,0.0,0.0,nan,nan
11,北投區,土地,溫泉段二小段372地號,0.71,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,109499,0.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPWOMLPKNHOFFEA88CA,0.0,0.0,0.0,nan,nan
12,北投區,土地,溫泉段二小段372地號,0.65,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,99977,0.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPXOMLPKNHOFFEA98CA,0.0,0.0,0.0,nan,nan
13,北投區,土地,溫泉段二小段372地號,2.78,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,428475,154128.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPOPMLPKNHOFFEA18CA,0.0,0.0,0.0,nan,nan
14,北投區,土地,溫泉段二小段372地號,2.59,住,nan,nan,1080427,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,399910,154405.0,nan,0.0,0,瑕疵物件之交易。；本買賣土地目前被長期占用，其占用情形由買方自行排除清理,RPPPMLPKNHOFFEA28CA,0.0,0.0,0.0,nan,nan
15,北投區,房地(土地+建物)+車位,臺北市北投區三合街一段79巷16號八樓,46.74,住,nan,nan,1080315,土地1建物1車位2,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050712.0,304.29,3,2,2,有,有,46000000,194634.0,坡道平面,88.5,4000000,親友、員工或其他特殊關係間之交易。；,RPTNMLQKNHOFFEA58CA,129.75,1.6,13.45,nan,nan
16,士林區,房地(土地+建物),臺北市士林區福志路１０９號四樓,29.6,住,nan,nan,1080328,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670626.0,109.55,3,2,1,有,無,9000000,82154.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLQKNHOFFEA68CA,91.45,0.0,9.5,nan,nan
17,北投區,土地,八仙段二小段784地號,1868.0,其他,nan,nan,1080506,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,70000000,37473.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQOMLKLNHOFFEA87CA,0.0,0.0,0.0,nan,nan
18,士林區,房地(土地+建物),臺北市士林區社正路45巷29弄17號二樓,29.04,住,nan,nan,1080406,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711029.0,100.53,3,2,1,有,無,9000000,89526.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLNLNHOFFEA18CA,77.29,0.0,13.99,nan,nan
19,文山區,房地(土地+建物)+車位,臺北市文山區汀州路4段181號9樓,37.19,住,nan,nan,1080425,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991104.0,178.67,3,2,2,有,有,25351000,141887.0,坡道平面,0.0,0,向政府機關承購之案件。；,RPRNMLQKNHOFFAA08DA,94.94,0.0,9.76,nan,nan
