,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPPNMLPKNHOFFAA67CA,木柵段一小段,0.83,都市：其他:道路用地(公共設施用地),12.0,2.0,持分移轉,5540000
1,RPPNMLPKNHOFFAA67CA,木柵段一小段,21.83,都市：商,12.0,2.0,持分移轉,5550000
2,RPROMLTLNHOFFBA58CA,雙園段二小段,13.36,都市：其他:道路用地,10000.0,800.0,持分移轉,7300001
3,RPPOMLMKOHOFFBA67CA,雙園段一小段,25.75,都市：住,4.0,1.0,持分移轉,6280000
4,RPRQMLNKNHOFFCA18CA,北安段二小段,21.95,都市：住,10000.0,252.0,持分移轉,170000
5,RPUNMLRKNHOFFDA68CA,信義段一小段,30.8,都市：住,5.0,1.0,持分移轉,3280000
6,RPTNMLTLNHOFFDA88CA,祥和段三小段,21.2,都市：住,5.0,1.0,持分移轉,990000
7,RPQNMLLMNHOFFDA87CA,寶清段一小段,3.08,都市：住,338500.0,117.0,持分移轉,590000
8,RPRNMLLMNHOFFDA97CA,寶清段一小段,3.08,都市：住,338500.0,117.0,持分移轉,590000
9,RPQOMLOKNHOFFEA18CA,芝蘭段二小段,55.51,都市：住,100000.0,1070.0,持分移轉,6810000
10,RPTOMLPKNHOFFEA58CA,溫泉段二小段,2.78,都市：住,256.0,1.0,持分移轉,3720000
11,RPVOMLPKNHOFFEA78CA,溫泉段二小段,0.71,都市：住,23040.0,23.0,持分移轉,3720000
12,RPWOMLPKNHOFFEA88CA,溫泉段二小段,0.71,都市：住,23040.0,23.0,持分移轉,3720000
13,RPXOMLPKNHOFFEA98CA,溫泉段二小段,0.65,都市：住,7680.0,7.0,持分移轉,3720000
14,RPOPMLPKNHOFFEA18CA,溫泉段二小段,2.78,都市：住,256.0,1.0,持分移轉,3720000
15,RPPPMLPKNHOFFEA28CA,溫泉段二小段,2.59,都市：住,1920.0,7.0,持分移轉,3720000
16,RPTNMLQKNHOFFEA58CA,三合段,46.74,都市：住,100000.0,1666.0,持分移轉,690000
17,RPUNMLQKNHOFFEA68CA,福林段三小段,29.6,都市：住,5.0,1.0,持分移轉,3570000
18,RPQOMLKLNHOFFEA87CA,八仙段二小段,740.0,都市：其他:抽水站用地,1.0,1.0,全筆移轉,7810000
19,RPQOMLKLNHOFFEA87CA,八仙段二小段,362.0,都市：其他:道路用地,1.0,1.0,全筆移轉,7810001
20,RPQOMLKLNHOFFEA87CA,八仙段二小段,766.0,都市：其他:抽水站用地,1.0,1.0,全筆移轉,7840000
21,RPQOMLNLNHOFFEA18CA,永新段四小段,25.52,都市：住,10000.0,139.0,持分移轉,3830000
22,RPQOMLNLNHOFFEA18CA,永新段四小段,3.52,都市：其他:道路用地(公共設施用地)【,10000.0,139.0,持分移轉,3830001
23,RPRNMLQKNHOFFAA08DA,萬隆段二小段,37.19,都市：住,100000.0,1634.0,持分移轉,4630000
24,RPROMLLKOHOFFAA77DA,政大段四小段,8.14,都市：住,50000.0,1948.0,持分移轉,80000
25,RPROMLLKOHOFFAA77DA,政大段四小段,5.36,都市：住,50000.0,66.0,持分移轉,220000
