,編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
0,RPTNMLQKNHOFFEA58CA,坡道平面,0,44.25,nan
1,RPTNMLQKNHOFFEA58CA,坡道平面,0,44.25,nan
2,RPRNMLQKNHOFFAA08DA,坡道平面,0,nan,nan
3,RPTNMLMLNHOFFEA28CA,坡道平面,0,75.13,nan
4,RPQOMLOKNHOFFCA97CA,坡道平面,0,nan,nan
5,RPUNMLNKOHOFFBA18CA,坡道平面,0,nan,nan
6,RPWNMLNKOHOFFBA38CA,坡道平面,0,nan,nan
7,RPSNMLMLNHOFFCA97CA,塔式車位,0,10.85,nan
8,RPOPMLKMNHOFFDA77CA,坡道平面,0,42.08,nan
9,RPPPMLKMNHOFFDA87CA,坡道平面,0,42.08,nan
10,RPRQMLPKNHOFFEA58CA,坡道平面,0,nan,nan
11,RPOPMLRKNHOFFDA38DA,坡道平面,2000000,14.42,nan
12,RPOPMLNJOHOFFEA08DA,坡道機械,0,nan,nan
13,RPVNMLRKNHOFFDA88DA,坡道平面,0,46.5,nan
14,RPVNMLRKNHOFFDA88DA,坡道平面,0,46.5,nan
15,RPWNMLSLNHOFFBA88CA,坡道平面,0,nan,nan
16,RPUNMLLLNHOFFBA97CA,升降機械,0,2.62,nan
17,RPTQMLRKOHOFFCA88CA,坡道平面,0,45.77,nan
18,RPTQMLRKOHOFFCA88CA,坡道平面,0,45.77,nan
19,RPSQMLNJOHOFFCA28CA,塔式車位,0,10.85,nan
20,RPWNMLLLNHOFFEA48CA,坡道機械,0,nan,nan
21,RPWNMLLLNHOFFEA48CA,坡道機械,0,nan,nan
22,RPQOMLLJPHOFFFA08CA,坡道平面,0,31.04,nan
23,RPQOMLLJPHOFFFA08CA,坡道平面,0,24.8,nan
24,RPQOMLNJOHOFFCA87CA,坡道平面,0,34.79,nan
25,RPQOMLNJOHOFFCA87CA,坡道平面,0,34.79,nan
26,RPUQMLQJOHOFFCA78CA,其他,1000000,14.93,nan
27,RPQNMLQLOHOFFCA28CA,坡道平面,0,27.6,nan
28,RPQNMLQLOHOFFCA28CA,坡道平面,0,27.6,nan
29,RPXNMLSLNHOFFBA98CA,坡道平面,0,nan,nan
30,RPOOMLSLNHOFFBA18CA,坡道平面,0,nan,nan
31,RPPOMLSLNHOFFBA28CA,坡道平面,0,nan,nan
32,RPWPMLOLOHOFFCA88CA,坡道平面,0,nan,nan
33,RPPNMLQKOHOFFCA08CA,坡道平面,0,37.25,nan
34,RPWOMLLLNHOFFEA58CA,升降機械,0,14.82,nan
